TITLE,OPEN_DT,AUDI_ACC,CMT_SCORE
배트맨 대 슈퍼맨: 저스티스의 시작,2016-03-24,2256913,-0.0222
레디 플레이어 원,2018-03-28,2254430,0.125
배틀쉽,2012-04-11,2241687,0.0
셜록홈즈 : 그림자 게임,2011-12-21,2239156,0.0469
7광구,2011-08-04,2232179,-0.0119
마당을 나온 암탉,2011-07-28,2199048,0.0405
악의 연대기,2015-05-14,2192243,0.0085
강남 1970,2015-01-21,2192172,0.0304
이상한 나라의 앨리스,2010-03-04,2182365,0.0096
맨 오브 스틸,2013-06-13,2182227,0.0083
황해,2010-12-22,2167426,0.0152
원더 우먼,2017-05-31,2165401,0.1233
초능력자,2010-11-10,2164805,0.0321
마이 웨이,2011-12-21,2142622,-0.0415
겟 아웃,2017-05-17,2138146,-0.0371
나의 사랑 나의 신부,2014-10-08,2135614,0.3333
굿바이 싱글,2016-06-29,2108273,0.0888
이클립스,2010-07-07,2105050,0.0063
몽타주,2013-05-16,2095375,0.0074
명당,2018-09-19,2087474,0.1166
논스톱,2014-02-27,2084457,0.0242
쩨쩨한 로맨스,2010-12-01,2080574,0.1848
장화신은 고양이,2012-01-12,2080154,0.0359
인투 더 스톰,2014-08-28,2078492,0.0672
로건,2017-03-01,2070084,0.0111
뷰티 인사이드,2015-08-20,2053947,-0.0338
혹성탈출: 종의 전쟁,2017-08-15,2050909,0.0236
봉이 김선달,2016-07-06,2044564,0.0614
노아,2014-03-20,2026574,0.0346
레버넌트: 죽음에서 돌아온 자,2016-01-14,2007180,0.0265
페르시아의 왕자: 시간의 모래,2010-05-27,2003533,0.0047
남자가 사랑할 때,2014-01-22,1979311,0.048
루시,2014-09-03,1971837,0.0148
협상,2018-09-19,1967721,0.0765
알리타: 배틀 엔젤,2019-02-05,1949297,-0.0078
애나벨 : 인형의 주인,2017-08-10,1934192,-0.1472
컨저링 2,2016-06-09,1926201,-0.0795
터보,2013-07-25,1923748,0.1777
내안의 그놈,2019-01-09,1901684,0.1117
수어사이드 스쿼드,2016-08-03,1898121,-0.0193
오늘의 연애,2015-01-14,1891993,0.0752
글러브,2011-01-20,1888100,0.0345
퍼시 잭슨과 번개 도둑,2010-02-11,1877226,0.0406
해결사,2010-09-09,1873327,0.0602
연애의 온도,2013-03-21,1865195,0.0778
아이들...,2011-02-17,1864408,-0.0889
마약왕,2018-12-19,1864076,0.0068
테이큰 3,2015-01-01,1860934,-0.0071
코리아,2012-05-03,1857392,0.0317
지.아이.조 2,2013-03-28,1855917,-0.0151
노무현입니다,2017-05-25,1854867,-0.0329
집으로 가는 길,2013-12-11,1854625,-0.0614
악마를 보았다,2010-08-12,1848418,-0.034
뺑반,2019-01-30,1826714,0.1006
나의 PS 파트너,2012-12-06,1823116,0.1258
007 스펙터,2015-11-11,1820842,0.1146
분노의 질주: 더 맥시멈,2013-05-22,1790457,
저스티스 리그,2017-11-15,1786386,0.039
공범,2013-10-24,1766285,0.0361
나를 찾아줘,2014-10-23,1764233,0.1111
대호,2015-12-16,1762742,0.0506
걸리버 여행기,2011-01-27,1762070,0.0211
주먹왕 랄프 2: 인터넷 속으로,2019-01-03,1754375,0.3409
이미테이션 게임,2015-02-17,1743774,0.0339
전설의 주먹,2013-04-10,1737253,0.0361
제보자,2014-10-02,1735640,-0.0054
씽,2016-12-21,1729426,0.2451
러브픽션,2012-02-29,1726202,0.1047
킬러의 보디가드,2017-08-30,1721757,0.1605
언터처블: 1%의 우정,2012-03-22,1719772,0.1675
평양성,2011-01-27,1717566,-0.0526
샌 안드레아스,2015-06-03,1714071,0.0263
파파로티,2013-03-14,1713891,0.1307
쥬만지: 새로운 세계,2018-01-03,1708672,0.2123
쎄시봉,2015-02-05,1707487,-0.0272
토르: 천둥의 신,2011-04-28,1694529,-0.0043
콩: 스컬 아일랜드,2017-03-08,1685933,0.0398
피끓는 청춘,2014-01-22,1676040,0.0389
23 아이덴티티,2017-02-22,1675798,-0.0355
PMC: 더 벙커,2018-12-26,1671548,-0.0255
마다가스카의 펭귄,2014-12-31,1661230,0.2766
아이스 에이지 4: 대륙 이동설,2012-07-25,1648070,0.152
공모자들,2012-08-29,1646142,-0.0265
그대를 사랑합니다,2011-02-17,1640351,0.0104
임금님의 사건수첩,2017-04-26,1634403,0.16
마다가스카3 : 이번엔 서커스다!,2012-06-06,1626704,0.1373
블랙 스완,2011-02-24,1623199,0.0459
분노의 질주: 언리미티드,2011-04-20,1621973,0.0556
우아한 거짓말,2014-03-13,1613392,0.0294
하울링,2012-02-16,1612554,0.0617
두근두근 내 인생,2014-09-03,1611519,-0.0277
스타트렉 다크니스,2013-05-30,1605271,0.0806
창궐,2018-10-25,1599290,0.0837
로빈 후드,2010-05-13,1596574,0.1414
더 폰,2015-10-22,1593694,0.0192
성난황소,2018-11-22,1593386,0.0
300: 제국의 부활,2014-03-06,1593116,0.0
라이프 오브 파이,2013-01-01,1588373,0.0973
무적자,2010-09-16,1571432,0.0283
위플래쉬,2015-03-12,1561815,0.0254
범블비,2018-12-25,1561643,0.0877
용의자X,2012-10-18,1552055,0.102
도어락,2018-12-05,1545442,-0.0106
오블리비언,2013-04-11,1515356,0.1101
몬스터 호텔 2,2015-12-24,1515104,0.11800000000000001
엑소더스: 신들과 왕들,2014-12-03,1511145,0.0063
퍼펙트 게임,2011-12-21,1507084,0.0322
드래곤 길들이기 3,2019-01-30,1506928,0.045
리틀 포레스트,2018-02-28,1505560,0.1959
인디펜던스 데이 : 리써전스,2016-06-22,1500830,
토이 스토리 3,2010-08-05,1484843,0.0172
차이나타운,2015-04-29,1472006,0.0259
스윙키즈,2018-12-19,1470754,0.091
부라더,2017-11-02,1468301,0.0899
해무(海霧),2014-08-13,1466830,-0.0027
브레이킹 던 part1,2011-11-30,1462280,0.0009
새미의 어드벤쳐 2,2012-08-01,1452872,0.1667
위대한 개츠비,2013-05-16,1445124,0.1328
인간중독,2014-05-14,1441964,0.1624
다이하드: 굿 데이 투 다이,2013-02-06,1438056,0.0
탐정 홍길동: 사라진 마을,2016-05-04,1426873,0.1527
런닝맨,2013-04-04,1416053,0.0957
구르믈 버서난 달처럼,2010-04-28,1407681,0.0051
위대한 쇼맨,2017-12-20,1402809,0.2087
벤허,2016-09-14,1399771,0.14800000000000002
말레피센트,2014-05-29,1397526,0.0678
라스트 에어벤더,2010-08-19,1394110,0.0248
기억의 밤,2017-11-29,1387599,0.0115
골든슬럼버,2018-02-14,1387508,0.0326
램페이지,2018-04-12,1385511,0.0959
해피 데스데이,2017-11-08,1382480,0.0492
폼페이: 최후의 날,2014-02-20,1373873,-0.0606
브이아이피,2017-08-23,1373316,0.0069
특별시민,2017-04-26,1362634,0.057999999999999996
퓨리,2014-11-20,1362114,0.0613
차형사,2012-05-30,1346754,0.121
은교,2012-04-25,1346274,0.0721
궁합,2018-02-28,1340117,0.1938
신들의 전쟁,2011-11-10,1338411,0.1261
오션스8,2018-06-13,1335181,0.1909
미스터 고,2013-07-17,1328890,0.0098
굿 다이노,2016-01-07,1328394,
드라큘라: 전설의 시작,2014-10-08,1321751,0.0982
사라진 밤,2018-03-07,1314274,0.1164
가디언즈 오브 갤럭시,2014-07-31,1311190,0.0069
간첩,2012-09-20,1310895,0.0972
월드 인베이젼,2011-03-10,1307873,0.0053
에이리언: 커버넌트,2017-05-09,1307226,-0.0348
장산범,2017-08-17,1305145,-0.0811
셜록: 유령신부,2016-01-02,1278894,
소스 코드,2011-05-04,1277301,0.1287
간기남,2012-04-11,1246185,0.1728
육혈포 강도단,2010-03-18,1233582,0.1615
메리다와 마법의 숲,2012-09-27,1231024,0.0678
심야의 F.M.,2010-10-14,1228673,0.0667
특별수사: 사형수의 편지,2016-06-16,1225142,0.1421
찌라시: 위험한 소문,2014-02-20,1221420,0.039
토탈 리콜,2012-08-15,1219637,0.1667
결혼전야,2013-11-21,1212270,0.1465
레지던트 이블 4: 끝나지 않은 전쟁 3D,2010-09-16,1209538,0.0
엘리시움,2013-08-29,1207732,0.0199
악녀,2017-06-08,1206917,0.0733
깡철이,2013-10-02,1204666,0.0712
시간이탈자,2016-04-13,1202058,0.12
R2B: 리턴투베이스,2012-08-15,1201640,0.0497
해빙,2017-03-01,1201576,-0.017
더 웹툰: 예고살인,2013-06-27,1201033,0.0148
바람 바람 바람,2018-04-05,1183959,0.375
나니아 연대기: 새벽 출정호의 항해,2010-12-08,1182228,0.0399
빅매치,2014-11-27,1177438,0.0995
웜 바디스,2013-03-14,1169839,0.0207
"당신, 거기 있어줄래요",2016-12-14,1168625,0.0665
동주,2016-02-17,1168427,0.0879
돈의 맛,2012-05-17,1165488,0.0604
워크래프트: 전쟁의 서막,2016-06-09,1163120,0.0108
장수상회,2015-04-09,1160935,0.0492
가문의 영광5 - 가문의 귀환,2012-12-19,1160021,0.0442
슬로우 비디오,2014-10-02,1159787,0.0796
