TITLE,OPEN_DT,OPEN_MONTH,OPEN_QUARTER,OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,PRI_GENRE_NM,WATCH_GRADE_NM,SERIES,NAVER_CMT_NN,NAVER_CMT_LEN_MEAN,NAVER_EX_PT,ORI_BOOK,AUDI_ACC
더 테러 라이브,2013-07-31,7,3,31,97.0,한국,롯데쇼핑㈜롯데엔터테인먼트,범죄,15세이상관람가,0.0,2051.0,42.382740126767395,0.0,0.0,5583596
쥬라기 월드,2015-06-11,6,2,24,124.0,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,12세이상관람가,1.0,894.0,32.5917225950783,15462.0,0.0,5546792
캡틴 마블,2019-03-06,3,1,10,123.0,미국,월트디즈니컴퍼니코리아 유한책임회사,액션,12세이상관람가,0.0,2160.0,39.9444444444444,2969.0,0.0,5540958
의형제,2010-02-04,2,1,5,116.0,한국,(주)쇼박스,드라마,15세이상관람가,0.0,533.0,21.6810506566604,0.0,0.0,5507106
감시자들,2013-07-03,7,3,27,118.0,한국,(주)넥스트엔터테인먼트월드(NEW),범죄,15세이상관람가,0.0,1098.0,31.177595628415297,0.0,0.0,5496547
앤트맨과 와스프,2018-07-04,7,3,27,118.0,미국,월트디즈니컴퍼니코리아 유한책임회사,액션,12세이상관람가,1.0,202.0,36.6633663366337,1781.0,0.0,5447826
닥터 스트레인지,2016-10-26,10,4,43,114.0,미국,월트디즈니컴퍼니코리아(주),액션,12세이상관람가,0.0,820.0,40.152439024390205,17810.0,0.0,5446379
검은 사제들,2015-11-05,11,4,45,108.0,한국,씨제이이앤엠(주),미스터리,15세이상관람가,0.0,517.0,37.78336557059961,15918.0,0.0,5440945
안시성,2018-09-19,9,3,38,135.0,한국,(주)넥스트엔터테인먼트월드(NEW),사극,12세이상관람가,0.0,607.0,43.6425041186161,2468.0,0.0,5440186
블랙 팬서,2018-02-14,2,1,7,134.0,미국,월트디즈니컴퍼니코리아 유한책임회사,액션,12세이상관람가,1.0,388.0,33.8762886597938,7497.0,0.0,5398994
더 킹,2017-01-18,1,1,3,134.0,한국,(주)넥스트엔터테인먼트월드(NEW),범죄,15세이상관람가,0.0,1086.0,37.3489871086556,17679.0,0.0,5316325
완득이,2011-10-20,10,4,42,107.0,한국,씨제이이앤엠(주),드라마,12세이상관람가,0.0,725.0,26.107586206896602,0.0,1.0,5310510
트랜스포머: 사라진 시대,2014-06-25,6,2,26,164.0,미국,씨제이이앤엠(주),액션,12세이상관람가,1.0,3534.0,39.3548387096774,8008.0,0.0,5295801
완벽한 타인,2018-10-31,10,4,44,115.0,한국,롯데컬처웍스(주)롯데엔터테인먼트,드라마,15세이상관람가,0.0,125.0,44.472,608.0,0.0,5294119
월드 워 Z,2013-06-20,6,2,25,115.0,미국,롯데쇼핑㈜롯데엔터테인먼트,드라마,15세이상관람가,0.0,1001.0,32.752247752247804,0.0,1.0,5237525
타워,2012-12-25,12,4,52,121.0,한국,씨제이이앤엠(주),드라마,12세이상관람가,0.0,1412.0,41.167847025495796,0.0,0.0,5181014
미녀와 야수,2017-03-16,3,1,11,129.0,미국,월트디즈니컴퍼니코리아 유한책임회사,멜로,전체관람가,0.0,199.0,44.32663316582911,8894.0,0.0,5137993
독전,2018-05-22,5,2,21,123.0,한국,(주)넥스트엔터테인먼트월드(NEW),범죄,15세이상관람가,0.0,265.0,35.6075471698113,2703.0,0.0,5063620
쿵푸팬더 2,2011-05-26,5,2,21,91.0,미국,씨제이이앤엠(주),애니메이션,전체관람가,1.0,620.0,21.9709677419355,0.0,0.0,5062722
아쿠아맨,2018-12-19,12,4,51,143.0,미국,워너브러더스 코리아(주),액션,12세이상관람가,1.0,205.0,43.0926829268293,833.0,0.0,5038134
공작,2018-08-08,8,3,32,137.0,한국,씨제이이앤엠(주),드라마,12세이상관람가,0.0,254.0,39.0314960629921,2437.0,0.0,4971261
