TITLE,DIRECTOR,OPEN_DT,OPEN_YEAR,OPEN_MONTH,OPEN_DAY,OPEN_WEEKDAY,OPEN_QUARTER,OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,GENRE_NM,SP_LANG,WATCH_GRADE_NM,ACTOR1,ACTOR2,BUDGET,SERIES,AWARDS,NAVER_CMT_NN,NAVER_PRE_EVAL,NAVER_PRE_EVAL_MUL,NAVER_EX_PT,ORI_BOOK,AUDI_ACC
미 투,안토니오 나아로/알바로 파스토르,2010-04-15,2010,4,15,3,2,15,102.0,스페인,(주)바른손이앤에이,드라마/로맨스/멜로,,15세이상관람가,롤라 두에냐스,파블로 피네다,,0.0,1,9.0,8.67,78.03,0.0,0.0,8592
금의위 : 14 검의 비밀,이인항,2012-06-14,2012,6,14,3,2,24,113.0,중국/홍콩,(주)팝파트너스,드라마/액션,,15세이상관람가,견자단,조미,,0.0,0,95.0,8.47,804.6500000000003,0.0,0.0,8589
투 아이즈,앨버트 반 스트리엔,2010-08-05,2010,8,5,3,3,31,112.0,네덜란드,KT&G 시네마 상상마당,공포(호러),,15세이상관람가,헤드윅 미니스,이자벨 스토켈,,0.0,0,105.0,9.6,1008.0,0.0,0.0,8587
경계의 저편 : I'LL BE HERE -미래편-,이시다테 타이치,2015-10-08,2015,10,8,3,4,41,90.0,일본,(주)머스트씨무비릴리징컴퍼니,로맨스/멜로/애니메이션/액션/판타지,,12세이상관람가,타네다 리사,켄,,0.0,0,26.0,10.0,260.0,559.0,0.0,8579
나에게서 온 편지,카린느 타르디유,2013-08-08,2013,8,8,3,3,32,89.0,프랑스,프리비젼엔터테인먼트,코미디,,12세이상관람가,줄리엣 곰버트,안나 르마르샹,,0.0,0,30.0,8.97,269.1,0.0,0.0,8570
오기와 악동들 더 무비,올리비에 장 마리,2014-04-17,2014,4,17,3,2,16,85.0,프랑스,(주)팝엔터테인먼트,가족/애니메이션/코미디,,전체관람가,문남숙,,,0.0,0,18.0,8.83,158.94,91.0,0.0,8564
바나나쏭의 기적,송우용/지혜원,2018-03-08,2018,3,8,3,1,10,89.0,한국,(재)CBS/(주)영화사 그램,다큐멘터리,,전체관람가,김재창,송우용,,0.0,0,4.0,9.75,39.0,40.0,0.0,8542
에스코바르,페르난도 레온 데 아라노아,2018-11-15,2018,11,15,3,4,46,122.0,스페인,(주)영화사 빅,범죄/액션,,15세이상관람가,하비에르 바르뎀,페넬로페 크루즈,,0.0,0,19.0,9.26,175.94,109.0,0.0,8506
시소,고희영,2016-11-10,2016,11,10,3,4,45,76.0,한국,(주)대명문화공장/(주)리틀빅픽쳐스,다큐멘터리,ko,전체관람가,이동우,임재신,,0.0,0,192.0,9.6,1843.2,910.0,0.0,8505
더블: 달콤한 악몽,리처드 아요데,2014-09-25,2014,9,25,3,3,39,92.0,영국,(주)엣나인필름,로맨스/멜로/미스터리,,15세이상관람가,제시 아이젠버그,미아 와시코브스카,,0.0,0,68.0,7.88,535.84,353.0,1.0,8504
