TITLE,OPEN_DT,AUDI_ACC,CMT_SCORE,NAVER_PRE_EVAL
공모자들,2012-08-29,1646142,0.5067873303167421,9.59
그대를 사랑합니다,2011-02-17,1640351,0.4679878048780488,9.62
임금님의 사건수첩,2017-04-26,1634403,0.3335630599586492,8.63
마다가스카3 : 이번엔 서커스다!,2012-06-06,1626704,0.3287037037037037,9.05
블랙 스완,2011-02-24,1623199,0.5532359081419624,9.31
분노의 질주: 언리미티드,2011-04-20,1621973,0.2345679012345679,9.46
우아한 거짓말,2014-03-13,1613392,0.4859002169197397,9.58
하울링,2012-02-16,1612554,0.33867276887871856,8.74
두근두근 내 인생,2014-09-03,1611519,0.26275065387968616,5.62
스타트렉 다크니스,2013-05-30,1605271,0.38145363408521293,9.42
창궐,2018-10-25,1599290,0.309748427672956,7.84
로빈 후드,2010-05-13,1596574,0.4393063583815029,9.06
더 폰,2015-10-22,1593694,0.3302752293577982,9.25
성난황소,2018-11-22,1593386,0.30526315789473685,6.26
300: 제국의 부활,2014-03-06,1593116,0.30028735632183906,8.47
라이프 오브 파이,2013-01-01,1588373,0.4730813287514318,9.19
무적자,2010-09-16,1571432,0.3572377158034529,7.54
위플래쉬,2015-03-12,1561815,0.3205677557579004,9.38
범블비,2018-12-25,1561643,0.2199248120300752,7.78
용의자X,2012-10-18,1552055,0.5819397993311036,9.93
도어락,2018-12-05,1545442,0.3583180987202925,8.59
오블리비언,2013-04-11,1515356,0.4312297734627832,9.3
몬스터 호텔 2,2015-12-24,1515104,0.4110070257611241,9.44
엑소더스: 신들과 왕들,2014-12-03,1511145,0.37554585152838427,9.04
퍼펙트 게임,2011-12-21,1507084,0.4361948955916473,9.43
드래곤 길들이기 3,2019-01-30,1506928,0.3650568181818182,9.79
리틀 포레스트,2018-02-28,1505560,0.5098193244304792,9.03
인디펜던스 데이 : 리써전스,2016-06-22,1500830,0.3038768529076397,9.23
토이 스토리 3,2010-08-05,1484843,0.3232104121475054,9.58
차이나타운,2015-04-29,1472006,0.35125448028673834,8.32
스윙키즈,2018-12-19,1470754,0.44322406218316995,9.36
부라더,2017-11-02,1468301,0.5321904761904762,9.11
해무(海霧),2014-08-13,1466830,0.4868035190615836,9.01
브레이킹 던 part1,2011-11-30,1462280,0.1377551020408163,9.61
새미의 어드벤쳐 2,2012-08-01,1452872,0.21296296296296294,7.79
위대한 개츠비,2013-05-16,1445124,0.37770897832817335,9.26
인간중독,2014-05-14,1441964,0.389937106918239,7.81
다이하드: 굿 데이 투 다이,2013-02-06,1438056,0.17574511819116134,8.49
탐정 홍길동: 사라진 마을,2016-05-04,1426873,0.4120879120879121,8.47
런닝맨,2013-04-04,1416053,0.4200291686922703,9.16
구르믈 버서난 달처럼,2010-04-28,1407681,0.4043715846994536,8.9
위대한 쇼맨,2017-12-20,1402809,0.5297372060857538,9.61
벤허,2016-09-14,1399771,0.3816793893129771,8.12
말레피센트,2014-05-29,1397526,0.3170103092783505,9.57
라스트 에어벤더,2010-08-19,1394110,0.3259345794392524,8.49
기억의 밤,2017-11-29,1387599,0.41123439667128986,9.25
골든슬럼버,2018-02-14,1387508,0.3796078431372549,8.12
램페이지,2018-04-12,1385511,0.25,8.82
해피 데스데이,2017-11-08,1382480,0.2939866369710468,9.21
폼페이: 최후의 날,2014-02-20,1373873,0.33004926108374383,8.71
브이아이피,2017-08-23,1373316,0.4066390041493776,8.26
특별시민,2017-04-26,1362634,0.3909520594193113,8.61
퓨리,2014-11-20,1362114,0.3464052287581699,9.21
차형사,2012-05-30,1346754,0.5044444444444445,9.09
은교,2012-04-25,1346274,0.37965260545905705,8.33
궁합,2018-02-28,1340117,0.3071808510638298,8.84
신들의 전쟁,2011-11-10,1338411,0.37264150943396224,7.88
오션스8,2018-06-13,1335181,0.3573770491803279,8.86
미스터 고,2013-07-17,1328890,0.4065630619059851,8.52
굿 다이노,2016-01-07,1328394,0.5037147102526003,9.13
드라큘라: 전설의 시작,2014-10-08,1321751,0.3589041095890411,8.71
사라진 밤,2018-03-07,1314274,0.4147465437788018,8.4
가디언즈 오브 갤럭시,2014-07-31,1311190,0.3312977099236641,9.4
간첩,2012-09-20,1310895,0.13675213675213674,9.57
월드 인베이젼,2011-03-10,1307873,0.3515151515151515,8.74
에이리언: 커버넌트,2017-05-09,1307226,0.20020855057351408,9.27
장산범,2017-08-17,1305145,0.2799377916018663,8.23
셜록: 유령신부,2016-01-02,1278894,0.1685823754789272,9.66
소스 코드,2011-05-04,1277301,0.3942857142857143,9.06
간기남,2012-04-11,1246185,0.5853658536585366,8.81
육혈포 강도단,2010-03-18,1233582,0.18660287081339716,8.08
메리다와 마법의 숲,2012-09-27,1231024,0.2566371681415929,8.82
심야의 F.M.,2010-10-14,1228673,0.5539772727272727,9.41
특별수사: 사형수의 편지,2016-06-16,1225142,0.4666666666666667,8.85
찌라시: 위험한 소문,2014-02-20,1221420,0.3947826086956522,8.33
토탈 리콜,2012-08-15,1219637,0.4027777777777778,9.59
결혼전야,2013-11-21,1212270,0.4268415741675076,8.85
레지던트 이블 4: 끝나지 않은 전쟁 3D,2010-09-16,1209538,0.2843488649940263,8.97
엘리시움,2013-08-29,1207732,0.3826815642458101,9.01
악녀,2017-06-08,1206917,0.3528693528693529,7.45
깡철이,2013-10-02,1204666,0.41857241857241856,9.06
시간이탈자,2016-04-13,1202058,0.418580375782881,8.94
