DIRECTOR_53,OPEN_MONTH,OPEN_QUARTER,OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,PRI_GENRE_NM,WATCH_GRADE_NM,ACTOR_53,SERIES,NAVER_CMT_NN,NAVER_EX_PT,ORI_BOOK,AUDI_ACC
기타,11,4,46,132.0,미국,워너브러더스 코리아(주),어드벤처,12세이상관람가,기타,1.0,331.0,12840.0,1.0,4666993
황동혁,9,3,38,125.0,한국,씨제이이앤엠(주),드라마,청소년관람불가,기타,0.0,644.0,0.0,1.0,4662822
기타,5,2,20,121.0,한국,(주)넥스트엔터테인먼트월드(NEW),코미디,15세이상관람가,기타,0.0,128.0,0.0,0.0,4598583
박정우,12,4,49,135.0,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,12세이상관람가,기타,0.0,732.0,8338.0,0.0,4571142
박정우,7,3,27,109.0,한국,씨제이이앤엠(주),공포,15세이상관람가,기타,0.0,1075.0,0.0,0.0,4513026
기타,4,2,17,125.0,미국,씨제이엔터테인먼트,SF,12세이상관람가,로버트 다우니 주니어,1.0,722.0,0.0,0.0,4498335
양우석,12,4,50,139.0,한국,(주)넥스트엔터테인먼트월드(NEW),액션,15세이상관람가,기타,0.0,849.0,5965.0,0.0,4451336
기타,7,3,28,131.0,미국,워너브러더스 코리아(주),판타지,전체관람가,기타,,1746.0,0.0,1.0,4400298
브라이언 싱어,5,2,21,134.0,미국,이십세기폭스코리아(주),액션,12세이상관람가,기타,1.0,692.0,4066.0,1.0,4313871
기타,6,2,22,144.0,한국,씨제이이앤엠(주),스릴러,청소년관람불가,기타,0.0,438.0,21671.0,1.0,4277071
기타,4,2,17,142.0,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),액션,12세이상관람가,기타,1.0,693.0,3680.0,0.0,4168350
기타,12,4,52,137.0,한국,(주)쇼박스,액션,15세이상관람가,공유,0.0,931.0,0.0,0.0,4131248
이용주,3,1,12,118.0,한국,롯데쇼핑㈜롯데엔터테인먼트,멜로,12세이상관람가,기타,0.0,567.0,0.0,0.0,4110645
이석훈,1,1,3,124.0,한국,씨제이이앤엠(주),코미디,12세이상관람가,황정민,0.0,191.0,0.0,0.0,4057546
장창원,11,4,47,116.0,한국,(주)쇼박스,범죄,15세이상관람가,기타,0.0,322.0,6730.0,0.0,4018341
기타,7,3,28,130.0,미국,이십세기폭스코리아(주),액션,12세이상관람가,앤디 서키스,1.0,354.0,2984.0,0.0,4002134
강형철,9,3,36,147.0,한국,롯데쇼핑㈜롯데엔터테인먼트,드라마,청소년관람불가,최승현,1.0,3451.0,7157.0,1.0,4001813
알레산드로 칼로니/여인영,1,1,4,94.0,미국,씨제이이앤엠(주),애니메이션,전체관람가,기타,1.0,222.0,12441.0,0.0,3984812
안소니 루소/조 루소,3,1,13,135.0,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),액션,15세이상관람가,크리스 에반스,1.0,434.0,1969.0,1.0,3963220
