순번,영화명,감독,제작사_x,수입사_x,배급사_x,개봉일_x,영화유형_x,영화형태_x,국적_x,전국스크린수_x,전국매출액_x,전국관객수_x,서울매출액_x,서울관객수_x,장르_x,등급_x,영화구분_x,원제,제작년도,원작도서유무,네이버기대지수,개봉전 평점,총댓글수(개봉전),?순번,영진위 영화명,제작사_y,수입사_y,배급사_y,개봉일_y,영화유형_y,영화형태_y,국적_y,전국스크린수_y,전국매출액_y,전국관객수_y,서울매출액_y,서울관객수_y,장르_y,등급_y,영화구분_y,_merge
653.0,러브드럭스,에드워드 즈윅,,,이십세기폭스코리아(주),2011-01-13,개봉영화,장편,미국,284,"4,125,733,000",527077.0,"2,020,856,000","250,187",멜로/로맨스,청소년관람불가,일반영화,Love And Other Drugs,2010.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,left_only
42.0,럭키,이계벽,(주)용필름,,(주)쇼박스,2016-10-13,개봉영화,장편,한국,"1,158","56,361,435,256",6965706.0,"13,812,629,836","1,640,015",코미디,15세이상관람가,일반영화,LUCK-KEY,2015.0,0.0,15767.0,,,,,,,,,,,,,,,,,,,,left_only
460.0,로그원스타워즈스토리,가렛 에드워즈,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2016-12-28,개봉영화,장편,미국,907,"9,047,995,594",1019309.0,"3,187,685,444","339,042",액션,12세이상관람가,일반영화,Rogue One: A Star Wars Story,2016.0,0.0,3189.0,,,,,,,,,,,,,,,,,,,,left_only
4097.0,로미오와줄리엣,,,(주)인스터피씨엠,(주)인스터피씨엠,2017-06-03,개봉영화,장편,미국,11,"30,322,500",1306.0,"21,571,500",930,공연,전체관람가,일반영화,Romeo And Juliet,1954.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,left_only
1935.0,리멤버미,앨런 콜터,,㈜케이디미디어,㈜케이디미디어,2011-03-03,개봉영화,장편,미국,139,"200,247,000",26629.0,"76,902,000","9,733",멜로/로맨스,15세이상관람가,일반영화,Remember Me,2010.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,left_only
4085.0,마담버터플라이,,,(주)인스터피씨엠,(주)인스터피씨엠,2016-09-03,개봉영화,장편,미국,6,"31,371,000",1324.0,"24,339,000","1,016",공연,전체관람가,일반영화,Madame Butterfly,1995.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,left_only
971.0,마마,최익환,"씨네주(유),㈜더드림앤드픽쳐스",,롯데쇼핑㈜롯데엔터테인먼트,2011-06-01,개봉영화,장편,한국,269,"1,533,830,500",222731.0,"427,065,500","59,189",드라마,12세이상관람가,일반영화,Mama,2011.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,left_only
1817.0,마스터,폴 토마스 앤더슨,,(주)누리픽쳐스,(주)영화사 진진,2013-07-11,개봉영화,장편,미국,38,"256,118,300",33505.0,"200,422,300","25,404",드라마,청소년관람불가,독립/예술영화,The Master,2012.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,left_only
3945.0,맘대드,브라이언 테일러,,(주)아펙스 엔터테인먼트,(주)박수엔터테인먼트,2018-07-18,개봉영화,장편,미국,52,"12,272,600",1549.0,"5,059,800",603,공포(호러),15세이상관람가,독립/예술영화,Mom and Dad,2017.0,0.0,41.0,,,,,,,,,,,,,,,,,,,,left_only
214.0,목격자,조규장,(주)에이디사공육,,(주)넥스트엔터테인먼트월드(NEW),2018-08-15,개봉영화,장편,한국,"1,021","21,732,042,597",2524086.0,"4,600,434,447","514,732",스릴러,15세이상관람가,일반영화,The Witness,2017.0,0.0,583.0,,,,,,,,,,,,,,,,,,,,left_only
