영화명,영문명,감독명,개봉일,키워드,줄거리,수상내역
어펜더: 범죄와의 전쟁,,론 스컬펠로,2013-04-26,"범죄자,폭행,유산,복수,교도소",범죄자들의 폭행으로 유산한 아내의 복수를 위해 교도소에 들어가 응징하는 남자의 이야기,
언디스퓨티드: 1대100의 혈투,,에두아르도 로드리게즈,2013-06-07,"마약,돈가방,대결",마약상의 돈가방을 훔친 남자와 돈가방을 되찾으려는 마약상들과 대결을 그린 내용,
포르노그래픽 러브,,일리안 드제벨레코브,2013-08-09,"인터넷,온라인사이트,성적욕망,사랑",온라인 데이트 사이트에 접속하여 성적 욕망을 드러내는 여러 군상들의 모습을 다룬 영화,
권법 쿵푸의 신,,정사걸,2013-08-02,"무술,코미디,쿵푸,권법","이소룡, 성룡, 적룡과 더불어 홍콩의 네 마리 용으로 불리는 양소룡과 제자들이 벌이는 왁자지껄한 무술 코미디. 허름한 찻집에서 파리만 날리고 있는 드래곤과 타이거, 쿵푸의 고수 로썬의 제자로 이름을 날리던 그들은 30년 전 로썬이 코마에 빠진 후 꿈도, 젊음도, 무술 실력도 잃은 지 오래. 그런 그들 앞에 젊은 부동산 중개인이 나타나 로썬을 깨우는데!",
스티븐 시걸의 리벤지,,케오니 왝스먼,2013-06-28,"교도소,CIA,특수부대","액션의 스페셜 리스트들이 맞붙는다! 군과 정보국 요원들만을 수감하는 특수 교도소는 기밀정보의 유출을 방지하기 위해 최첨단 시설로 통제되며 미로처럼 설계된 것이 특징이다. 어느 날, 두 명의 여성 수감자가 이 곳에 수감되는데 이 중 한 명 은 전직 CIA요원으로 극비임무 수행 중 그녀의 잘못으로 작전이 수포로 돌아가자 이 곳 특수 교도소에 수감되고, 이 곳을 관리하는 전직 특수부대 출신인 ‘크로스 (스티븐 시갈)’와 ‘매닝 (스티브 오스틴)’이 그녀를 인계 받는다. 그 날밤, 경찰이라고 자신의 신분을 밝힌 이들이 특수 교도소에 들이닥쳐 여자 수감자 두 명의 이송을 요구한다. 하지만 특수 교도소의 존재는 경찰조차 모르는 사실. 이를 수상히 여긴 ‘크로스’와 ‘매닝’은 이들을 의심하게 되는데...",
에스엠타운 라이브인도쿄스페셜에디션3D,SM Town Live in Tokyo Special Edition 3D,유호진,2012-10-11,,2011년 일본 도쿄돔에서 열린 SM엔터테인먼트 소속 가수들의 합동 공연 실황을 3D로 담은 영화,
친구의 아내를 탐하다,,얀 흐르베이크,2013-05-31,"부부,문제해결,여행",두 쌍의 부부가 여행을 떠나 성적 문제를 해결한다는 내용,
정사 : 두 여자와의 로맨스,,마크 만,2013-04-19,"마약,성,중독,카메라",마약과 성에 중독된 삶을 살아가는 세 명의 남녀에게 카메라가 주어지면서 일어나는 일을 그린 내용,
셀러브리티 섹스테이프,,스캇 휠러,2013-06-27,"동영상,유출,배상,사업",S 동영상 유출로 거액의 배상비를 물어야 할 처지에 놓인 대학생들이 돈을 벌기위해 직접 S 동영상 사업을 벌인다는 이야기,
남자 대 여자: 섹스가 문제다,,파우스토 브리지,2013-05-03,"결혼,권태기,부부,성생활,커플",결혼한 지 20년이 지나 권태기를 겪는 부부를 중심으로 여러 커플의 성생활을 그린 이야기,
펫,Pet,카를레스 토렌스,2016-11-30,"밀실,납치,SNS,사육,집착,스토킹","한 유기견 보호소 차디 찬 지하 밀실 철장 안. 그 속에서 눈을 뜬 ‘홀리’는 자신이 납치되었다는 사실을 알아 차린다. 그 때, 철장 밖에서 ‘홀리’에게 먹을 것을 건네는 사내 ‘세스’ 그는 바로 전 날까지 자신을 SNS로 끊임없이 훔쳐보며 구애를 하던 남자다. 아무런 말, 어떠한 이유도 설명하지 않는 ‘세스’, 알 수 없는 행동 속에 점점 더 공포로 질려가는 ‘홀리’ 하지만, 서서히 밝혀지는 충격적인 진실 속에 상황은 예상치 못한 방향으로 치닫기 시작하는데…",시체스 국제판타스틱 영화제(2016) : 오피셜 판타스틱-최우수각본상 - 제레미 슬레이터
아이 엠 낫 유어 니그로,,라울 펙,2018-02-08,,"나는 검둥이가 아니라 사람입니다.”미국의 가장 위대한 20세기 작가, 제임스 볼드윈은 미국흑인민권운동의 중심 인물 마틴 루서 킹, 맬컴 엑스, 메드가 에버스에 대한 이야기를 쓰기 시작한다. 결국 30페이지의 미완성 에세이로 남게 된 '리멤버 디스 하우스'는 사무엘 L. 잭슨의 목소리와 라울 펙 감독의 연출을 통해 생생하게 구현된다. 세 인물의 삶과 피살 사건, 그리고 백인 중심의 세상 속에서 왜곡되어 온 흑인의 이미지에 대한 제임스 볼드윈의 이야기는 흑인민권시대에 대한 훌륭한 기록이자 수십 년이 지난 지금 우리에게 던지는 현재진행형의 질문이다.",LA비평가협회상(2016) : 다큐멘터리상 - 라울 펙|베를린국제영화제(2017) : 파노라마 관객상 - 라울 펙|베를린국제영화제(2017) : 에큐메니칼 심사위원상:특별언급 - 라울 펙|토론토국제영화제(2016) : 다큐멘터리 관객상 - 라울 펙
투란도트,Turandot,스테파노 포다,2018-08-26,"왕자,공주,수수께끼,오페라",베이징의 냉혹한 공주 투란도트와 그녀의 사랑을 얻기 위해 세 가지 수수께끼에 도전하는 칼라프 왕자의 이야기를 다룬 푸치니 오페라 실황 영상,
아메리카파이: 19금 여배우들,,폴 사피아노,2013-02-28,"섹시,섹스,꿈꾸다,여자들",섹시한 여자들과 섹스를 꿈꾸는 남자들과 남자와의 섹스를 통해 자신들이 필요한 것을 얻는 여자들을 그린 이야기,
라 트라비아타,,메트오페라,2017-08-05,,베르디의 오페라 ‘라 트라비아타’ 공연 실황 영상,
