순번,영진위 영화명,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
1299,다크타워 희망의 탑,다크타워희망의탑,니콜라이 아르셀,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-08-23,개봉영화,장편,미국,497,"761,759,275",97017,"261,769,275","31,833",액션,15세이상관람가,일반영화
1300,슈퍼 빼꼼 스파이 대작전,슈퍼빼꼼스파이대작전,임아론,(합)알지애니메이션스튜디오,,메가박스중앙(주)플러스엠,2017-05-03,개봉영화,장편,한국,358,"691,794,900",97005,"115,854,000","15,029",애니메이션,전체관람가,일반영화
1301,하치 이야기,하치이야기,라세 할스트롬,"스션 필름,인페르노 디스트리뷰션",(주)코콘그룹,(주)프라임엔터테인먼트,2010-02-18,개봉영화,장편,미국,163,"703,309,748",96683,"229,465,500","29,915",드라마,전체관람가,일반영화
1302,나탈리,나탈리,주경중,(주)상상엔터테인먼트,,롯데쇼핑㈜롯데엔터테인먼트,2010-10-28,개봉영화,장편,한국,196,"1,131,832,453",96410,"378,799,000","32,183",멜로/로맨스,청소년관람불가,일반영화
1303,바스티유 데이,바스티유데이,제임스 왓킨스,,(주)더블앤조이픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,2016-10-13,개봉영화,장편,미국,422,"764,700,600",96305,"240,785,200","29,327",액션,15세이상관람가,일반영화
1304,577 프로젝트,577프로젝트,이근우,"(주)다세포클럽,(주)무브픽쳐스,(주)판타지오,(주)숲 엔터테인먼트",,필라멘트픽쳐스,2012-08-30,개봉영화,장편,한국,191,"695,765,500",96079,"309,860,500","40,607",코미디,15세이상관람가,일반영화
1305,기생령,기생령,고석진,"(주)코어콘텐츠미디어,(주)이스트스카이필름",,롯데쇼핑㈜롯데엔터테인먼트,2011-08-05,개봉영화,장편,한국,207,"746,326,000",96077,"213,113,500","26,314",공포(호러),청소년관람불가,일반영화
1306,걷기왕,걷기왕,백승화,㈜인디스토리,,CGV아트하우스,2016-10-20,개봉영화,장편,한국,462,"710,905,075",95542,"209,094,375","26,306",드라마,12세이상관람가,일반영화
1307,무서운 이야기 3  화성에서 온 소녀,무서운이야기3화성에서온소녀,"백승빈,김선,김곡,민규동",(주)수필름,,롯데쇼핑㈜롯데엔터테인먼트,2016-06-01,개봉영화,옴니버스,한국,317,"764,967,500",95415,"164,623,500","19,541",공포(호러),15세이상관람가,일반영화
1308,일사각오,일사각오,"권혁만,고문안",KBS,,파이오니아21,2016-03-17,개봉영화,장편,한국,51,"682,581,500",94767,"234,140,700","32,943",드라마,12세이상관람가,일반영화
1309,사일런스,사일런스,마틴 스콜세지,,(주)메인타이틀픽쳐스,씨네그루(주)키다리이엔티,2017-02-28,개봉영화,장편,미국,342,"700,818,300",94750,"298,799,600","38,435",드라마,15세이상관람가,독립/예술영화
1310,초한지 - 천하대전,초한지천하대전,이인항,,(유)조이앤컨텐츠그룹,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),2012-01-11,개봉영화,장편,중국,167,"710,375,000",94652,"209,634,000","26,810",액션,12세이상관람가,일반영화
1311,인비저블 게스트,인비저블게스트,오리올 파울로,,(주)더블앤조이픽쳐스,(주)더블앤조이픽쳐스,2017-09-21,개봉영화,장편,스페인,232,"758,162,200",94281,"367,271,800","44,659",범죄,15세이상관람가,독립/예술영화
1312,"나, 다니엘 블레이크",나다니엘블레이크,켄 로치,,(주)영화사 진진,(주)영화사 진진,2016-12-08,개봉영화,장편,영국,63,"711,080,800",94266,"467,427,800","60,048",드라마,12세이상관람가,독립/예술영화
1313,나의 산티아고,나의산티아고,줄리아 폰 하인츠,,(주)영화사 진진,(주)영화사 진진,2016-07-14,개봉영화,장편,독일,88,"721,244,232",94243,"404,870,932","51,590",코미디,12세이상관람가,독립/예술영화
1314,마야2,마야2,"노엘 클리어리,세르지오 델피노",,(주)시네마리퍼블릭,(주)영화사 빅,2018-02-01,개봉영화,장편,독일,429,"670,314,200",94179,"120,929,400","15,990",애니메이션,전체관람가,독립/예술영화
1315,커다랗고 커다랗고 커다란 배,커다랗고커다랗고커다란배,"필립 립스키,요르겐 레르담",,예지림엔터테인먼트,예지림엔터테인먼트,2018-05-03,개봉영화,장편,덴마크,350,"737,815,900",94151,"118,028,000","14,674",애니메이션,전체관람가,독립/예술영화
1316,베일리 어게인,베일리어게인,라세 할스트롬,,(주)선익필름,(주)홈초이스,2018-11-22,개봉영화,장편,미국,189,"796,864,900",93691,"314,266,200","35,522",어드벤처,전체관람가,독립/예술영화
1317,프리스트,프리스트,스콧 찰스 스튜어트,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-06-09,개봉영화,장편,미국,228,"839,493,000",93336,"318,540,500","32,203",액션,15세이상관람가,일반영화
1318,원피스 극장판 Z,원피스극장판z,나가미네 타츠야,,씨제이이앤엠(주),씨제이이앤엠(주),2013-03-21,개봉영화,장편,일본,267,"626,891,000",93239,"150,616,000","20,860",애니메이션,전체관람가,일반영화
1319,태풍이 지나가고,태풍이지나가고,고레에다 히로카즈,,(주)티캐스트,(주)티캐스트,2016-07-27,개봉영화,장편,일본,72,"772,484,972",93005,"542,795,372","63,098",드라마,12세이상관람가,독립/예술영화
1320,루이스,루이스,"울프강 라우엔슈타인,크리스토프 라우엔슈타인",,(주)스마일이엔티,(주)스마일이엔티,2018-09-20,개봉영화,장편,독일,325,"729,147,750",93000,"175,615,150","21,102",애니메이션,전체관람가,독립/예술영화
1321,본 투 비 블루,본투비블루,로버트 뷔드로,,그린나래미디어(주),그린나래미디어(주),2016-06-09,개봉영화,장편,캐나다,147,"755,724,082",92729,"470,656,182","55,475",드라마,청소년관람불가,독립/예술영화
1322,7번째 아들,7번째아들,세르게이 보드로프,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-02-11,개봉영화,장편,미국,358,"729,980,451",92598,"218,674,251","25,546",어드벤처,12세이상관람가,일반영화
1323,샤크 나이트 3D,샤크나이트3d,데이비드 R. 엘리스,,,(주)화앤담이엔티,2011-09-15,개봉영화,장편,미국,239,"855,047,000",92505,"249,100,500","24,237",스릴러,15세이상관람가,일반영화
1324,철가방 우수氏,철가방우수,윤학렬,(주)대길이에스,,씨제이이앤엠(주),2012-11-22,개봉영화,장편,한국,119,"604,032,500",92404,"267,638,500","39,370",드라마,12세이상관람가,독립/예술영화
1325,크리미널,크리미널,아리엘 브로멘,,(유)조이앤시네마,(주)영화사 빅,2016-06-22,개봉영화,장편,영국,351,"738,985,181",92358,"259,113,081","31,545",액션,15세이상관람가,독립/예술영화
1326,구스 베이비,구스베이비,크리스토퍼 젠킨스,,(주)머스트씨무비릴리징컴퍼니,(주)이수C&E,2019-01-16,개봉영화,장편,미국,424,"652,090,360",91430,"110,715,900","14,539",애니메이션,전체관람가,일반영화
1327,포커스,포커스,"글렌 피카라,존 레쿼",,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-02-26,개봉영화,장편,미국,349,"702,878,700",91164,"227,994,000","28,313",코미디,15세이상관람가,일반영화
1328,마마,마마,안드레스 무시에티,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2013-01-23,개봉영화,장편,미국,164,"662,161,500",91143,"224,271,500","29,260",공포(호러),15세이상관람가,일반영화
1329,타워 하이스트,타워하이스트,브렛 래트너,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2011-11-17,개봉영화,장편,미국,213,"631,715,500",90840,"192,286,000","25,972",액션,12세이상관람가,일반영화
1330,노 게임 노 라이프 -제로-,노게임노라이프제로,이시즈카 아츠코,,(주)애니플러스,(주)박수엔터테인먼트,2017-10-19,개봉영화,장편,일본,121,"739,368,300",90718,"202,590,300","24,302",애니메이션,12세이상관람가,독립/예술영화
1331,써니 감독판,써니감독판,강형철,"(주)알로하픽쳐스,(주)토일렛픽쳐스",,씨제이이앤엠(주),2011-07-28,개봉영화,장편,한국,54,"698,549,500",90562,"326,414,000","41,959",드라마,청소년관람불가,일반영화
1332,완벽한 파트너,완벽한파트너,박헌수,"(주)영화사참,락시픽쳐스",,타임스토리그룹(주),2011-11-17,개봉영화,장편,한국,166,"676,141,000",89526,"187,492,000","23,729",코미디,청소년관람불가,독립/예술영화
1333,더 매직 리틀톰과 도둑공주,더매직리틀톰과도둑공주,어네스토 파드롱,,(주)올스타엔터테인먼트,"㈜코리아스크린,와이드 릴리즈(주)",2015-09-24,개봉영화,장편,스페인,193,"653,636,700",89358,"152,376,100","20,244",애니메이션,전체관람가,독립/예술영화
1334,슈퍼미니,슈퍼미니,"토마스 자보,헬레네 지라드",,판씨네마(주),판씨네마(주),2014-04-10,개봉영화,장편,프랑스,303,"640,234,500",89328,"160,231,000","21,281",애니메이션,전체관람가,일반영화
1335,오베라는 남자,오베라는남자,하네스 홀름,,(주)싸이더스,"(주)싸이더스,(주)디스테이션",2016-05-25,개봉영화,장편,스웨덴,255,"711,736,888",89103,"359,658,888","43,635",드라마,12세이상관람가,독립/예술영화
1336,페이스 블라인드,페이스블라인드,줄리앙 마그넷,,(주)영화사폴,(주)마인스 엔터테인먼트,2012-06-21,개봉영화,장편,미국,179,"660,556,169",88977,"227,353,169","28,629",범죄,청소년관람불가,일반영화
1337,더 콜,더콜,브래드 앤더슨,,(주)포커스엔터테인먼트,(주)넥스트엔터테인먼트월드(NEW),2013-06-20,개봉영화,장편,미국,241,"626,952,634",88953,"238,777,634","32,488",스릴러,청소년관람불가,일반영화
