순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
6493,킬러스,"키모 스탐보엘,티모 타잔토",,씨네그루(주)다우기술,씨네그루(주)다우기술,2015-02-04,개봉영화,장편,인도네시아,1,"250,000",50,"250,000",50,액션,청소년관람불가,일반영화
6499,홈 스위트 홈,존K.D.그래함,,(주)나우콘텐츠,(주)나우콘텐츠,2014-02-27,개봉영화,장편,미국,1,"200,000",50,"200,000",50,스릴러,15세이상관람가,일반영화
6520,스나이퍼,알렉세이 유치텔,,(주)소나무픽쳐스,(주)소나무픽쳐스,2015-02-05,개봉영화,장편,러시아,5,"289,000",47,"59,000",7,드라마,15세이상관람가,일반영화
6573,트릭,폴 버호벤,,라인트리엔터테인먼트,(주)액티버스엔터테인먼트,2013-11-21,개봉영화,장편,네덜란드,3,"258,000",41,0,0,드라마,청소년관람불가,독립/예술영화
6601,정글,알렉산드르 보이틴스키,,주식회사 루믹스미디어,주식회사 루믹스미디어,2015-08-27,개봉영화,장편,러시아,1,"200,000",40,0,0,어드벤처,12세이상관람가,일반영화
6608,히치하이크,시바타 아이노스케,,주식회사 마운틴픽쳐스,주식회사 마운틴픽쳐스,2014-10-16,개봉영화,장편,일본,1,"280,000",40,0,0,드라마,청소년관람불가,일반영화
6632,패신저스,로드리고 가르시아,,씨네라인월드(주),THE 픽쳐스,2016-07-14,개봉영화,장편,미국,4,"228,000",37,0,0,미스터리,12세이상관람가,독립/예술영화
6692,해결사,아칸 사타예브,,(주)케이알씨지,(주)케이알씨지,2017-09-14,개봉영화,장편,카자흐스탄,5,"71,000",31,"8,000",4,액션,15세이상관람가,독립/예술영화
6745,라스트 미션,조 마지오,,(유)조이앤시네마,(유)조이앤시네마,2018-05-30,개봉영화,장편,미국,5,"32,000",28,"2,000",1,드라마,15세이상관람가,독립/예술영화
6746,무법자,르네 페르즈,,(주)케이알씨지,(주)케이알씨지,2018-04-19,개봉영화,장편,미국,3,"41,000",28,"4,000",2,서부극(웨스턴),15세이상관람가,독립/예술영화
6754,파괴자들,스티븐 세인버그,,(주)액티버스엔터테인먼트,(주)액티버스엔터테인먼트,2017-10-19,개봉영화,장편,미국,5,"121,000",28,"12,000",6,스릴러,15세이상관람가,독립/예술영화
6802,내 동생의 아내,조태호,(주)영화사가을,,(주)영화사가을,2019-01-14,개봉영화,장편,한국,20,"105,000",20,0,0,멜로/로맨스,청소년관람불가,일반영화
6818,몬스터,오오쿠 아키코,,주식회사 마운틴픽쳐스,주식회사 마운틴픽쳐스,2015-04-09,개봉영화,장편,일본,1,"140,000",20,0,0,드라마,청소년관람불가,일반영화
6872,여비서,박범수,(주)케이알씨지,,(주)케이알씨지,2016-12-22,개봉영화,장편,한국,2,"88,000",18,0,0,멜로/로맨스,청소년관람불가,일반영화
6892,마피아,라이언 콤즈,,스크린조이,스크린조이,2015-01-29,개봉영화,장편,미국,2,"112,000",16,"14,000",2,액션,청소년관람불가,일반영화
6940,메모리즈,이수성,㈜리필름,,㈜리필름,2019-04-25,개봉영화,장편,한국,5,"38,000",11,0,0,드라마,전체관람가,독립/예술영화
6981,그녀의 섹스 테크닉,코시자카 야스시,,(주)영진크리에이티브,(주)영진크리에이티브,2015-10-12,개봉영화,장편,일본,1,"100,000",10,0,0,멜로/로맨스,청소년관람불가,일반영화
7068,목격자,스브야토슬라브 포드가에브스키,,봄바람영화사,봄바람영화사,2017-08-28,개봉영화,장편,러시아,1,"50,000",10,0,0,공포(호러),15세이상관람가,독립/예술영화
7107,비밀애,노구치 테루오,,(주)케이알씨지,(주)케이알씨지,2018-02-01,개봉영화,장편,일본,5,"25,000",10,"4,000",2,멜로/로맨스,15세이상관람가,일반영화
7203,완벽한 파트너,코시자카 야스시,,(주)영진크리에이티브,(주)영진크리에이티브,2015-10-05,개봉영화,장편,일본,1,"100,000",10,0,0,멜로/로맨스,청소년관람불가,일반영화
7217,위험한 유혹,이사카와 히토시,,(유)조이앤컨텐츠그룹,(유)조이앤컨텐츠그룹,2012-09-01,개봉영화,장편,일본,1,"30,000",10,0,0,멜로/로맨스,청소년관람불가,일반영화
7363,스파이 게임,웨이먼 분스,,스크린조이,스크린조이,2015-09-10,개봉영화,장편,미국,2,"32,000",8,"16,000",4,스릴러,청소년관람불가,일반영화
7534,더 게스트,아담 윈가드,,브릿지웍스 엔터테인먼트(주),브릿지웍스 엔터테인먼트(주),2015-09-25,개봉영화,장편,미국,2,"10,000",2,"5,000",1,액션,청소년관람불가,일반영화
7568,바람난 아내,후지로 미치시,,(주)씨앤피미디어,(주)씨앤피미디어,2010-04-12,개봉영화,장편,일본,1,"4,000",2,"4,000",2,성인물(에로),청소년관람불가,일반영화
7798,관계,오자키 히로코우지,,(주)플라이어,(주)플라이어,2018-07-26,개봉영화,장편,일본,1,"6,000",1,0,0,드라마,청소년관람불가,일반영화
7883,기적의 피아노,드미트리어스 나바로,,(주)시네마리퍼블릭,(주)시네마리퍼블릭,2017-10-23,개봉영화,장편,미국,1,"3,000",1,0,0,가족,전체관람가,일반영화
7987,내 동생의 아내,카에데,,(주)영진크리에이티브,(주)영진크리에이티브,2016-10-17,개봉영화,장편,일본,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
8009,내 아내의 친구,호리이 아야,,(주)플라이어,(주)플라이어,2018-04-03,개봉영화,장편,일본,1,"6,000",1,0,0,드라마,청소년관람불가,일반영화
8010,내 아내의 친구,김정오,(주)영화사가을,,(주)영화사가을,2017-01-05,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
8123,누드모델,박범수,(주)케이알씨지,,(주)케이알씨지,2017-06-06,개봉영화,장편,한국,1,"3,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
8182,대지진,사릭 안드레아시안,,(주)퍼스트런,(주)퍼스트런,2018-11-29,개봉영화,장편,러시아,1,"2,000",1,"2,000",1,드라마,12세이상관람가,독립/예술영화
8193,더 베일,브렌트 라이언 그린,,(주)퍼스트런,(주)퍼스트런,2017-05-19,개봉영화,장편,미국,1,"3,000",1,0,0,액션,15세이상관람가,일반영화
8222,데스 위시,카를로 푸스코,,주식회사 레드아이스,주식회사 레드아이스,2019-03-22,개봉영화,장편,미국,1,"1,000",1,0,0,드라마,청소년관람불가,일반영화
8258,동창생,다무라 코우스케,,(주)케이알씨지,(주)케이알씨지,2015-07-09,개봉영화,장편,일본,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
8288,드래곤 기사단,사이먼 웰스,,주식회사 풍경소리,주식회사 풍경소리,2018-03-31,개봉영화,장편,영국,1,"3,000",1,0,0,판타지,15세이상관람가,일반영화
8565,바람난 아내,이민,(주)케이알씨지,,(주)케이알씨지,2017-09-05,개봉영화,장편,한국,1,"2,000",1,"2,000",1,드라마,청소년관람불가,일반영화
8566,바람난 아내들,장두만,(주)케이피에이기획,,(주)케이피에이기획,2018-10-23,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
8567,바람난 아내들,나가에 타카미,,(주)영진크리에이티브,(주)영진크리에이티브,2018-04-24,개봉영화,장편,일본,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
8680,불륜 동창회,오타니 야스유키,,(주)소나무픽쳐스,(주)소나무픽쳐스,2015-08-13,개봉영화,장편,일본,1,"5,000",1,"5,000",1,멜로/로맨스,청소년관람불가,일반영화
8756,빼앗긴 아내,크왓치,,(주)플라이어,(주)플라이어,2018-01-26,개봉영화,장편,일본,1,"6,000",1,0,0,기타,청소년관람불가,일반영화
8757,빼앗긴 아내,나쿠루 하라다,,(주)영진크리에이티브,(주)영진크리에이티브,2017-01-20,개봉영화,장편,일본,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
8781,사이드 이펙트,"안드레아스 클리멘트,안드레 헤데토프트",,(주)시네마리퍼블릭,(주)시네마리퍼블릭,2018-07-03,개봉영화,장편,스웨덴,1,"1,000",1,0,0,SF,15세이상관람가,일반영화
8822,새아빠,이상민,(주)영화사가을,,(주)영화사가을,2018-06-15,개봉영화,장편,한국,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
8823,새아빠,네지메 지로,,(주)영진크리에이티브,(주)영진크리에이티브,2018-03-16,개봉영화,장편,일본,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
9226,어린 아내,,,(유)조이앤시네마,(유)조이앤시네마,2017-06-20,개봉영화,장편,일본,1,"3,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
9252,어밴던드,존 라잉,,(주)블루브릭,(주)블루브릭,2016-03-02,개봉영화,장편,뉴질랜드,1,"5,000",1,0,0,드라마,12세이상관람가,일반영화
9518,위험한 유혹,제임스 프랭코,,(주)케이알씨지,(주)케이알씨지,2016-12-28,개봉영화,장편,미국,1,"5,000",1,0,0,드라마,청소년관람불가,일반영화
9774,젊은 새엄마,김정오,(주)영화사가을,,(주)영화사가을,2016-12-15,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
9955,착한 엄마,강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2017-11-09,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
10141,카운트다운,존 스톡웰,,(주)퍼스트런,(주)퍼스트런,2016-11-22,개봉영화,장편,미국,1,"3,000",1,0,0,액션,청소년관람불가,일반영화
10142,카운트다운,나타우트 푼프리야,,(주)제이에이와이이엔터테인먼트,(주)제이에이와이이엔터테인먼트,2015-12-03,개봉영화,장편,태국,1,"7,000",1,"7,000",1,공포(호러),청소년관람불가,일반영화
10169,크레이지,릭 비버,,(주)시네마리퍼블릭,(주)시네마리퍼블릭,2017-01-19,개봉영화,장편,미국,1,"5,000",1,0,0,드라마,청소년관람불가,일반영화
10215,토일렛,이상훈,(주)오예스,,(주)오예스,2017-09-05,개봉영화,장편,한국,1,"3,000",1,0,0,스릴러,청소년관람불가,일반영화
10226,트릭,닐 호너,,(주)시네마리퍼블릭,(주)시네마리퍼블릭,2017-06-08,개봉영화,장편,영국,1,"3,000",1,0,0,범죄,15세이상관람가,일반영화
10286,플립,헤리스 데멜,,라인트리엔터테인먼트,라인트리엔터테인먼트,2016-02-25,개봉영화,장편,미국,1,"5,000",1,"5,000",1,드라마,청소년관람불가,일반영화
