영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분,제작년도,원작도서유무,네이버기대지수,API구분
닥터스트레인지,스콧 데릭슨,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-10-26,개봉영화,장편,미국,"1,503","47,482,530,396",5446379,"15,365,072,146","1,657,823",액션,12세이상관람가,일반영화,2016.0,0,17810.0,both
검은사제들,장재현,영화사 집,,씨제이이앤엠(주),2015-11-05,개봉영화,장편,한국,"1,088","42,395,347,092",5440945,"11,618,059,792","1,428,491",미스터리,15세이상관람가,일반영화,2015.0,0,15918.0,both
안시성,김광식,"(주)영화사수작,(주)스튜디오앤뉴,주식회사 모티브랩",,(주)넥스트엔터테인먼트월드(NEW),2018-09-19,개봉영화,장편,한국,"1,540","46,335,334,026",5440186,"10,028,662,426","1,146,191",사극,12세이상관람가,일반영화,2017.0,0,2468.0,both
블랙팬서,라이언 쿠글러,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2018-02-14,개봉영화,장편,미국,"1,620","45,883,143,457",5398994,"13,105,688,057","1,468,761",액션,12세이상관람가,일반영화,2018.0,0,7497.0,both
더킹,한재림,(주)우주필름,,(주)넥스트엔터테인먼트월드(NEW),2017-01-18,개봉영화,장편,한국,"1,310","43,486,078,535",5316325,"11,144,618,435","1,318,493",범죄,15세이상관람가,일반영화,2016.0,0,17679.0,both
완득이,이한,"(주)유비유필름,어나더픽쳐스(주)",,씨제이이앤엠(주),2011-10-20,개봉영화,장편,한국,500,"38,530,503,500",5310510,"11,657,798,500","1,525,277",드라마,12세이상관람가,일반영화,2011.0,1,0.0,both
트랜스포머사라진시대,마이클 베이,,씨제이이앤엠(주),씨제이이앤엠(주),2014-06-25,개봉영화,장편,미국,"1,602","44,012,272,845",5295801,"11,664,376,045","1,323,527",액션,12세이상관람가,일반영화,2014.0,0,8008.0,both
완벽한타인,이재규,"(주)필름몬스터,드라마하우스(주)",,롯데컬처웍스(주)롯데엔터테인먼트,2018-10-31,개봉영화,장편,한국,"1,313","44,356,752,474",5294119,"11,870,044,374","1,373,292",드라마,15세이상관람가,일반영화,2018.0,0,608.0,both
월드워Z,마크 포스터,플랜 비 엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2013-06-20,개봉영화,장편,미국,964,"38,555,357,000",5237525,"12,048,296,500","1,562,677",드라마,15세이상관람가,일반영화,2013.0,1,0.0,both
타워,김지훈,"씨제이이앤엠(주),(주)더타워픽쳐스",,씨제이이앤엠(주),2012-12-25,개봉영화,장편,한국,617,"37,654,858,000",5181014,"9,052,298,500","1,186,378",드라마,12세이상관람가,일반영화,2012.0,0,0.0,both
미녀와야수,빌 콘돈,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2017-03-16,개봉영화,장편,미국,"1,627","42,130,589,579",5137993,"13,177,630,229","1,531,839",멜로/로맨스,전체관람가,일반영화,2017.0,0,8894.0,both
독전,이해영,(주)용필름,,(주)넥스트엔터테인먼트월드(NEW),2018-05-22,개봉영화,장편,한국,"1,357","43,484,892,913",5063620,"10,658,158,413","1,201,461",범죄,15세이상관람가,일반영화,2018.0,0,2703.0,both
쿵푸팬더2,여인영,,씨제이이앤엠(주),씨제이이앤엠(주),2011-05-26,개봉영화,장편,미국,948,"44,298,724,500",5062722,"14,917,759,000","1,575,363",애니메이션,전체관람가,일반영화,2011.0,0,0.0,both
아쿠아맨,제임스 완,,워너브러더스 코리아(주),워너브러더스 코리아(주),2018-12-19,개봉영화,장편,미국,"1,285","44,113,456,704",5038134,"11,897,439,184","1,294,275",액션,12세이상관람가,일반영화,2018.0,0,833.0,both
공작,윤종빈,"(주)영화사 월광,(주)사나이픽처스",,씨제이이앤엠(주),2018-08-08,개봉영화,장편,한국,"1,317","42,759,410,176",4971261,"10,296,507,676","1,158,151",드라마,12세이상관람가,일반영화,2018.0,0,2437.0,both
인사이드아웃,피트 닥터,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2015-07-09,개봉영화,장편,미국,777,"38,015,586,936",4968687,"12,814,825,236","1,594,626",애니메이션,전체관람가,일반영화,2015.0,0,3102.0,both
킹스맨골든서클,매튜 본,,이십세기폭스코리아(주),이십세기폭스코리아(주),2017-09-27,개봉영화,장편,미국,"1,687","40,987,484,736",4945484,"12,306,638,886","1,419,759",액션,청소년관람불가,일반영화,2017.0,0,24898.0,both
바람과함께사라지다,김주호,"(주)두타연,(주)에이디사공육",,(주)넥스트엔터테인먼트월드(NEW),2012-08-08,개봉영화,장편,한국,694,"34,524,377,161",4897551,"8,302,901,161","1,122,802",코미디,12세이상관람가,일반영화,2012.0,0,0.0,both
마션,리들리 스콧,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-10-08,개봉영화,장편,미국,"1,132","39,612,764,295",4875494,"12,914,889,095","1,509,471",액션,12세이상관람가,일반영화,2015.0,1,6812.0,both
토르라그나로크,타이카 와이티티,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2017-10-25,개봉영화,장편,미국,"1,640","39,248,432,595",4857152,"12,088,848,195","1,419,464",액션,12세이상관람가,일반영화,2017.0,0,13239.0,both
