순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분,원제,제작년도,원작도서유무,네이버기대지수,_merge
3144.0,에브리타임룩앳유,한스 바인가르트너,,(주)박수엔터테인먼트,(주)박수엔터테인먼트,2019-03-14,개봉영화,장편,독일,43,"37,078,780","4,526","20,142,480","2,407",코미디,12세이상관람가,독립/예술영화,303,2018.0,0.0,37.0,both
3961.0,에비던스,올라턴드 오선샌미,,(주)미디어로그,(주)미디어로그,2013-12-26,개봉영화,장편,미국,5,"7,664,000","1,532","5,464,000","1,092",공포(호러),청소년관람불가,일반영화,Evidence,2013.0,0.0,0.0,both
2665.0,에스코바르,페르난도 레온 데 아라노아,,한울별이앤엠,(주)영화사 빅,2018-11-15,개봉영화,장편,스페인,99,"70,510,500","8,506","38,372,200","4,586",범죄,15세이상관람가,독립/예술영화,Loving Pablo,2017.0,0.0,109.0,both
5701.0,에스파트너,황백기,,주식회사 레드아이스,주식회사 레드아이스,2016-11-10,개봉영화,장편,홍콩,5,"412,000",116,"48,000",12,멜로/로맨스,청소년관람불가,독립/예술영화,"S for Sex, S for Secret",2015.0,0.0,24.0,both
3614.0,에어라인플라이트,존 윌리스 3세,,(유)조이앤컨텐츠그룹,(유)조이앤컨텐츠그룹,2013-07-18,개봉영화,장편,미국,5,"5,580,000","2,240","600,000",150,스릴러,15세이상관람가,일반영화,Airline Disaster,2010.0,0.0,25.0,both
2992.0,에어크래쉬,리즈 애덤스,,(주)케이알씨지,(주)케이알씨지,2013-10-24,개봉영화,장편,미국,5,"12,160,000","5,410","750,000",150,액션,12세이상관람가,일반영화,Air Collision,2012.0,0.0,0.0,both
3022.0,에이리언둠스데이,마크 앳킨스,,(주)케이알씨지,(주)케이알씨지,2013-10-10,개봉영화,장편,미국,5,"11,840,000","5,240","750,000",150,SF,15세이상관람가,일반영화,Alien Origin,2012.0,0.0,0.0,both
9313.0,에이리언버뮤다삼각지대,닉 라이온,,(주)케이알씨지,(주)케이알씨지,2016-05-19,개봉영화,장편,미국,1,"5,000",1,0,0,액션,12세이상관람가,일반영화,Bermuda Tentacles,2014.0,0.0,19.0,both
4831.0,에이리언스카이라인,닐 존슨,,스크린조이,스크린조이,2014-11-13,개봉영화,장편,미국,6,"1,649,000",403,"819,000",175,액션,15세이상관람가,일반영화,Alien Dawn,2012.0,0.0,38.0,both
4868.0,에이리언스페이스,에멧 카리난,,스크린조이,스크린조이,2014-11-20,개봉영화,장편,미국,4,"1,636,000",384,"846,000",166,SF,15세이상관람가,일반영화,Dark Space,2013.0,0.0,40.0,both
7450.0,에이리언어택2019,제프 르로이,,(유)조이앤시네마,(유)조이앤시네마,2019-02-21,개봉영화,장편,미국,2,"4,000",4,"2,000",2,SF,청소년관람불가,일반영화,Alien Reign,2017.0,0.0,9.0,both
9309.0,에이리언지구대침공,콜린 데이즈,,(주)케이알씨지,(주)케이알씨지,2018-02-21,개봉영화,장편,미국,1,"1,000",1,0,0,SF,청소년관람불가,일반영화,Alien Opponent,2010.0,0.0,1.0,both
393.0,에이리언커버넌트,리들리 스콧,,이십세기폭스코리아(주),이십세기폭스코리아(주),2017-05-09,개봉영화,장편,미국,841,"10,745,826,264","1,307,226","3,395,853,714","396,001",SF,15세이상관람가,일반영화,Alien: Covenant,2017.0,0.0,7635.0,both
9310.0,에이리언컨버전스,롭 팔라티나,,(주)케이알씨지,(주)케이알씨지,2018-11-29,개봉영화,장편,미국,1,"1,000",1,"1,000",1,액션,15세이상관람가,일반영화,Alien Convergence,2017.0,0.0,18.0,both
9311.0,에이리언터미네이터,폴 질러,,스크린조이,스크린조이,2015-05-14,개봉영화,장편,캐나다,1,"5,000",1,0,0,SF,15세이상관람가,일반영화,Metal Shifters,2011.0,0.0,32.0,both
9312.0,에이리언토네이도,제프 버,,스크린조이,스크린조이,2015-06-04,개봉영화,장편,미국,1,"5,000",1,0,0,SF,12세이상관람가,일반영화,Alien Tornado,2012.0,0.0,19.0,both
2542.0,에이미,아시프 카파디아,,주식회사 더쿱,주식회사 더쿱,2015-11-05,개봉영화,장편,영국,31,"85,009,400","10,278","66,099,300","7,820",다큐멘터리,청소년관람불가,독립/예술영화,Amy,2015.0,0.0,465.0,both
4245.0,에이지오브다이노소어,조셉 J. 로손,,(주)케이알씨지,(주)케이알씨지,2014-10-15,개봉영화,장편,미국,20,"4,743,000","1,057","1,085,000",253,SF,15세이상관람가,일반영화,Age of Dinosaurs,2013.0,0.0,63.0,both
9314.0,에이지오브투모로우,제임스 콘델릭,,(주)케이알씨지,(주)케이알씨지,2016-01-14,개봉영화,장편,미국,1,"4,000",1,0,0,SF,15세이상관람가,일반영화,Age of Tomorrow,2014.0,0.0,10.0,both
9315.0,에이컵친구아내남편오기전에,카츠라기 히로후미,,(주)플라이어,(주)플라이어,2016-07-15,개봉영화,장편,일본,1,"8,000",1,0,0,성인물(에로),청소년관람불가,일반영화,Affair of the couple,2015.0,0.0,0.0,both
9316.0,에일리어네이트,마이클 슘웨이,,(주)올스타엔터테인먼트,(주)올스타엔터테인먼트,2018-05-08,개봉영화,장편,미국,1,"5,000",1,0,0,SF,15세이상관람가,일반영화,Alienate,2016.0,0.0,6.0,both
6595.0,에일리언라이징,데이너 슈로더,,주식회사 루믹스미디어,주식회사 루믹스미디어,2015-05-28,개봉영화,장편,미국,1,"200,000",40,0,0,액션,15세이상관람가,일반영화,Alien Rising,2013.0,0.0,2.0,both
4268.0,에일리언비키니,오영두,키노망고스틴,,㈜인디스토리,2011-08-25,개봉영화,장편,한국,10,"7,416,400","1,028","5,631,400",729,SF,청소년관람불가,독립/예술영화,Invasion of Alien Bikini,2010.0,0.0,0.0,both
5939.0,에일리언인베이젼,조하네스 로버츠,,(주)포커스엔터테인먼트,(주)포커스엔터테인먼트,2014-07-17,개봉영화,장편,영국,1,"350,000",70,0,0,SF,15세이상관람가,일반영화,Storage 24,2012.0,0.0,14.0,both
9318.0,에일리언킬러,폴 부쉬,,라온아이(주),라온아이(주),2018-10-04,개봉영화,장편,영국,1,"5,000",1,0,0,액션,청소년관람불가,일반영화,Killers Within,2018.0,0.0,16.0,both
9320.0,에조인류최후의전쟁,스벤 크누펠,,(주)시네마리퍼블릭,(주)시네마리퍼블릭,2016-10-06,개봉영화,장편,독일,1,"4,000",1,"4,000",1,액션,청소년관람불가,일반영화,Ezo 1 Madness,2015.0,0.0,11.0,both
2127.0,에코,데이브 그린,,"(주)박수엔터테인먼트,(주)포커스엔터테인먼트","(주)박수엔터테인먼트,(주)필름오마쥬",2014-10-08,개봉영화,장편,미국,154,"138,735,100","19,142","42,816,200","5,670",SF,전체관람가,독립/예술영화,Earth to Echo,2014.0,0.0,450.0,both
7614.0,에코스오브워,케인 세네스,,(주)이놀미디어,(주)이놀미디어,2015-09-11,개봉영화,장편,미국,1,"14,000",2,0,0,드라마,청소년관람불가,일반영화,Echoes of War,2015.0,0.0,5.0,both
6063.0,에코이펙트,케빈 카러웨이,,(주)블루브릭,(주)블루브릭,2016-06-01,개봉영화,장편,미국,1,"300,000",60,"300,000",60,액션,청소년관람불가,일반영화,Chain of Command,2015.0,0.0,17.0,both
