■ 영화정보 리스트,,,,,,,,
- 조회일: 2019-06-14,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,
▶ 검색조건 : [  영화명: 전체 감독명: 전체 제작연도: 전체 개봉일자:2010-01-01 ~ 2019-06-09 제작상태: 전체 유형: 전체 장르: 전체 등급: 전체 국적: 전체 인덱싱: 전체 입력비율: 전체 ],,,,,,,,
영화명,영화명(영문),제작연도,제작국가,유형,장르,제작상태,감독,제작사
피치 퍼펙트: 언프리티 걸즈,Pitch Perfect 2,2015,미국,장편,"코미디,뮤지컬",개봉,엘리자베스 뱅크스,
차일드 44,Child 44,2015,미국,장편,스릴러,개봉,다니엘 에스피노사,
적도,Helios,2015,홍콩,장편,액션,개봉,"렁록만,써니 럭",
에일리언 라이징,Alien Rising,2014,미국,장편,"액션,SF",개봉,데이너 슈로더,
데이식스,Day6 (6 giorni sulla Terra),2011,이탈리아,장편,"스릴러,미스터리,SF",개봉,바로 벤투리,
옐로우버드,Yellowbird,2013,프랑스,장편,"애니메이션,가족",개봉,"도미니크 몽페리,크리스티앙 드 비타",
신경쇠약 직전의 뱀파이어,Therapy for a Vampire,2014,"오스트리아 ,스위스",장편,코미디,개봉,다비드 륌,
빌리와 용감한 녀석들 3,Ribbit ,2014,미국,장편,"애니메이션,어드벤처",개봉,척 파워스,
유고와 라라: 하늘고래와 구름섬 대모험,Yugo & Lala,2012,중국,장편,애니메이션,개봉,왕운비,
윈드랜드,Pet Pals in Windland,2014,이탈리아,장편,애니메이션,개봉,세르지오 맨피오,
내일까지 5분전,Five Minutes to Tomorrow,2014,"일본,중국",장편,"미스터리,멜로/로맨스",개봉,유키사다 이사오,
엔드 오브 디 어스,Afflicted,2013,"캐나다,미국",장편,"공포(호러),스릴러",개봉,"데렉 리,클리프 프라우즈",
미궁: 비밀애,,2015,한국,장편,"멜로/로맨스,스릴러",개봉,조조 히데오,(주)케이알씨지
우주형제#0,SPACE BROTHERS#0,2014,일본,장편,애니메이션,개봉,와타나베 아유무,
세계일주,The Trip Around the World (W/T),2012,한국,장편,"가족,어드벤처",개봉,이항배,(주)쿠나
토스카,Tosca,2014,프랑스,장편,공연,개봉,피에르 아우디,
코블러,The Cobbler,2014,미국,장편,"판타지,코미디",개봉,토마스 맥카시,
엑시덴탈 러브,Accidental Love,2015,"미국,영국",장편,"코미디,멜로/로맨스",개봉,데이빗 O. 러셀,
K 미싱 킹즈,K Missing Kings,2014,일본,장편,애니메이션,개봉,스즈키 신고,
투 나잇 스탠드,Two Night Stand,2014,미국,장편,"멜로/로맨스,코미디",개봉,맥스 니콜스,
세레나,Serena,2014,"미국,프랑스,체코",장편,드라마,개봉,수잔 비에르,
그런 날 사이에 어떤 날,I Used to Be Darker,2013,미국,장편,드라마,개봉,매튜 포터필드,
33리 ,33Li,2012,한국,단편,"드라마,코미디",기타,조승연,
어라우즈드: 그들의 호기심,Aroused,2013,미국,장편,다큐멘터리,개봉,데보라 앤더슨,
원초적 본능 2015,Passion Play,2010,미국,장편,"멜로/로맨스,드라마,판타지",개봉,미치 글레이저,
달사람,Moon Man,2012,"프랑스,독일",장편,애니메이션,개봉,스테판 셰쉬,
지구대충돌,Collision Earth,2011,캐나다,장편,"액션,SF,스릴러",개봉,폴 질러,
드래곤 킹 레전드,Lord Of The Elves,2012,미국,장편,"액션,어드벤처,판타지",개봉,조셉 J. 로손,
데스타운,The Invoking,2014,미국,장편,"공포(호러),스릴러",개봉,제레미 버그,
친구의 아내를 탐하다 2,Dos Mas Dos,2012,아르헨티나,장편,코미디,개봉,디에고 캐플란,
일개인적무림,Kung Fu Killer ,2014,홍콩,장편,액션,개봉,진덕삼,
명기(무삭제),,2014,한국,장편,"멜로/로맨스,코미디",개봉,강현,(주)소나무픽쳐스
관능시대,A Lute Priest without Ears,2011,일본,장편,멜로/로맨스,개봉,가와사키 히로유키,
스파이,Spy,2015,미국,장편,"액션,코미디",개봉,폴 페이그,
스크리블러,The Scribbler,2014,미국,장편,"스릴러,액션",개봉,존 슈이츠,
마이 미스트리스,My Mistress,2014,호주,장편,"멜로/로맨스,드라마",개봉,스티븐 랜스,
게이샤의 정사,Iro-koi-shi,2007,일본,장편,멜로/로맨스,개봉,오미노 마사시,
비치하트애솔,Bitch Heart Asshole,2014,한국,장편,"멜로/로맨스,드라마",개봉,이난,윤윤상회
배틀독,BATTLE DOGS,2013,미국,장편,"공포(호러),액션,SF",개봉,알렉산더 예렌,
감옥정사,Jailbait,2014,미국,장편,"드라마,스릴러",개봉,자레드 콘,
10층의 모기,A Mosquito on the 10th Floor,1983,일본,장편,액션,기타,최양일,
테레즈 라캥,In Secret,2013,미국,장편,"범죄,드라마,스릴러",개봉,찰리 스트레이턴,
창문 넘어 도망친 100세 노인,The 100 year old man who climbed out the window and disappeard,2013,스웨덴,장편,"어드벤처,코미디,드라마",개봉,플렉스 할그렌,
실버라이닝 플레이북,The Silver Linings Playbook,2012,미국,장편,"멜로/로맨스,코미디,드라마",개봉,데이빗 O. 러셀,
길위에서,On The Road,2012,한국,장편,다큐멘터리,개봉,이창재,(주)비트윈픽처스
더블: 달콤한 악몽,The Double,2013,영국,장편,"미스터리,멜로/로맨스",개봉,리처드 아요데,
정복자 1453,Fetih 1453,2012,터키,장편,"액션,어드벤처,드라마",개봉,파룩 악소이,
보라,The Color of Pain,2010,한국,장편,다큐멘터리,개봉,이강현,
윈터 슬립,Winter Sleep,2014,"터키,프랑스,독일",장편,드라마,개봉,누리 빌제 세일란,
에이리언 터미네이터,Metal Shifters,2011,캐나다,장편,SF,개봉,폴 질러,
아수라: 야쿠자의 길,Shurano-hanamichi 2,2013,일본,장편,"액션,범죄",개봉,츠보이 에이지,
데몬 베이비,Demon Baby,2014,미국,장편,"공포(호러),스릴러",개봉,코리 그리노프,
넥스트 제네레이션 패트레이버 5,THE NEXTGENERATION PATLABOR(EPISODE8),2014,일본,장편,"액션,SF",개봉,오시이 마모루,
미스 메도우,Miss Meadows,2014,미국,장편,드라마,개봉,카렌 리 홉킨스,
부곡 하와이,Illusionary Paradise,2013,한국,장편,드라마,개봉,하강훈,로드 시네마
"힘내세요, 병헌씨",Cheer Up Mr. Lee,2012,한국,장편,"코미디,드라마",개봉,이병헌,
황제펭귄 펭이와 솜이,Pengi and Sommi,2012,한국,장편,다큐멘터리,개봉,"김진만,김재영",(주)MBC
황제를 위하여,For the Emperor,2014,한국,장편,"액션,범죄",개봉,박상준,오퍼스픽쳐스(유)
해로 (偕老),Hand in Hand,2011,한국,장편,드라마,개봉,최종태,"(주)고유에프앤,(주)더줌픽쳐스"
할머니는 일학년,Granny Goes to School,2012,한국,장편,"가족,드라마",개봉,진광교,(주)아피아스튜디오 
하늘의 황금마차,Golden Chariot in the Sky,2013,한국,장편,드라마,개봉,오멸,"국가인권위원회,주식회사 자파리필름"
핑크,Pink,2011,한국,장편,드라마,개봉,전수일,"(주)동녘필름,주식회사 마운틴픽쳐스"
피해자들,The Suffered ,2014,한국,장편,"미스터리,스릴러",개봉,노진수,(주)노시스에프앤디
프랑스인 김명실,Winter Garden,2014,한국,장편,다큐멘터리,개봉,이지현,롱메트라지필름
풍경,Scenery,2013,한국,장편,다큐멘터리,개봉,장률,"(주)률필름,(주)꿈길제작소"
파파로티,My Paparotti,2013,한국,장편,드라마,개봉,윤종찬,케이엠컬쳐㈜
터치,Touch,2012,한국,장편,드라마,개봉,민병훈,민병훈필름
쿼바디스,Quo Vadis,2014,한국,장편,다큐멘터리,개봉,김재환,주식회사 단유필름
콩가네,Kong's Family,2011,한국,장편,"가족,코미디",개봉,남기웅,(주)이웃엔터테인먼트
캠퍼스 S 커플,Campus S Couple,2011,한국,장편,"멜로/로맨스,드라마,코미디",개봉,송창용,(주)레알컴퍼니
카토 프로젝트,K’ARTO Project,2012,한국,장편,다큐멘터리,개봉,김정욱,주식회사 마운틴픽쳐스
춤추는 숲,Forest Dancing,2012,한국,장편,다큐멘터리,개봉,강석필,감어인 필름
춘하추동 로맨스,Men and Women,2013,한국,장편,"코미디,멜로/로맨스,드라마",개봉,오창민,곤씨네
청춘예찬,Animal,2013,한국,장편,드라마,개봉,최종운,화란지우
철암 계곡의 혈투,Bloody Fight in Iron-Rock Valley,2011,한국,장편,"서부극(웨스턴),액션",개봉,지하진,스피나치앤빈
챔프,Champ,2011,한국,장편,드라마,개봉,이환경,"(주)씨엘엔터테인먼트,(주)대명문화공장,(주)예인문화,(주)화인웍스"
창수,Tumbleweed,2013,한국,장편,드라마,개봉,이덕희,"영화사 아람(주),(주)마이더스필름"
지옥화,Fire in Hell,2012,한국,장편,드라마,개봉,이상우,이상우 필름
좀비스쿨,Zombie School,2013,한국,장편,"공포(호러),액션",개봉,김석정,(주)피터팬픽쳐스
이쁜 것들이 되어라,The Legacy,2013,한국,장편,"코미디,드라마,가족,멜로/로맨스",개봉,한승훈,한국영화아카데미
응징자,Days of Wrath,2013,한국,장편,"액션,스릴러",개봉,신동엽,(주)엔브릭스
웨딩스캔들,Wedding Scandal,2012,한국,장편,"코미디,멜로/로맨스",개봉,신동엽,(주)엔브릭스
원더풀 라디오,Love On-Air ,2011,한국,장편,"드라마,멜로/로맨스",개봉,권칠인,"(주)영화사아이비젼,(주)대명문화공장"
우리별 일호와 얼룩소,The Satellite Girl and Milk Cow,2013,한국,장편,"애니메이션,판타지,어드벤처",개봉,장형윤,(주)지금이 아니면 안돼
우리는 그곳에 있었다,We Were There,2012,한국,장편,"다큐멘터리,어드벤처",개봉,박준기,마젠타필름
우리 이웃의 범죄,Sin of a Family,2010,한국,장편,"드라마,스릴러",개봉,민병진,"(주)뮤덴스,영화사 천지"
오직 그대만,Always,2011,한국,장편,멜로/로맨스,개봉,송일곤,"(주)51k,(주)에이치비엔터테인먼트"
오월愛,No Name Stars,2010,한국,장편,다큐멘터리,개봉,김태일,상구네 필름
오늘,A Reason to Live (a.k.a. La Quotidienne),2011,한국,장편,드라마,개봉,이정향,(주)포시즌스카이컴퍼니 
노예 12년,12 Years a Slave,2013,"미국,영국",장편,드라마,개봉,스티브 맥퀸,
세비야의 이발사,The barber of seville,2014,프랑스,장편,공연,개봉,다미아노 미키엘레토,
여의도,A Friend in Need,2010,한국,장편,스릴러,개봉,송정우,(주)제이에프엔터테인먼트
여배우는 너무해,One Thing She Doesn't Have,2012,한국,장편,"멜로/로맨스,코미디",개봉,유정환,골든타이드픽처스(주)
에일리언 비키니,Invasion of Alien Bikini,2011,한국,장편,"SF,코미디,액션",개봉,오영두,키노망고스틴
엄마에게,Still Strange,2011,한국,장편,드라마,개봉,이홍재,이홍재 필름
어디로 갈까요?,Where are to Go?,2010,한국,장편,멜로/로맨스,개봉,진승현,(주)진진엔터테인먼트필름
애정만세,A Time to Love,2011,한국,옴니버스,멜로/로맨스,개봉,"양익준,부지영",㈜인디스토리
악인은 너무 많다,Too Many Villains,2011,한국,장편,"드라마,스릴러",개봉,김회근,하이엔드픽쳐스
아유레디?,Are You Ready?,2013,한국,장편,다큐멘터리,개봉,허원,더패스오브라이프 
신이 보낸 사람,Apostle ,2014,한국,장편,드라마,개봉,김진무,주식회사 태풍코리아
신의 한 수,The Divine Move,2014,한국,장편,"범죄,액션",개봉,조범구,"(주)메이스엔터테인먼트,(주)아지트필름"
슬기로운 해법,Sage Solutions,2014,한국,장편,다큐멘터리,개봉,태준식,(주)시네마달
스파이 파파,Spy Papa,2011,한국,장편,"코미디,가족",개봉,한승룡,영화사 활동사진
슈퍼스타,Super Star,2011,한국,장편,"코미디,드라마",개봉,임진순,스토리룸
숫호구,Super Virgin ,2011,한국,장편,코미디,개봉,백승기,(주)엣나인필름
순천,Splendid but Sad Days,2013,한국,장편,다큐멘터리,개봉,이홍기,(주)리키필름
기생수 파트2,Parasyte: Part 2,2015,일본,장편,"SF,스릴러",개봉,야마자키 타카시,
딥 임팩트 파이널,Earth's Final Hours,2011,캐나다,장편,"액션,SF",개봉,데이빗 호건,
언프렌디드: 친구삭제,Unfriended,2015,미국,장편,"공포(호러),스릴러",개봉,레오 가브리아제,
젊은엄마 : 내 나이가 어때서,,2015,한국,장편,드라마,개봉,김일종,골든타이드픽처스(주)
힐링메이트,,2014,한국,장편,드라마,개봉,신종걸,(주)스크린다
모두의 천사 가디 ,Ghadi,2014,기타,장편,"코미디,드라마",개봉,아민 도라,
님포매니악 볼륨1,Nymphomaniac vol.1 ,2013,"덴마크,독일,프랑스,벨기에,영국",장편,드라마,개봉,라스 폰 트리에,
착한 여자,,2014,한국,장편,멜로/로맨스,개봉,경석호,영화사 인연
아스테릭스: 신들의 전당,Asterix: The Land of The Gods,2014,프랑스,장편,애니메이션,개봉,"루이 클리시,알렉상드르 아스티에",
유고와 라라 : 신비의 숲 어드벤처,Yugo & Lala ,2014,중국,장편,"애니메이션,판타지,어드벤처",개봉,왕운비,
고 녀석 맛나겠다,You are Umasou,2010,일본,장편,애니메이션,개봉,후지모리 마사야,
타이거 마운틴,The Taking of Tiger Mountain,2014,중국,장편,전쟁,개봉,서극,
거룩한 소녀 마리아,Stations of the Cross,2014,독일,장편,드라마,개봉,디트리흐 브룽게만,
"소설, 영화와 만나다",Shorts Meet Shorts,2013,한국,옴니버스,드라마,개봉,"이상우,박진성,박진석,이진우",(재)전주국제영화제조직위원회
섹스 볼란티어,Sex Volunteer,2009,한국,장편,"드라마,다큐멘터리",기타,조경덕,아침해놀이
설마 그럴리가 없어,The Heaven is Only Open to the Single! ,2012,한국,장편,"드라마,멜로/로맨스",개봉,조성규,(주)스폰지이엔티
살인자,Murderer,2013,한국,장편,스릴러,개봉,이기욱,(주)홍필름
사랑해! 진영아,"My Dear Girl, Jin-young",2012,한국,장편,드라마,개봉,이성은,"㈜인디스토리,(주)어뮤즈엔터테인먼트"
손님1 첫번째 이야기,"Guest 1, The first story",2010,한국,장편,"공포(호러),스릴러",개봉,이상화,굿픽처스
아름다운 이별은 없다,There Is No Beautiful Farewell,2013,한국,장편,"스릴러,공포(호러)",개봉,이상화,(주)스넵쏘울
짓,Jit,2013,한국,장편,멜로/로맨스,개봉,한종훈,㈜리필름
천녀유혼,A Chinese Fairy Tale,2010,중국,장편,"SF,판타지,멜로/로맨스",개봉,엽위신,
청야,Geochang Massacre - Bloody winter,2013,한국,장편,드라마,개봉,김재수,"(사)거창사건희생자유족회,꿈꿀권리 "
마술피리,Magic Flute,2014,독일,장편,공연,개봉,,
사랑밖엔 난몰라,All you need is love,2014,일본,장편,성인물(에로),개봉,고토 토시히로,
사랑의 소용돌이,Love's Whirlpool,2014,일본,장편,멜로/로맨스,개봉,미우라 다이스케,
음란한 꽃들의 정사,God in love~the kojiki,2013,일본,장편,성인물(에로),개봉,에모토 토시로,
비키니 라멘걸,Bikin ramen,2013,일본,장편,성인물(에로),개봉,코이즈미 츠요시,
변태투명인간-팬티가 좋아,Invisible Kinky Man,2014,일본,장편,성인물(에로),개봉,오쿠 와타루,
충격! 변태커플,Hoshi's long day,2013,일본,장편,성인물(에로),개봉,아마오카 신지,
왕게임-48일후 후편,48 days,2014,일본,장편,성인물(에로),개봉,코시자카 야스시,
너에게 가르치는 사랑-욕정,Personalized lesson of the secret,2011,일본,장편,성인물(에로),개봉,칸바라 이쿠토,
변태인간-시간여행,Space-time Kinky Man,2014,일본,장편,성인물(에로),개봉,오쿠 와타루,
색정여왕게임-너는 견딜수 있을까?,Battle for the Top,2014,일본,장편,성인물(에로),개봉,야마우치 다이스케,
달콤한 애인 계약서 2,Sweet Knight #2,2014,일본,장편,성인물(에로),개봉,이시카와 지로,
조금 더운 여름밤-불륜,Mother of the friend. Heat pot to wrap up,2009,일본,장편,성인물(에로),개봉,칸바라 이쿠토,
왕게임-48일후 전편,48 days,2014,일본,장편,성인물(에로),개봉,코시자카 야스시,
터치 바이 터치,,2014,한국,장편,멜로/로맨스,개봉,김호준,(주)인피니티엔터테인먼트 
알래스카 대지진,Ice Quake,2010,미국,장편,"액션,SF,스릴러",개봉,폴 질러,
수라의 길,SHURANO HANAMICHI,2013,일본,장편,드라마,개봉,츠보이 에이지,
도깨비 섹스,The Drunken Ogre,2011,일본,장편,"멜로/로맨스,판타지",개봉,가와사키 히로유키,
살인 질주,On the Edge,2014,덴마크,장편,드라마,개봉,크리스티안 E.크리스티안센,
라자르 선생님,Monsieur Lazhar,2011,캐나다,장편,"코미디,드라마",개봉,필리프 팔라도,
클래스,The Class,2008,프랑스,장편,드라마,개봉,로랑 캉테,"Haut et Court,까날 플러스,센터 내셔널 드 라 시네마토그라피"
디태치먼트,Detachment,2012,미국,장편,드라마,개봉,토니 케이,
와즈다,Wadjda,2012,"기타,독일",장편,드라마,개봉,하이파 알-만수르,
스티븐 시걸의 비밀요원,"True Justice Movie 6 : The Shot, One Life",2012,미국,장편,액션,개봉,웨인 로즈,
설화전설,The tale of the bamboo cutter,2011,일본,장편,성인물(에로),개봉,아라키 켄지,
뽕2014(무삭제),,2014,한국,장편,멜로/로맨스,개봉,공자관,밀크픽처스
몸으로 갚을께,Compensating Sins,2014,일본,장편,드라마,개봉,카이하라 쿠리스 료,
다이빙벨: 진실은 침몰하지 않습니다,The Truth Shall Not Sink with Sewol (Extended),2014,한국,장편,다큐멘터리,개봉,"이상호,안해룡","아시아프레스,(주)씨네포트"
음란한 도촬,MANEATER MUSEUM,2011,일본,장편,멜로/로맨스,개봉,나카노 타카오,
플랑크 상수,Planck Constant,2014,한국,장편,"드라마,판타지,코미디",개봉,조성규,(주)영화사 조제
다이노 타임,Dino Time,2012,"한국,미국",장편,"애니메이션,어드벤처,코미디",개봉,"최윤석,존 카프카",주식회사 토이온
파울볼,WONDERS,2014,한국,장편,다큐멘터리,개봉,"조정래,김보경",(주)티피에스컴퍼니
비단꽃길,The Silk Flower,2011,한국,장편,다큐멘터리,개봉,김정욱,주식회사 마운틴픽쳐스
비념,Jeju Prayer,2012,한국,장편,다큐멘터리,개봉,임흥순,"반달,볼"
부귀영화,Open To You,2012,한국,장편,공포(호러),개봉,인진미,버진필름
복숭아나무,The Peachtree,2012,한국,장편,멜로/로맨스,개봉,구혜선,"구혜선 필름,(유)조이앤컨텐츠그룹"
벌거숭이,A Mere Life,2012,한국,장편,"범죄,드라마",개봉,박상훈,이닥픽쳐스
범죄소년,Juvenile Offender,2012,한국,장편,드라마,개봉,강이관,"국가인권위원회,(주)영화사 남원"
레이트 페이시스: 늑대의 저주,Late Phases,2014,미국,장편,"공포(호러),드라마,미스터리",개봉,아드리안 가르시아 보글리아노,
옥전사,Jade Warrior,2006,"핀란드,네덜란드,중국,에스토니아",장편,"액션,판타지",개봉,안티-주시 안닐라,
노아의 방주: 남겨진 녀석들,Ooops! Noah is Gone,2015,"독일,벨기에,룩셈부르크,아일랜드",장편,애니메이션,개봉,토비 젠켈,
어벤져스: 에이지 오브 울트론,The Avengers: Age of Ultron,2014,미국,장편,"액션,어드벤처,판타지,SF",개봉,조스 웨던,
백프로,Mr. Perfect ,2011,한국,장편,"코미디,드라마",개봉,김명균,(주)시네마제니스 
박수건달,Man on the Edge,2012,한국,장편,코미디,개봉,조진규,"주식회사 제이앤피,박수건달문화산업전문(유),(주)쇼박스"
바비,Barbie,2011,한국,장편,드라마,개봉,이상우,(주)엘앤유인디컴미디어
바리새인,A Pharisee,2014,한국,장편,드라마,개봉,정영배,"(주)마고필름,(주)이십일세기미디어"
불륜의 시대,From Seoul To Varanasi,2011,한국,장편,"멜로/로맨스,드라마",개봉,전규환,(주)트리필름
미스진은 예쁘다,Beautiful Miss Jin,2013,한국,장편,드라마,개봉,장희철,문화예술사업단 BIKI
미라클 여행기,Mira Story,2014,한국,장편,다큐멘터리,개봉,허철,"미라클필름,(주)꿈길제작소,허철필름"
미국인친구,An American Friend,2013,한국,장편,드라마,개봉,성지혜,영화사 매화
무서운 이야기 2,Horror Stories II,2013,한국,옴니버스,"미스터리,공포(호러)",개봉,"김성호,김휘,정범식,민규동","(주)수필름,데이지엔터테인먼트"
무서운 이야기,Horror Stories,2012,한국,옴니버스,공포(호러),개봉,"정범식,임대웅,홍지영,김곡,김선,민규동","(주)수필름,데이지엔터테인먼트"
멜로,Melo,2012,한국,장편,드라마,개봉,이로이,(주)플러스에프픽쳐스
망원동 인공위성,The Basement Satellite,2014,한국,장편,다큐멘터리,개봉,김형주,플레인 픽처스
말하는 건축 시티:홀,City: hall ,2012,한국,장편,다큐멘터리,개봉,정재은,영화사 못
마녀,The Wicked,2013,한국,장편,"공포(호러),스릴러,드라마",개봉,유영선,주식회사 흰수염고래영화사
로사 ,Rosa,2014,한국,장편,드라마,개봉,맹관표,"예스 프로덕션,더필름"
로맨스 조,Romance Joe,2011,한국,장편,"드라마,코미디",개봉,이광국,(주)보리픽쳐스
아리아,Incompresa,2014,"이탈리아,프랑스",장편,드라마,개봉,아시아 아르젠토,
레바논 감정,Lebanon Emotion,2012,한국,장편,"스릴러,드라마,멜로/로맨스,액션",개봉,정영헌,씨네키드 고야
뜨거운 안녕,Rockin' on Heaven's Door,2013,"한국,일본",장편,드라마,개봉,남택수,"(주)홍필름,(주)수필름"
두 번의 결혼식과 한 번의 장례식,Two Weddings and a Funeral,2012,한국,장편,"코미디,멜로/로맨스",개봉,김조광수,"청년필름(주),한국게이인권운동단체 친구사이"
댄스타운,Dance Town,2010,한국,장편,드라마,개봉,전규환,(주)트리필름
한경직,Han Gyungjik,2012,한국,장편,다큐멘터리,개봉,천정훈,주식회사 마운틴픽쳐스
카르멘,CARMEN,2014,미국,장편,공연,개봉,"매튜 다이아몬드,파블로 헤라스 카사도",
노리개,Norigae,2012,한국,장편,드라마,개봉,최승호,주식회사 마운틴픽쳐스
노라노,Nora Noh,2013,한국,장편,다큐멘터리,개봉,김성희,성소수문화환경을 위한 모임 '연분홍치마'
네버엔딩 스토리,Never Ending Story,2011,한국,장편,"코미디,멜로/로맨스",개봉,정용주,아일랜드픽처스(주)
네버다이 버터플라이,Neverdie Butterfly,2013,한국,장편,드라마,개봉,장현상,피도 안마른 녀석들
낭만파 남편의 편지,Love in 42.9,2012,한국,장편,"드라마,가족,판타지",개봉,최낙권,(주)리얼곤시네마또
나인뮤지스; 그녀들의 서바이벌,9 Muses of Star Empire,2011,한국,장편,다큐멘터리,개봉,이학준,민치앤필름
윤희,Yoon hee,2013,한국,장편,드라마,개봉,윤여창,굿픽처스
꿈의 공장,Dream Factory,2010,한국,장편,다큐멘터리,개봉,김성균,
기술자들,The Con Artists,2014,한국,장편,"범죄,액션",개봉,김홍선,(주)트리니티엔터테인먼트
굿바이 홈런,Goodbye Homerun,2011,한국,장편,다큐멘터리,개봉,이정호,소울다큐
관능의 법칙,Venus Talk,2013,한국,장편,"드라마,코미디",개봉,권칠인,(주)명필름
공모자들,Traffickers,2012,한국,장편,"범죄,스릴러",개봉,김홍선,(주)영화사채움
고스톱 살인,"Go, Stop, Murder",2012,한국,장편,"판타지,드라마",개봉,김준권,영화사 연
고래를 찾는 자전거,Miracle,2010,한국,장편,드라마,개봉,김영로,"달이엔티(ENT),(주)필마픽쳐스 "
경복,Big Good,2013,한국,장편,드라마,개봉,최시형,
겨울나비,Winter Butterfly,2011,한국,장편,드라마,개봉,김규민,스타라이트 픽쳐스
맨 인 블랙 3,Men In Black III,2012,미국,장편,"액션,코미디,SF",개봉,배리 소넨필드,
더 건맨,The Gunman,2015,"프랑스,스페인,영국",장편,"액션,스릴러",개봉,피에르 모렐,
짱구는 못말려 극장판 : 정면승부! 로봇아빠의 역습,Crayon Shin-chan: Gachinko! Gyakusyu no Robo Tochan!!,2014,일본,장편,"애니메이션,코미디,어드벤처",개봉,타카하시 와타루,
청춘의 증언,Testament of Youth,2014,영국,장편,드라마,개봉,제임스 켄트,
벤베누토 첼리니,BENVENUTO CELLINI,2014,영국,장편,공연,개봉,테리 길리엄,
신은 죽지 않았다,GOD'S NOT DEAD,2014,미국,장편,드라마,개봉,해롤드 크론크,
팔로우,It Follows,2014,미국,장편,공포(호러),개봉,데이빗 로버트 밋첼,
더 라스트: 나루토 더 무비,THE LAST: NARUTO THE MOVIE,2014,일본,장편,애니메이션,개봉,코바야시 츠네오,
나이트 크롤러,Nightcrawler,2014,미국,장편,"범죄,드라마,스릴러",개봉,댄 길로이,
"땡큐, 대디",The Finishers,2013,프랑스,장편,드라마,개봉,닐스 타베니어,
개똥이,Over and Over Again,2012,한국,장편,드라마,개봉,김병준,영화사 새삶
가시,Innocent Thing,2013,한국,장편,"멜로/로맨스,드라마",개봉,김태균,"(주)캠프비,(주)뱅가드스튜디오"
가시,Choked,2011,한국,장편,드라마,개봉,김중현,한국영화아카데미
U.F.O.,U.F.O.,2011,한국,장편,"드라마,미스터리",개봉,공귀현,스파이럴 프로젝트
죽지않아,Oldmen Never Die,2013,한국,장편,"스릴러,드라마",개봉,황철민,씨네굿
베드,B·E·D,2012,한국,장편,드라마,개봉,박철수,씨네힐
90분,90 minutes,2012,한국,장편,스릴러,개봉,박선욱,(주)사람과사람
우리 만난 적 있나요,Try to Remember,2010,한국,장편,"멜로/로맨스,판타지",개봉,임진평,"(주)영화사축제,시네마토그라프 필름(주)"
결정적 한방,Sunday Punch,2011,한국,장편,"코미디,드라마",개봉,박중구,(주)오디이엔티
내 남자의 순이,Sera & Lami,2010,한국,장편,코미디,개봉,김호준,"여해 엔터테인먼트,㈜프레임 에이치 컨텐츠 그룹"
카페 서울,Cafe Seoul,2009,"일본,한국",장편,드라마,개봉,타케 마사하루,"(주)나이너스엔터테인먼트,레인디어 "
음양사 2015,Sword of Tsubomi,2010,일본,장편,멜로/로맨스,개봉,아라키 켄지,
소림배구 ,BEACH SPIKE!,2011,중국,장편,"액션,드라마",개봉,토니 탕,
더 타겟,Reach Me,2014,미국,장편,드라마,개봉,존 허즈펠드,
다크,Dark,2013,일본,장편,"액션,드라마",개봉,츠지 히로유키,
공사중,Under-Construction,2014,한국,장편,"멜로/로맨스,코미디",개봉,강명진,(주)마부엔터테인먼트
일분만 더,One Minute More,2014,"대만,일본",장편,멜로/로맨스,개봉,진혜령,
지킬 앤 하이드,Jekyll & Hyde,2011,미국,장편,"뮤지컬,공연,멜로/로맨스,드라마,스릴러",개봉,돈 로이 킹,
볼쇼이 스페셜 갈라,Bolshoi Theatre Re-Opening Gala,2011,"러시아,프랑스",장편,공연,개봉,바실리 시나이스키,
폴 매카트니의 락쇼,ROCKSHOW,2013,캐나다,장편,공연,개봉,폴 매카트니,
코모도 대 코브라,Komodo Vs. Cobra,2005,미국,장편,"공포(호러),SF",개봉,짐 위노스키,
맛있는 택배,,2015,한국,장편,멜로/로맨스,개봉,기대호,(주)로드하우스
네이키드 피어,Naked Fear,2007,미국,장편,"공포(호러),스릴러",개봉,돔 에버하트,
Jam Docu 강정,Jam Docu GANGJEONG,2011,한국,옴니버스,다큐멘터리,개봉,"경순,권효,최진성,김태일,양동규,정윤석,최하동하,홍형숙",
분노의 질주: 더 맥시멈,The Fast and the Furious 6,2013,미국,장편,액션,개봉,저스틴 린,
위자,Ouija,2014,미국,장편,"미스터리,공포(호러)",개봉,스틸즈 화이트,
모던발레 채플린,Chaplin: Leipziger Ballett,2013,독일,장편,공연,개봉,소니아 파라모,
아름다운 유혹,An eye for beauty,2014,캐나다,장편,"멜로/로맨스,드라마",개봉,드니 아르캉,
데드 엔드,Dead And,2012,한국,장편,"미스터리,스릴러",개봉,윤여창,굿픽처스
어바웃 타임,ABOUT TIME,2013,영국,장편,"멜로/로맨스,코미디",개봉,리차드 커티스,
생 로랑,Saint Laurent,2014,프랑스,장편,드라마,개봉,베르트랑 보넬로,
집,The House,2010,한국,장편,"판타지,애니메이션",개봉,"반주영,이현진,이재호,박미선",한국영화아카데미
이다,Ida,2013,"폴란드,덴마크",장편,드라마,개봉,파벨 파블리코브스키,
