2019-07-04 14:45:40,904 : INFO : EPOCH 4 - PROGRESS: at 71.45% examples, 49020 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:45:42,172 : INFO : EPOCH 4 - PROGRESS: at 72.49% examples, 49068 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:45:43,239 : INFO : EPOCH 4 - PROGRESS: at 73.93% examples, 49068 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:45:44,228 : INFO : EPOCH 4 - PROGRESS: at 74.82% examples, 49028 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:45:45,334 : INFO : EPOCH 4 - PROGRESS: at 75.89% examples, 48931 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:45:46,437 : INFO : EPOCH 4 - PROGRESS: at 76.91% examples, 48935 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:45:47,642 : INFO : EPOCH 4 - PROGRESS: at 78.16% examples, 48939 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:45:48,643 : INFO : EPOCH 4 - PROGRESS: at 79.62% examples, 48987 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:45:49,648 : INFO : EPOCH 4 - PROGRESS: at 80.04% examples, 49031 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:45:50,761 : INFO : EPOCH 4 - PROGRESS: at 80.79% examples, 48903 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:45:52,056 : INFO : EPOCH 4 - PROGRESS: at 81.77% examples, 48805 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:45:53,138 : INFO : EPOCH 4 - PROGRESS: at 83.00% examples, 48924 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:45:54,212 : INFO : EPOCH 4 - PROGRESS: at 83.89% examples, 48873 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:45:55,292 : INFO : EPOCH 4 - PROGRESS: at 84.58% examples, 48807 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:45:56,577 : INFO : EPOCH 4 - PROGRESS: at 86.13% examples, 48785 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:45:57,629 : INFO : EPOCH 4 - PROGRESS: at 86.93% examples, 48871 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:45:58,878 : INFO : EPOCH 4 - PROGRESS: at 87.95% examples, 48785 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:45:59,914 : INFO : EPOCH 4 - PROGRESS: at 89.68% examples, 48833 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:46:00,916 : INFO : EPOCH 4 - PROGRESS: at 90.60% examples, 48815 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:46:01,967 : INFO : EPOCH 4 - PROGRESS: at 91.71% examples, 48788 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:46:03,127 : INFO : EPOCH 4 - PROGRESS: at 92.42% examples, 48704 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:46:04,160 : INFO : EPOCH 4 - PROGRESS: at 93.50% examples, 48798 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:46:05,272 : INFO : EPOCH 4 - PROGRESS: at 94.51% examples, 48730 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:46:06,424 : INFO : EPOCH 4 - PROGRESS: at 95.14% examples, 48760 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:46:07,636 : INFO : EPOCH 4 - PROGRESS: at 96.18% examples, 48804 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:46:08,790 : INFO : EPOCH 4 - PROGRESS: at 97.05% examples, 48842 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:46:10,151 : INFO : EPOCH 4 - PROGRESS: at 97.85% examples, 48829 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:46:11,172 : INFO : EPOCH 4 - PROGRESS: at 98.84% examples, 48865 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:46:12,228 : INFO : EPOCH 4 - PROGRESS: at 99.55% examples, 48972 words/s, in_qsize 5, out_qsize 0
2019-07-04 14:46:12,448 : INFO : worker thread finished; awaiting finish of 3 more threads
2019-07-04 14:46:12,698 : INFO : worker thread finished; awaiting finish of 2 more threads
2019-07-04 14:46:12,839 : INFO : worker thread finished; awaiting finish of 1 more threads
2019-07-04 14:46:12,917 : INFO : worker thread finished; awaiting finish of 0 more threads
2019-07-04 14:46:12,917 : INFO : EPOCH - 4 : training on 8650731 raw words (5380940 effective words) took 109.9s, 48971 effective words/s
2019-07-04 14:46:13,917 : INFO : EPOCH 5 - PROGRESS: at 0.66% examples, 44297 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:46:15,122 : INFO : EPOCH 5 - PROGRESS: at 1.58% examples, 42131 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:46:16,223 : INFO : EPOCH 5 - PROGRESS: at 2.33% examples, 47575 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:46:17,242 : INFO : EPOCH 5 - PROGRESS: at 3.04% examples, 46619 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:46:18,371 : INFO : EPOCH 5 - PROGRESS: at 3.94% examples, 48200 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:46:19,568 : INFO : EPOCH 5 - PROGRESS: at 5.43% examples, 49719 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:46:20,822 : INFO : EPOCH 5 - PROGRESS: at 6.89% examples, 49089 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:46:21,889 : INFO : EPOCH 5 - PROGRESS: at 7.58% examples, 49509 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:46:22,932 : INFO : EPOCH 5 - PROGRESS: at 8.32% examples, 48922 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:46:24,026 : INFO : EPOCH 5 - PROGRESS: at 9.58% examples, 50099 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:46:25,255 : INFO : EPOCH 5 - PROGRESS: at 10.50% examples, 49528 words/s, in_qsize 7, out_qsize 0
