OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,PRI_GENRE_NM,WATCH_GRADE_NM,SERIES,NAVER_CMT_NN,NAVER_EX_PT,CMT_SCORE,AUDI_ACC,y_pred,exp(test_y),exp(y_pred)
47,113,미국,기타,다큐멘터리,12세이상관람가,0,3.40119738166216,5.5683445037611,0.3875,8.47720418319987,8.79636121034157,4804,6610.14725588772
21,121,스페인,기타,코미디,청소년관람불가,0,4.39444915467244,5.50125821054473,0.31021897810219,8.47177732788576,8.69804502200456,4778,5991.188119878
48,100,한국,기타,다큐멘터리,전체관람가,0,2.07944154167984,0,0.461538461538462,8.47031120551611,8.44084582430865,4771,4632.47158502301
30,86,한국,기타,드라마,청소년관람불가,0,1.38629436111989,4.39444915467244,0.142857142857143,8.47010158388239,7.8778961909627,4770,2638.31620352353
27,125,한국,기타,드라마,12세이상관람가,0,3.13549421592915,4.95582705760126,0.411764705882353,8.46842302704681,8.34351351964075,4762,4202.83055793916
33,92,한국,기타,다큐멘터리,전체관람가,0,3.29583686600433,0,0.486486486486487,8.46716225781067,8.89280987543131,4756,7279.44480644283
16,101,중국,기타,액션,15세이상관람가,0,3.76120011569356,5.12989871492307,0.31413612565445,8.46674164792014,8.3906925821126,4754,4405.86806320531
2,88,일본,(주)넥스트엔터테인먼트월드(NEW),애니메이션,전체관람가,0,2.39789527279837,0,0.625,8.46653127661401,9.39785299422569,4753,12062.4547485624
18,75,독일,(주)시너지하우스 (시너지),가족,전체관람가,0,2.89037175789616,0,0.377777777777778,8.46526811855132,9.39312993578953,4747,12005.6173986211
17,84,프랑스,기타,스릴러,15세이상관람가,0,3.13549421592915,0,0.777777777777778,8.46273700562018,8.78226809928725,4735,6517.6430833738
51,94,한국,기타,다큐멘터리,15세이상관람가,0,4.53259949315326,5.36129216570943,0.374207188160677,8.46189187563115,8.59749132658291,4731,5418.0504089699
41,87,한국,기타,드라마,12세이상관람가,0,2.63905732961526,0,0.424242424242424,8.46125755908593,8.34251235161419,4728,4198.62492398791
49,89,일본,기타,애니메이션,12세이상관람가,0,6.10702288774225,0,0.256244218316374,8.46083445774685,8.9374225700704,4726,7611.55350576843
17,109,미국,기타,드라마,청소년관람불가,0,3.97029191355212,5.92157841964382,0.277777777777778,8.46083445774685,8.89629683336914,4726,7304.87223070899
5,76,프랑스,기타,드라마,청소년관람불가,0,2.77258872223978,4.7361984483945,0.464285714285714,8.45977592054629,8.39850717638201,4721,4440.43301415711
7,50,일본,기타,애니메이션,전체관람가,0,4.57471097850338,5.89715386763674,0.434782608695652,8.45723085024355,9.13312987674472,4709,9256.94978718286
50,105,한국,기타,다큐멘터리,전체관람가,0,3.49650756146648,0,0.662162162162162,8.45425339164236,8.76311689825008,4695,6394.01002982994
35,103,미국,기타,코미디,청소년관람불가,0,4.67282883446191,5.47646355193151,0.351724137931035,8.45361420977337,8.81446614929912,4692,6730.91350241602
46,106,한국,기타,드라마,전체관람가,0,2.70805020110221,5.4971682252932,0.326086956521739,8.45254799792271,8.78707977254358,4687,6549.07942233645
45,111,미국,기타,전쟁,15세이상관람가,0,4.17438726989564,5.62401750618734,0.106060606060606,8.45148064805086,8.70777439954356,4682,6049.76313817475
48,89,독일,기타,가족,전체관람가,0,3.04452243772342,4.57471097850338,0.185185185185185,8.45148064805086,8.5375674947051,4682,5102.91638109576
43,106,영국,기타,드라마,청소년관람불가,0,3.8286413964891,6.07304453410041,0.244444444444444,8.4471998195957,8.84629283390642,4662,6948.58161741985
28,101,독일,기타,드라마,15세이상관람가,0,3.8286413964891,0,0.425373134328358,8.44505251363855,8.26870013627125,4652,3899.8763881577
36,90,미국,기타,범죄,청소년관람불가,0,4.15888308335967,0,0.324175824175824,8.44268513924118,8.66759035155247,4641,5811.4788430909
41,87,프랑스,기타,드라마,전체관람가,0,2.63905732961526,5.42934562895444,0.568627450980392,8.44203851781548,8.6773016775028,4638,5868.19093749826
21,93,영국,기타,다큐멘터리,15세이상관람가,0,4.07753744390572,6.59987049921284,0.326530612244898,8.44160720445964,8.9331199165232,4636,7578.87398282564
39,95,미국,기타,다큐멘터리,12세이상관람가,0,0.693147180559945,0,-0.5,8.44052810648075,8.15272548704026,4631,3472.83133540635
26,102,미국,기타,드라마,청소년관람불가,0,2.94443897916644,3.36729582998647,0.379310344827586,8.43620003220671,8.23368152962414,4611,3765.67169596385
31,128,기타,기타,SF,15세이상관람가,0,1.6094379124341,3.91202300542815,0.615384615384615,8.43446354381724,7.98075369314646,4603,2924.13413361382
47,98,덴마크,기타,가족,15세이상관람가,0,4.44265125649032,6.14203740558736,0.408352668213457,8.43446354381724,8.77291613042806,4603,6456.97441613557
13,110,일본,기타,애니메이션,15세이상관람가,0,5.06890420222023,0,0.452173913043478,8.43402895015547,8.562213278098,4601,5230.24435674241
36,103,덴마크,기타,다큐멘터리,15세이상관람가,0,3.17805383034795,5.30826769740121,0.213592233009709,8.43054538469057,8.56737996075782,4585,5257.33729961649
7,139,프랑스,기타,뮤지컬,청소년관람불가,0,2.39789527279837,0,0.346938775510204,8.42463920980563,8.39278502500053,4558,4415.09674237421
35,98,영국,기타,공포,15세이상관람가,0,7.82843635915759,7.28000825288419,0.264662395268605,8.42463920980563,9.4352559895505,4558,12522.1704662172
51,98,한국,기타,드라마,12세이상관람가,0,2.39789527279837,3.49650756146648,0.421875,8.42398080969406,8.02185567364216,4555,3046.82600498626
11,119,독일,기타,코미디,12세이상관람가,0,2.19722457733622,3.61091791264422,0.578947368421053,8.41759382619348,8.2766809914199,4526,3931.12526723417
21,99,인도,기타,코미디,전체관람가,0,2.19722457733622,4.30406509320417,0.576923076923077,8.41670965283791,8.5586740129593,4522,5211.76585467185
12,121,일본,기타,드라마,전체관람가,0,3.66356164612965,6.37842618365159,0.530487804878049,8.41493895737748,8.85174590280986,4514,6986.57621117926
34,180,프랑스,기타,다큐멘터리,전체관람가,0,1.38629436111989,5.65599181081985,0.307692307692308,8.41383067842108,8.55234872981229,4509,5178.90399977827
12,86,프랑스,기타,다큐멘터리,12세이상관람가,0,1.09861228866811,0,0.6,8.41316512099219,8.18106694415284,4506,3572.66446149656
28,93,미국,기타,액션,15세이상관람가,0,3.97029191355212,4.52178857704904,0.443478260869565,8.41227702146668,9.00196966293122,4502,8119.06000019007
40,112,영국,기타,드라마,15세이상관람가,0,2.30258509299405,4.72738781871234,0.303030303030303,8.41161042884117,9.04551740383911,4499,8480.43821577311
12,121,프랑스,기타,드라마,15세이상관람가,0,1.38629436111989,3.87120101090789,0.4,8.40827078419205,8.25647646336455,4484,3852.49574749835
25,106,한국,CGV아트하우스,코미디,15세이상관람가,0,3.17805383034795,5.35658627467201,0.431034482758621,8.40648506943182,9.23759846902031,4476,10276.3299757814
37,120,프랑스,기타,드라마,12세이상관람가,0,1.94591014905531,0,0.875,8.40626163070896,8.62427124742597,4475,5565.10564538409
46,100,한국,기타,멜로,청소년관람불가,0,4.04305126783455,5.96100533962327,0.410112359550562,8.40559101483493,8.46828688804456,4472,4761.35175019833
46,133,한국,기타,드라마,15세이상관람가,0,3.25809653802148,5.6970934865054,0.444444444444444,8.4040244933106,8.48172276321451,4465,4825.75637533401
13,91,한국,기타,가족,12세이상관람가,0,4.02535169073515,5.24174701505964,0.46031746031746,8.40043463080604,8.34659561879089,4449,4215.80408100219
4,116,일본,기타,멜로,12세이상관람가,0,5.15329159449778,7.28138566357028,0.51038961038961,8.40020983593042,8.98205872328599,4448,7959.00064054143
21,90,미국,기타,범죄,청소년관람불가,0,4.26267987704132,0,0.254054054054054,8.39908510293591,8.64975400316468,4443,5708.74222848682
49,93,홍콩,기타,액션,15세이상관람가,0,4.77912349311153,0,0.37888198757764,8.3986348552921,8.73827187493647,4441,6237.1078911185
52,96,한국,기타,드라마,12세이상관람가,0,3.55534806148941,0,0.232876712328767,8.39795910349254,8.48713002915232,4438,4851.92119973673
33,85,한국,기타,애니메이션,전체관람가,0,4.89783979995091,0,0.168067226890756,8.39705739017626,9.5037857134584,4434,13410.3987815489
33,120,일본,기타,드라마,15세이상관람가,0,5.01063529409626,7.22620901010067,0.310924369747899,8.38753998318937,9.31300782284604,4392,11081.2284250879
17,89,미국,기타,액션,청소년관람불가,0,4.99043258677874,5.01727983681492,0.250889679715303,8.38685668968823,8.56875094437792,4389,5264.54996603358
25,130,기타,기타,드라마,15세이상관람가,0,1.6094379124341,5.11799381241676,0.615384615384615,8.38480400337049,8.35452458238499,4380,4249.36390958881
47,104,미국,유니버설픽쳐스인터내셔널 코리아(유),뮤지컬,12세이상관람가,0,2.39789527279837,0,0.416666666666667,8.38091517312361,9.1301396033032,4363,9229.31032146035
31,122,일본,기타,드라마,15세이상관람가,0,4.64439089914137,0,0.350710900473934,8.37839078853578,8.46487045457812,4352,4745.11266440678
48,81,일본,기타,애니메이션,전체관람가,0,1.38629436111989,3.36729582998647,0.428571428571429,8.37586001529959,8.44852311182386,4341,4668.17327198827
50,85,한국,기타,다큐멘터리,전체관람가,0,3.93182563272433,0,0.545454545454545,8.37539918579835,8.77569909415525,4339,6474.96896920351
13,103,프랑스,기타,코미디,15세이상관람가,0,2.07944154167984,5.25227342804663,0.470588235294118,8.37539918579835,8.40209861902747,4339,4456.40924633687
44,92,한국,기타,다큐멘터리,전체관람가,0,1.79175946922805,0,0.46875,8.36985260351753,8.39682848704824,4315,4432.98515968486
11,143,프랑스,기타,드라마,청소년관람불가,0,4.91998092582813,4.54329478227,-0.0211416490486258,8.3696208269491,8.5491601062256,4314,5162.41672415864
5,111,덴마크,기타,드라마,청소년관람불가,0,3.2188758248682,5.20948615284142,0.463636363636364,8.36822903827628,8.48883980477385,4308,4860.22399225509
4,106,기타,기타,드라마,15세이상관람가,0,2.70805020110221,0,0.27027027027027,8.36450810375059,8.34238219466245,4292,4198.07847932886
24,101,스페인,기타,스릴러,15세이상관람가,0,2.70805020110221,5.78074351579233,0.588235294117647,8.36334246659798,8.45213143028085,4287,4685.04795407043
45,76,일본,기타,애니메이션,전체관람가,0,2.77258872223978,0,0.380952380952381,8.36100710822691,8.62888292251318,4277,5590.82937359484
50,106,프랑스,기타,드라마,15세이상관람가,0,4.39444915467244,5.23644196282995,0.262295081967213,8.36007143564403,8.7793731830297,4273,6498.80233680063
2,93,한국,기타,다큐멘터리,15세이상관람가,0,1.38629436111989,0,0.666666666666667,8.36007143564403,8.1476110712563,4273,3455.11517453308
8,93,중국,기타,판타지,12세이상관람가,0,5.77144112313002,7.20563517641036,0.375096674400619,8.35936910622267,8.69851165012846,4270,5993.98442911782
49,96,한국,기타,드라마,청소년관람불가,0,3.04452243772342,4.81218435537242,0.5,8.3584318990313,7.99290463607547,4266,2959.88186507927
13,101,영국,판씨네마(주),드라마,15세이상관람가,0,3.80666248977032,0,0.330396475770925,8.35749381265856,9.13592204220537,4262,9282.83284071792
32,140,일본,기타,SF,15세이상관람가,0,3.76120011569356,0,0.307692307692308,8.35396813031327,8.38335096599419,4247,4373.6403178387
11,115,한국,기타,드라마,청소년관람불가,0,3.80666248977032,5.9427993751267,0.485915492957746,8.35161075062656,8.45426208472428,4237,4695.04081419698
17,90,프랑스,기타,코미디,12세이상관람가,0,3.87120101090789,0,0.229166666666667,8.3513747067213,8.72472881444191,4236,6153.20777617486
17,100,한국,기타,미스터리,15세이상관람가,0,3.63758615972639,4.82028156560504,0.53,8.349011198176,8.29232808526887,4226,3993.11970476941
14,98,한국,기타,드라마,15세이상관람가,0,3.29583686600433,0,0.578947368421053,8.34593026197902,8.15538100639455,4213,3482.06576190424
47,128,미국,기타,다큐멘터리,15세이상관람가,0,2.99573227355399,4.15888308335967,0.123595505617978,8.34569287325387,8.44735539051092,4212,4662.72532802528
39,113,미국,기타,다큐멘터리,15세이상관람가,0,0,0,1,8.34402957240705,8.31771836402663,4205,4095.80420485044
28,89,영국,기타,다큐멘터리,12세이상관람가,0,2.56494935746154,5.6937321388027,0.2,8.34379173199684,8.7875381740944,4204,6552.08221869079
34,98,한국,기타,다큐멘터리,15세이상관람가,0,1.94591014905531,5.18178355029209,0.0526315789473684,8.34212526333359,8.07496730772884,4197,3213.02232597106
48,111,영국,기타,코미디,15세이상관람가,0,2.94443897916644,4.30406509320417,0.4,8.34093322600088,8.75547595584605,4192,6345.33994690738
20,94,한국,기타,다큐멘터리,12세이상관람가,0,3.2188758248682,5.14749447681345,0.364864864864865,8.34021732094704,8.31833426280952,4189,4098.32758266806
36,134,이탈리아,기타,범죄,청소년관람불가,0,3.52636052461616,5.25749537202778,0.405797101449275,8.33639048059155,8.58090639914053,4173,5328.93347767556
17,106,이탈리아,기타,드라마,15세이상관람가,0,2.484906649788,5.25749537202778,0.608695652173913,8.33375100695358,8.32758738605087,4162,4136.42590527908
6,106,대만,기타,멜로,청소년관람불가,0,5.10594547390058,0,0.396084337349398,8.32989929299572,8.80126752723426,4146,6642.65842285906
46,97,미국,기타,멜로,15세이상관람가,0,3.04452243772342,5.18738580584075,0.2,8.3250636936312,8.67875375403552,4126,5876.71818946102
33,83,한국,기타,미스터리,청소년관람불가,0,2.30258509299405,4.17438726989564,0.142857142857143,8.3240937614504,7.94129934944267,4122,2811.01062148515
43,110,미국,기타,다큐멘터리,12세이상관람가,0,1.38629436111989,4.8283137373023,0.357142857142857,8.3240937614504,8.32959593884238,4122,4144.74248442617
45,89,프랑스,판씨네마(주),코미디,15세이상관람가,0,2.94443897916644,3.68887945411394,0.294117647058824,8.321664807135,8.58611596218752,4112,5356.76733075711
1,91,미국,기타,공연,전체관람가,0,3.04452243772342,4.59511985013459,0.582278481012658,8.32117830749028,8.2405331440281,4110,3791.56121762516
9,90,일본,기타,애니메이션,12세이상관람가,0,6.20859002609663,7.05444965813294,0.295278365045807,8.31996102188653,9.22107106999839,4105,10107.8847845207
24,119,호주,기타,드라마,청소년관람불가,0,2.484906649788,0,0.516129032258065,8.31898612539206,8.27248558855326,4101,3914.66716135168
10,100,일본,기타,드라마,12세이상관람가,0,3.3322045101752,0,0.640350877192982,8.31801027754687,8.38672913601665,4097,4388.44020263828
2,101,캐나다,기타,드라마,12세이상관람가,0,1.6094379124341,0,0.333333333333333,8.31752199628717,8.34764102798063,4095,4220.21362581835
38,121,영국,기타,어드벤처,15세이상관람가,0,0.693147180559945,3.85014760171006,0.6,8.3170334764924,8.4555645807718,4093,4701.16007058896
34,88,프랑스,기타,애니메이션,전체관람가,0,3.66356164612965,6.54391184556479,0.117021276595745,8.3170334764924,9.11405276295257,4093,9082.02771190053
7,98,한국,기타,드라마,15세이상관람가,0,2.484906649788,5.62401750618734,0.714285714285714,8.31556648356428,8.15067119491613,4087,3465.70444820606
49,70,한국,에스케이텔레콤(주),공연,전체관람가,0,4.93447393313069,0,0.230125523012552,8.3150770072941,9.75322813297557,4085,17209.6944179944
2,95,미국,기타,다큐멘터리,전체관람가,0,2.63905732961526,5.45958551414416,0.235849056603774,8.31458729131958,8.61722027447659,4083,5526.00424945822
