"TITLE","OPEN_DT","OPEN_MONTH","OPEN_QUARTER","SHOW_TM","NATION_NM","TOP_COMPANY_NM","PRI_GENRE_NM","WATCH_GRADE_NM","SERIES","NAVER_CMT_NN","NAVER_EX_PT","ORI_BOOK","AUDI_ACC"
"호빗: 뜻밖의 여정","2012-12-13","12","4",169,"미국","워너브러더스 코리아(주)","어드벤처","12세이상관람가","0",1074,0,"0",2818993
"메이즈 러너","2014-09-18","9","3",113,"미국","이십세기폭스코리아(주)","액션","12세이상관람가","1",323,2750,"1",2812427
"말모이","2019-01-09","1","1",135,"한국","기타","드라마","12세이상관람가","0",176,599,"0",2811757
"해리 포터와 죽음의 성물1","2010-12-15","12","4",146,"미국","워너브러더스 코리아(주)","미스터리","전체관람가","0",2453,0,"1",2809053
"빅 히어로","2015-01-21","1","1",107,"미국","기타","애니메이션","전체관람가","0",591,5065,"0",2801949
"덩케르크","2017-07-20","7","3",106,"미국","워너브러더스 코리아(주)","액션","12세이상관람가","0",491,6381,"0",2792705
"혹성탈출: 진화의 시작","2011-08-17","8","3",106,"미국","이십세기폭스코리아(주)","액션","12세이상관람가","1",402,0,"0",2773794
"부당거래","2010-10-28","10","4",119,"한국","기타","범죄","청소년관람불가","0",111,0,"0",2766436
"메이즈 러너: 스코치 트라이얼","2015-09-16","9","3",131,"미국","이십세기폭스코리아(주)","액션","12세이상관람가","1",847,35841,"1",2744413
"가디언즈 오브 갤럭시 VOL. 2","2017-05-03","5","2",135,"미국","기타","액션","12세이상관람가","1",541,7337,"0",2735719
"시라노; 연애조작단","2010-09-16","9","3",121,"한국","롯데쇼핑㈜롯데엔터테인먼트","멜로","12세이상관람가","0",545,0,"0",2731828
"내가 살인범이다","2012-11-08","11","4",119,"한국","기타","액션","청소년관람불가","0",874,0,"0",2721903
"나우 유 씨 미 : 마술사기단","2013-08-22","8","3",115,"미국","롯데쇼핑㈜롯데엔터테인먼트","범죄","12세이상관람가","0",387,0,"0",2718227
"미스 페레그린과 이상한 아이들의 집","2016-09-28","9","3",126,"미국","이십세기폭스코리아(주)","미스터리","12세이상관람가","0",150,8695,"1",2718158
"타이탄","2010-04-01","4","2",106,"미국","워너브러더스 코리아(주)","액션","12세이상관람가","1",240,0,"0",2685508
"곤지암","2018-03-28","3","1",94,"한국","기타","공포","15세이상관람가","0",778,744,"0",2675559
"소원","2013-10-02","10","4",122,"한국","롯데쇼핑㈜롯데엔터테인먼트","드라마","12세이상관람가","0",2820,0,"1",2663170
"살인자의 기억법","2017-09-06","9","3",118,"한국","기타","범죄","15세이상관람가","0",991,9811,"1",2656694
"브레이킹 던 part2","2012-11-15","11","4",115,"미국","(주)넥스트엔터테인먼트월드(NEW)","드라마","15세이상관람가","1",1157,0,"0",2654817
"탐정 : 더 비기닝","2015-09-24","9","3",119,"한국","씨제이이앤엠(주)","코미디","15세이상관람가","1",386,3319,"0",2625686
"미니언즈","2015-07-29","7","3",90,"미국","유니버설픽쳐스인터내셔널 코리아(유)","애니메이션","전체관람가","1",199,11636,"0",2625572
"후궁 : 제왕의 첩","2012-06-06","6","2",122,"한국","롯데쇼핑㈜롯데엔터테인먼트","사극","청소년관람불가","0",168,0,"0",2621436
"트랜스포머: 최후의 기사","2017-06-21","6","2",150,"미국","롯데쇼핑㈜롯데엔터테인먼트","액션","12세이상관람가","0",1223,16721,"0",2614601
"제이슨 본","2016-07-27","7","3",123,"미국","유니버설픽쳐스인터내셔널 코리아(유)","액션","15세이상관람가","1",643,13139,"0",2611966
"드래곤 길들이기","2010-05-20","5","2",98,"미국","기타","애니메이션","전체관람가","1",354,0,"0",2603857
"지금 만나러 갑니다","2018-03-14","3","1",131,"한국","롯데쇼핑㈜롯데엔터테인먼트","멜로","12세이상관람가","0",311,2078,"1",2602273
"도리를 찾아서","2016-07-06","7","3",102,"미국","기타","애니메이션","전체관람가","1",263,5951,"0",2601734
"위험한 상견례","2011-03-31","3","1",118,"한국","롯데쇼핑㈜롯데엔터테인먼트","코미디","12세이상관람가","1",161,0,"0",2595625
"아수라","2016-09-28","9","3",132,"한국","씨제이이앤엠(주)","범죄","청소년관람불가","0",691,28898,"0",2594028
"보안관","2017-05-03","5","2",115,"한국","롯데쇼핑㈜롯데엔터테인먼트","범죄","15세이상관람가","0",198,2752,"0",2571491
"기술자들","2014-12-24","12","4",116,"한국","롯데쇼핑㈜롯데엔터테인먼트","범죄","15세이상관람가","0",978,24306,"0",2564340
