"TITLE","OPEN_DT","OPEN_MONTH","OPEN_QUARTER","SHOW_TM","NATION_NM","TOP_COMPANY_NM","PRI_GENRE_NM","WATCH_GRADE_NM","SERIES","NAVER_CMT_NN","NAVER_EX_PT","ORI_BOOK","AUDI_ACC"
"스물","2015-03-25","3","1",115,"한국","(주)넥스트엔터테인먼트월드(NEW)","코미디","15세이상관람가","0",813,27413,"0",3044134
"토르: 다크 월드","2013-10-30","10","4",111,"미국","기타","액션","12세이상관람가","1",717,0,"0",3039889
"방자전","2010-06-02","6","2",124,"한국","기타","사극","청소년관람불가","0",195,0,"0",3035116
"인크레더블 2","2018-07-18","7","3",125,"미국","기타","애니메이션","전체관람가","1",152,1400,"0",3033052
"레드: 더 레전드","2013-07-18","7","3",115,"미국","롯데쇼핑㈜롯데엔터테인먼트","액션","15세이상관람가","1",393,0,"0",3004647
"오싹한 연애","2011-12-01","12","4",114,"한국","씨제이이앤엠(주)","공포","12세이상관람가","0",289,0,"0",3001530
"드래곤 길들이기 2","2014-07-23","7","3",101,"미국","씨제이이앤엠(주)","애니메이션","전체관람가","1",680,4265,"0",3000056
"형","2016-11-23","11","4",109,"한국","씨제이이앤엠(주)","코미디","12세이상관람가","0",819,25600,"0",2982022
"친구 2","2013-11-14","11","4",123,"한국","롯데쇼핑㈜롯데엔터테인먼트","액션","청소년관람불가","1",2140,0,"0",2971475
"26년","2012-11-29","11","4",135,"한국","기타","액션","15세이상관람가","0",15748,0,"1",2963449
"서치","2018-08-29","8","3",102,"미국","기타","드라마","12세이상관람가","0",24,175,"0",2949944
"고지전","2011-07-20","7","3",133,"한국","기타","드라마","15세이상관람가","0",551,0,"0",2945137
"엑스맨: 아포칼립스","2016-05-25","5","2",145,"미국","이십세기폭스코리아(주)","액션","12세이상관람가","1",754,14705,"0",2938818
"프리즌","2017-03-23","3","1",124,"한국","기타","범죄","청소년관람불가","0",1488,8022,"0",2931897
"솔트","2010-07-29","7","3",99,"미국","기타","스릴러","15세이상관람가","0",119,0,"0",2921331
"헬로우 고스트","2010-12-22","12","4",111,"한국","(주)넥스트엔터테인먼트월드(NEW)","코미디","12세이상관람가","0",495,0,"0",2897477
"극비수사","2015-06-18","6","2",107,"한국","기타","드라마","15세이상관람가","0",235,9189,"1",2860786
"표적","2014-04-30","4","2",98,"한국","씨제이이앤엠(주)","액션","15세이상관람가","0",247,1717,"0",2841788
"앤트맨","2015-09-03","9","3",116,"미국","기타","액션","12세이상관람가","1",411,6457,"1",2839921
"호빗: 다섯 군대 전투","2014-12-17","12","4",144,"미국","워너브러더스 코리아(주)","어드벤처","12세이상관람가","1",891,16936,"0",2836774
"너의 결혼식","2018-08-22","8","3",110,"한국","기타","멜로","12세이상관람가","0",166,2034,"0",2820029
