TITLE,OPEN_DT,OPEN_MONTH,OPEN_QUARTER,OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,PRI_GENRE_NM,WATCH_GRADE_NM,SERIES,NAVER_CMT_NN,NAVER_EX_PT,ORI_BOOK,AUDI_ACC,CMT_SCORE
G-포스: 기니피그 특공대,2010-04-22,4,2,16,90.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,가족,전체관람가,,37.0,0.0,0.0,40161,0.35
아델라인 : 멈춰진 시간,2015-10-15,10,4,42,112.0,미국,(주)쇼박스,판타지,12세이상관람가,,46.0,822.0,0.0,40096,0.3689839572192513
훈장과 악동들,2011-10-27,10,4,43,92.0,한국,기타,다큐멘터리,전체관람가,,5.0,0.0,0.0,39916,0.3333333333333333
세이프 헤이븐,2013-11-06,11,4,45,115.0,미국,기타,멜로,15세이상관람가,,297.0,0.0,0.0,39731,0.41935483870967744
노다메 칸타빌레 최종악장,2011-01-13,1,1,2,122.0,일본,기타,드라마,12세이상관람가,,164.0,0.0,0.0,39585,0.2731481481481481
인피니트 콘서트 세컨드 인베이전 에볼루션 더 무비 3D,2012-10-18,10,4,42,98.0,한국,기타,공연,전체관람가,,543.0,0.0,0.0,39577,0.22094926350245495
스트리트 댄스 2: 라틴배틀,2012-07-12,7,3,28,85.0,영국,판씨네마(주),드라마,12세이상관람가,,16.0,0.0,0.0,39394,0.40425531914893614
그날 본 꽃의 이름을 우리는 아직 모른다,2014-02-20,2,1,8,99.0,일본,기타,애니메이션,12세이상관람가,0.0,988.0,0.0,0.0,39349,0.2730008598452279
그레이브 인카운터,2012-08-01,8,3,31,93.0,캐나다,기타,공포,15세이상관람가,,61.0,0.0,0.0,39266,0.3391812865497076
동급생,2016-05-19,5,2,20,60.0,일본,기타,애니메이션,15세이상관람가,,30.0,1037.0,0.0,38706,0.25925925925925924
말하는 건축가,2012-03-08,3,1,10,93.0,한국,기타,다큐멘터리,전체관람가,0.0,16.0,0.0,0.0,38653,0.6730769230769231
내일을 위한 시간,2015-01-01,1,1,1,95.0,벨기에,기타,드라마,12세이상관람가,0.0,24.0,360.0,0.0,38558,0.30701754385964913
끝과 시작,2013-04-04,4,2,14,88.0,한국,롯데쇼핑㈜롯데엔터테인먼트,멜로,청소년관람불가,0.0,101.0,0.0,0.0,38432,0.468503937007874
자유의 언덕,2014-09-04,9,3,36,66.0,한국,기타,드라마,청소년관람불가,0.0,27.0,483.0,0.0,38313,0.29411764705882354
나의 그리스식 웨딩 2,2016-03-30,3,1,13,94.0,미국,기타,코미디,15세이상관람가,1.0,133.0,245.0,0.0,38305,0.4811715481171548
몬스터 파크,2019-01-23,1,1,4,86.0,영국,기타,애니메이션,전체관람가,,5.0,54.0,0.0,38262,0.375
정글번치: 너구리 해적단과 보물지도,2015-06-25,6,2,26,66.0,프랑스,기타,애니메이션,전체관람가,,45.0,121.0,0.0,38219,0.3662551440329218
트릭,2016-07-13,7,3,28,94.0,한국,기타,스릴러,15세이상관람가,0.0,99.0,1335.0,0.0,38155,0.45019920318725104
신은 죽지 않았다,2015-04-16,4,2,16,112.0,미국,기타,드라마,12세이상관람가,,291.0,1558.0,0.0,38149,0.21237244897959184
흑집사 -북 오브 더 아틀란틱-,2017-04-13,4,2,15,100.0,일본,기타,애니메이션,15세이상관람가,,64.0,1817.0,0.0,37954,0.3333333333333333
4등,2016-04-13,4,2,15,119.0,한국,기타,드라마,15세이상관람가,0.0,123.0,1192.0,0.0,37943,0.4227272727272727
쟈니 잉글리쉬2 : 네버다이,2011-11-02,11,4,44,101.0,미국,유니버설픽쳐스인터내셔널 코리아(유),코미디,전체관람가,,72.0,0.0,0.0,37823,0.2159090909090909
이별의 아침에 약속의 꽃을 장식하자,2018-07-19,7,3,29,114.0,일본,기타,애니메이션,12세이상관람가,0.0,25.0,1280.0,0.0,37764,0.3414634146341464
타이밍,2015-12-10,12,4,50,99.0,한국,기타,애니메이션,15세이상관람가,0.0,168.0,3985.0,1.0,37711,0.2529761904761905
슈퍼노바 지구 탈출기,2014-02-13,2,1,7,89.0,미국,기타,애니메이션,전체관람가,,96.0,0.0,0.0,37547,0.38721804511278207
다시 태어나도 우리,2017-09-27,9,3,39,95.0,한국,기타,다큐멘터리,전체관람가,0.0,70.0,834.0,1.0,37449,0.4074844074844075
정글번치: 최강 악당의 등장,2018-04-19,4,2,16,97.0,프랑스,기타,애니메이션,전체관람가,,41.0,41.0,0.0,37343,0.4626865671641791
하이큐!! 승자와 패자,2016-12-28,12,4,52,87.0,일본,기타,애니메이션,12세이상관람가,,54.0,2656.0,0.0,37329,0.17763157894736842
다키스트 아워,2018-01-17,1,1,3,125.0,영국,유니버설픽쳐스인터내셔널 코리아(유),드라마,12세이상관람가,0.0,42.0,494.0,0.0,37300,0.42857142857142855
툴리,2018-11-22,11,4,47,95.0,캐나다,기타,드라마,15세이상관람가,0.0,39.0,123.0,0.0,37241,0.3005780346820809
추억의 마니,2015-03-19,3,1,12,102.0,일본,기타,애니메이션,전체관람가,0.0,120.0,1263.0,1.0,37182,0.3302961275626424
사이드 이펙트,2013-07-11,7,3,28,105.0,미국,롯데쇼핑㈜롯데엔터테인먼트,스릴러,청소년관람불가,,146.0,0.0,0.0,37134,0.2947154471544716
폭풍우 치는 밤에: 비밀 친구,2013-05-01,5,2,18,89.0,일본,기타,애니메이션,전체관람가,0.0,53.0,0.0,0.0,37112,0.35374149659863946
옥희의 영화,2010-09-16,9,3,37,80.0,한국,기타,드라마,청소년관람불가,0.0,22.0,0.0,0.0,37086,0.3448275862068966
에코 플래닛 3D : 지구 구출 특급 대작전,2013-10-09,10,4,41,81.0,기타,(주)인벤트스톤,애니메이션,전체관람가,,22.0,0.0,0.0,36811,0.4615384615384616
파가니니: 악마의 바이올리니스트,2014-04-23,4,2,17,118.0,독일,씨너스엔터테인먼트(주),드라마,15세이상관람가,,58.0,333.0,0.0,36808,0.4117647058823529
백프로,2014-04-03,4,2,14,108.0,한국,기타,코미디,15세이상관람가,0.0,425.0,1123.0,0.0,36792,0.3566978193146417
반딧불이 딘딘,2018-02-22,2,1,8,85.0,중국,기타,애니메이션,전체관람가,,9.0,26.0,0.0,36737,0.65
극장판 썬더일레븐 GO VS 골판지 전사 W,2013-06-05,6,2,23,90.0,일본,씨제이이앤엠(주),애니메이션,전체관람가,,148.0,0.0,0.0,36492,0.2401746724890829
스노든,2017-02-09,2,1,6,134.0,프랑스,기타,스릴러,15세이상관람가,,144.0,1098.0,0.0,36485,0.36939313984168864
가필드 펫 포스 3D,2011-01-27,1,1,4,73.0,미국,기타,애니메이션,전체관람가,,15.0,0.0,0.0,36420,0.4444444444444444
다크 하우스,2017-06-22,6,2,25,99.0,미국,기타,공포,청소년관람불가,0.0,66.0,754.0,0.0,36350,0.3357142857142857
벅스 프렌즈,2018-06-06,6,2,23,75.0,중국,기타,애니메이션,전체관람가,0.0,12.0,24.0,0.0,36308,0.35
더 스토리: 세상에 숨겨진 사랑,2012-12-06,12,4,49,102.0,미국,기타,드라마,15세이상관람가,,27.0,0.0,0.0,36068,0.6031746031746031
령 : 저주받은 사진,2015-06-04,6,2,23,105.0,일본,기타,공포,15세이상관람가,,49.0,680.0,0.0,35984,0.4339622641509434
한여름의 판타지아,2015-06-11,6,2,24,97.0,한국,기타,드라마,전체관람가,0.0,15.0,236.0,0.0,35907,0.6481481481481481
드래곤볼 슈퍼: 브로리,2019-02-14,2,1,7,99.0,일본,기타,애니메이션,전체관람가,1.0,127.0,324.0,0.0,35869,0.1901840490797546
에스엠타운 더 스테이지,2015-08-13,8,3,33,107.0,한국,기타,다큐멘터리,전체관람가,0.0,126.0,3879.0,0.0,35857,0.1527777777777778
지구대표 롤링스타즈,2011-03-24,3,1,12,83.0,한국,롯데쇼핑㈜롯데엔터테인먼트,애니메이션,전체관람가,,70.0,0.0,0.0,35578,-0.06145251396648045
파워배틀 와치카 미니카 배틀리그: 불꽃의 질주,2016-08-17,8,3,33,73.0,한국,기타,애니메이션,전체관람가,0.0,22.0,416.0,0.0,35569,0.3770491803278688
빌리와 용감한 녀석들: 치킨 히어로,2016-02-17,2,1,7,83.0,미국,기타,애니메이션,전체관람가,1.0,142.0,892.0,0.0,35517,0.4856115107913669
스파키,2018-04-12,4,2,15,91.0,한국,기타,애니메이션,전체관람가,,51.0,335.0,0.0,35436,0.4406779661016949
잠깐만 회사 좀 관두고 올게,2017-10-19,10,4,42,113.0,일본,기타,드라마,12세이상관람가,,96.0,1267.0,1.0,35429,0.4411764705882353
문라이즈 킹덤,2013-01-31,1,1,5,94.0,미국,기타,코미디,15세이상관람가,0.0,99.0,0.0,0.0,35328,0.43604651162790703
브루클린의 멋진 주말,2016-01-21,1,1,3,92.0,미국,기타,드라마,12세이상관람가,0.0,47.0,306.0,1.0,35318,0.3333333333333333
우리의 20세기,2017-09-27,9,3,39,118.0,미국,기타,드라마,15세이상관람가,,73.0,670.0,0.0,35296,0.4233870967741936
세 번째 살인,2017-12-14,12,4,50,124.0,일본,기타,스릴러,15세이상관람가,0.0,71.0,536.0,0.0,35271,0.3167155425219941
위핏,2010-02-18,2,1,7,111.0,미국,롯데쇼핑㈜롯데엔터테인먼트,드라마,12세이상관람가,,45.0,0.0,0.0,35241,0.6666666666666666
엘르,2017-06-15,6,2,24,130.0,프랑스,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,드라마,청소년관람불가,,51.0,261.0,0.0,35122,0.24757281553398056
키코리키: 황금모자의 비밀,2017-01-25,1,1,4,79.0,러시아,기타,애니메이션,전체관람가,,47.0,182.0,0.0,35111,0.4676258992805755
"그 시절, 우리가 좋아했던 소녀",2012-08-22,8,3,34,107.0,대만,기타,멜로,15세이상관람가,,42.0,25.0,1.0,34995,0.3461538461538461
