영화제목,개봉일,키워드,수상내역
커밍 홈,2015-05-28,"장례식,할머니,시골마을,사랑,가족",부산국제영화제(2013) : BS부산은행상 - 막시밀리안 훌트|2013 만하임 하이델베르크 국제영화제 최우수 작품상  2014 PEACE   LOVE 영화제 최우수 배우상   2014 프라하 국제영화제 최우수 작품상   2015 스웨덴 굴드바게 어워즈 여우조연상
커터,2016-03-30,"고등학교,고등학생,전학",
커터헤드,2019-04-04,"재난영화,지하철공사,취재기자,화재사건",
커튼콜,2016-12-08,"극단,연극공연,마지막,기로",들꽃영화상(2017) : 공로상 - 전무송
커플 테라피: 대화가 필요해,2010-02-25,,
커플즈,2011-11-02,"결혼,기적,버스,커플,차도녀,젤리,우연,실종,싱글,연인,교제",
커피메이트,2017-03-01,,
커피한잔이 섹스에 미치는영향,2014-06-26,"가족,뇌진탕,사고,퀴어무비,이중생활,커피,섹스,교감",베를린국제영화제(2013) : 테디상:심사위원상 -
컨빅션,2013-01-03,"실화바탕,변호사,누명,남매",
컨저링,2013-09-17,"가족,공포,기현상,이사,집,퇴마",
컨저링 2,2016-06-09,,
컨저링 마녀의 인형,2018-08-14,"구체관절인형,마녀,저주",
컨택트,2017-02-02,,아카데미 시상식(2017) : 음향편집상 - 실뱅 벨메어
컨택트킬 좀비,2014-08-21,,
컨테이젼,2011-09-22,"홍콩,출장,발작,접촉,전염병,감염",
컨트렉트 킬러,2011-09-29,"CIA,첩보요원,복수,강간범",
컨트롤,2014-01-09,"반전,사투,협박,범죄",
컨트롤러,2011-03-03,"무용수,미래,설계도,정치인,조작,정치음모",
컬러 오브 라이프,2016-11-03,,
컬러드 걸스,2013-03-21,"아동보호,가정폭력,흑인여성,아픔",
컬러풀,2012-05-10,"자살,천사,유예,전생",안시국제애니메이션영화제(2011) : 관객상 - 하라 케이이치|안시국제애니메이션영화제(2011) : 장편부문 우수상 - 하라 케이이치
컬러풀 웨딩즈,2014-10-16,결혼식,
컴 아웃 파이팅,2016-12-22,,
컴 투게더,2017-05-25,,
"컴, 투게더",2017-05-11,"사회풍자,단면,실업,신용불량자,현대사회,가족,위기",
컴다운,2013-07-25,"남녀,빌딩,사이코패스,파티",
컴퍼니 유 킵,2013-12-05,"도망자,학생운동,특종,FBI,신분위장,기자,추적",
컴플라이언스,2013-08-01,"공권력,독립영화,심문,보이스피싱,성폭력,실화바탕",
컷,2012-02-09,"빚,야쿠자,영화,영화제작,샌드백,영화를다룬영화",
컷뱅크,2015-10-08,,
케로로 더무비 5: 기적의 사차원섬,2010-04-29,"모아이,시리즈,대결,쌍둥이",
케빈에 대하여,2012-07-26,"여행가,어머니와아들,반항,책임",
케이: 여배우 살인 사건의 비밀,2019-03-27,"여배우,살인사건,베트남,시골마을,유괴사건,숨겨진 진실",
케이온,2013-06-13,"여고생,밴드,런던,여행,콘서트",
케이지 다이브,2017-09-21,,
케이크메이커,2018-05-24,"동성애,퀴어무비,성정체성,옛애인,옛연인,친구의아내,케이크",
케이트 맥콜,2014-05-22,"변호사,엄마,협박,반전",
코난 : 암흑의 시대,2012-04-05,"복수,전사,야심,신전",
코드,2012-08-30,"도둑,보물",
코드 네임 제로니모,2012-12-13,"빈라덴,제로니모,테러리스트,비밀작전",
코드 레드,2014-06-19,,
코드 오브 아너,2016-10-13,"FBI요원,갱",
코드네임 더 몰,2014-01-09,"마약,수사,여동생,위장,프락치",
코드네임: 콜드워,2016-10-13,"홍콩경찰,납치사건,권력형비리",
코리아,2012-05-03,"갈등,경기,경기대회,국가대표,남북단일팀,라이벌,스포츠,실화바탕,실화바탕바탕,실화바탕바탕,탁구,화합,국가대표팀,신경전,현정화,실존인물",백상예술대상(2013) : 영화 여자신인연기상 - 한예리
코리올라누스,2016-11-10,,
코리올라누스: 세기의 라이벌,2013-07-11,"로마,복수,셰익스피어,장군,전쟁,희곡원작,배신자,영국희곡원작,고전의재해석",
코멧,2015-03-25,,
코모도 대 코브라,2015-04-02,,
코블러,2015-04-08,,
코비:블루 엘리펀트의 전설,2013-12-05,"코끼리,전사,가족,구출,어드벤처,전쟁,태국",
코뿔소의 계절,2014-01-16,"쿠르드족,시인,실화바탕,비극",
코스모폴리스,2013-06-27,"뉴욕,투자가,경제공황,상류층",
코알라,2013-10-24,"청춘,창업,도전,실패",
코알라 키드 : 영웅의 탄생,2012-01-12,"서커스,악어,외톨이,코알라,호주,사파리,어드벤처,어드벤쳐,대자연,동물",
코인라커,2015-05-28,,
코코,2018-01-11,"멕시코,뮤지션,픽사스튜디오,사후세계",뉴욕비평가협회상(2017) : 애니메이션상 - 리 운크리치|골든글로브 시상식(2018) : 장편애니메이션상 - 리 언크리치|아카데미 시상식(2018) : 주제가상 - Remember Me|아카데미 시상식(2018) : 장편애니메이션작품상 - 리 언크리치
코코 샤넬과 이고르 스트라빈스키,2011-08-25,"샤넬,파리,향기,멜로디,작곡가,러시아,영감",
코쿠리코 언덕에서,2011-09-29,"하숙집,항구,항해,아버지의죽음,철거",
코파카바나,2011-05-26,"엄마와딸,애증,결혼,지각,해고,상견례,벨기에",
콘돌은 날아간다,2013-05-30,"사제,성당,성폭행,소녀,안데스산맥,죄책감,죽음,페루,살해,용서,고해성사,신부,성직자,육체적욕망",
콘트라밴드,2012-03-22,"밀수,마약,음모,가족",
콜 미 바이 유어 네임,2018-03-22,"소설원작,동성애,퀴어,여름,로맨스,첫사랑,소년,연구원,별장",뉴욕비평가협회상(2017) : 남우주연상 - 티모시 찰라멧|LA비평가협회상(2017) : 남우주연상 - 티모시 찰라멧|LA비평가협회상(2017) : 감독상 - 루카 구아다니노|LA비평가협회상(2017) : 작품상 - 루카 구아다니노|아카데미 시상식(2018) : 각색상 - 제임스 아이보리
콜 미 킹,2016-08-18,,
콜 오브 듀티: 라스트 워,2017-09-21,,
콜걸,2013-03-29,"왕따,콜걸,블로그,유명세,마약중독,자아",
콜드 라잇 오브 데이,2012-05-17,"가족여행,CIA,위기,본능",
콜드 스킨,2018-11-15,"외딴섬,해양관측사,괴생명체",
콜드 워,2013-09-05,"홍콩느와르,경찰,테러,두뇌싸움,내분",
콜드 워,2019-02-07,"러브스토리,불가능한 사랑,운명적사랑,냉전시대,흑백영화",뉴욕비평가협회상(2018) : 외국영화상 - 파벨 포리코브스키|칸국제영화제(2018) : 감독상 - 파벨 포리코브스키
콜드 인 줄라이,2014-11-27,,시체스 국제판타스틱 영화제(2014) : 오피셜 판타스틱orbita-감독상 - 짐 미클
콜드 체이싱,2019-02-20,"아들의죽음,마약딜러,마약범죄단,복수극,마피아,설원",
콜드플레이: 헤드 풀 오브 드림스,2018-12-28,"록밴드,영국밴드,음악다큐멘터리,라이브공연,공연실황",
콜드헬,2019-01-31,"연쇄살인범,이민자,킥복서,택시기사,생계유지,살인목격,목격자,연쇄살인마",
콜럼버스,2018-04-19,"한국계미국인,건축,모더니즘",
콜럼버스 서클,2013-01-24,"용의자,상속녀,생일,뉴욕경찰",
콜레트,2019-03-27,"소설가,소설작가,바람둥이,사교계,물랑루즈,경험담,베스트셀러,대필작가,전기영화,희생,결혼,자아실현",
콜렉션,2013-05-02,"클럽파티,트랩,싸이코패스,두뇌싸움",
콜렉터,2011-05-26,"보석털이,집수리,사채업자,빚,금고,침입자",
콜로니아,2017-04-06,,
콜로설,2017-04-20,,
콜롬비아 커넥션 -마약수사대-,2015-03-05,,
콜롬비아나,2011-09-01,"고아,여자킬러,복수,삼촌,FBI,범죄조직",
콜리션,2017-03-30,,
콜링 인 러브,2010-03-25,,
콜보이,2018-08-29,"멜로드라마,19금,성적욕망,명문대생,성적일탈",
콤플렉스,2013-07-25,"아파트,옆집,이사,시체,공포",
콩: 스컬 아일랜드,2017-03-09,,
콩가네,2013-07-11,"가장,가족,돈,비밀,출소,교도소,국수가게,통장",
콰르텟,2013-03-28,"과거,오페라가수,은퇴,콘서트",
콰이어트 원,2014-09-18,"실험,실화바탕,유령",
콰이어트 플레이스,2018-04-12,"극한상황,가족,생존,사투,침묵,외계생명체",
쾌걸 조로리의 공룡알을 지켜라,2014-05-15,모험,
쾌걸 조로리의 대대대대모험,2013-06-05,"보물,전설,마을,병,영웅",
쾌락지구,2012-09-13,,
쾌락지구2,2013-09-05,"홍콩,청춘영화,쾌락,젊음",
쾌락지구3,2015-07-09,,
쾌락지구X,2015-06-25,,
쾌찬차,2015-05-14,"간이식당,스페인,소매치기,창녀,사립탐정,유산",
쿠르스크,2019-01-16,"잠수함,러시아군,해군,해군전함,침몰,실화바탕",
"쿠미코, 더 트레져 헌터",2016-01-14,,
쿠바 퓨리,2015-08-13,,
쿠바의 연인,2011-01-13,"부분애니메이션,사랑,쿠바,한국,국제결혼",서울독립영화제(2009) : 심사위원 특별언급 - 정호현|2007 영화진흥위원회 독립영화제작지원작  2007 서울영상위원회 독립영화제작지원작  10회 인디다큐페스티발(2010) 올해의 신작전 초청작
쿠보와 전설의 악기,2016-10-26,,
쿠크하트 : 시계심장을 가진 소년,2015-08-20,"시계,심장,사랑,파리,모험,모험판타지",
쿠티스,2017-12-07,,
쿰바: 반쪽무늬 얼룩말의 대모험,2014-09-04,"아프리카,초원,얼룩말",
쿵푸 닌자,2011-08-10,"부적,닌자,대결,우정,닭고기",
쿵푸 워리어,2019-03-26,"버려진 아이,쿵푸,수제자,관음불상,도둑,복수극",
쿵푸 크로니클,2018-07-26,"쿵푸,만주전쟁,무술고수,일제의만주침략,재벌2세,시간여행",
쿵푸 트래블러 : 남권,2018-10-30,"쿵푸,외계인침공,인류멸망,미래시대",
쿵푸 트래블러 : 북퇴,2018-11-01,"기술교육,로봇부대,미래시대,지구수호",
쿵푸 팬더 2,2011-05-26,"계곡,계단,무술,용,전사,쿵푸,쿵후,팬더,시리즈,속편",
쿵푸 허슬: 무적 파이터,2010-02-25,"1940년대,어머니의죽음,유언,상해,폭력조직,쿵푸",
쿵푸마스터,2017-08-01,,
쿵푸몽키,2018-01-25,"요괴,서유기,동물캐릭터,동물용사,쿵푸",
쿵푸팬더 3,2016-01-28,,
쿵후팬더: 영웅의 탄생,2013-07-04,"모험,영웅,전설,쿵후,팬더,속편,시리즈",
쿼바디스,2014-12-10,"교회,기독교,목사,비리,탐욕,교회대형화,교회세습,교회상업화",
퀴어영화 20,2013-12-06,"퀴어무비,게이,성장통,소년",
퀴어영화 나비 : 어른들의 일,2015-07-18,"호스트바,동성애",
퀴어영화 뷰티풀,2018-10-06,"동성애자,외모컴플렉스,소년들,가상세계",
퀴즈왕,2010-09-16,"퀴즈쇼,당첨금,정답,우승,방송작가,TV작가,자살",
퀵,2011-07-20,"배달,배달원,속도,스피드,심부름센터,오토바이,전화,질주,퀵서비스,폭탄,핸드폰,헬멧,심부름꾼,미션,자동차액션",
퀸 오브 데저트,2016-04-07,실존인물,
퀸카가 아니어도 좋아,2016-02-25,,
퀼,2010-01-07,,
큐브 : 예스 오어 노,2014-09-11,,
크게 될 놈,2019-04-18,"사형수,엄마와아들,까막눈,그녀의 사랑,헌신적사랑,삶의희망,실화바탕,섬마을,모성애",
크라임 시티: 나쁜 놈들의 세상,2019-04-04,"어머니의죽음,자살,고향,보험금,과거의 비밀",
크래쉬 랜딩,2014-07-09,,
크랙,2010-07-28,"여학교,기숙학교",
크레이지,2010-04-08,"바이러스,살인,무력진압,생존자,폐허",
크레이지,2017-01-19,,
크레이지 레이크,2017-07-20,,
크레이지 리치 아시안,2018-10-25,"재벌가,결혼반대,부모반대,진정한사랑",
크레이지 버그,2019-05-02,"가족사,진실 찾기,인종갈등,자백,할아버지,소녀,살인은폐",
크레이지 샤크,2013-12-04,,
크레이지 인 러브,2018-03-15,"간호사,종군기자,섹스,전쟁",
크레이지 하트,2010-03-04,"가수,알콜중독,기타,재기","LA비평가협회상(2009) : 작곡상 - T-본 버넷, 스티븐 브루튼|LA비평가협회상(2009) : 남우주연상 - 제프 브리지스|골든글로브 시상식(2010) : 남우주연상(드라마) - 제프 브리지스|골든글로브 시상식(2010) : 주제가상 - T-본 버넷, Ryan Bingham|아카데미 시상식(2010) : 남우주연상 - 제프 브리지스|아카데미 시상식(2010) : 주제가상 - T-본 버넷, Ryan Bingham|로저 이버트 Roger Ebert TOP 10(2009) : 주류영화 : 2 -|미국배우조합상(2010) : 영화부문 남우주연상 - 제프 브리지스"
크레이지 호스,2012-04-19,"프랑스,쇼비니지스,누드,댄서",
크로니클,2012-03-15,"고교생,땅굴,초능력,장난,파운드푸티지",
크로닉,2016-04-14,,칸국제영화제(2015) : 각본상 - 미쉘 프란코
크로스 라인,2013-04-03,"사기,여인,추격전,딸,은신,국경",
크로싱 오버,2014-05-29,"LA,불법체류,이민자,영주권",
크로우 라이징,2019-05-21,"허수아비,전설,저주,희생자",
크루즈 패밀리,2013-05-16,"동굴,위험,보금자리,세상,발걸음,호기심,야생,탐험",
크리드 2,2019-02-21,"록키,복싱,복싱선수,권투선수,라이벌,파이터",
크리미널,2016-06-23,"기억조작,테러집단,CIA요원",
크리미널 게임: 보석 사기단,2019-01-23,"도박,사기꾼,사기단,추적과도주",
크리미널 섹터 211,2018-12-11,"리얼액션,은행강도,경찰",
크리미널 스쿼드,2018-04-19,"은행강도,범죄수사대,LA경찰,팝콘무비,마초",
크리미널 체이스,2018-12-04,"누명,은행강도,전직경찰",
크리스마스 스타,2014-12-04,크리스마스,
크리스마스 스타!,2010-12-23,"연극,크리스마스,할리우드,거짓말",
크리스마스 호러 스토리,2019-04-25,"시골마을,산타,연쇄살인,의문의소녀",
크리스마스의 황당한 악몽,2018-12-06,"크리스마스,낯선여자,지하감옥,살인파티",
크리피: 일가족 연쇄 실종 사건,2016-08-18,"소설원작,이웃,연쇄살인,연쇄살인범",
크림슨 피크,2015-11-25,,
클라라,2010-12-16,"슈만,브람스,뮤즈,낭만주의,피아니스트,19세기",
클라우드,2011-07-14,"원자력사고, 소설원작",
클라우드 아틀라스,2013-01-09,"영국,샌프란시스코,작곡가,서울,복제인간",
클라우즈 오브 실스마리아,2014-12-18,,전미비평가협회상(2016) : 여우조연상 - 크리스틴 스튜어트|뉴욕비평가협회상(2015) : 여우조연상 - 크리스틴 스튜어트
클래쉬,2011-08-11,"납치,추격전,인신매매,고아,암살자,마약",
클래스,2010-04-01,"교사,수업,숙제,전학생,퇴학,학생,회의,다큐멘터리+극영화",칸국제영화제(2008) : 황금종려상 - 로랑 캉테(Laurent Cantet)
클랜,2016-05-12,,베니스국제영화제(2015) : 은사자상 - 파블로 트라페로
클레망스,2013-08-22,"프랑스,시골마을,딸,엄마,운명적사랑",
클레어의 카메라,2018-04-25,"홍상수,칸영화제,폴라로이드,삶의의미,정직",시네마테크KOFA가 주목한 한국영화(2019) : 선정작 - 홍상수
클로버,2017-11-29,,
클로버필드 10번지,2016-04-06,,
클로이,2010-02-25,LGBT,로저 이버트 Roger Ebert TOP 10(2010) : 2군 베스트 10 -
클로저,2017-04-20,"로맨스, 연극원작, 뉴욕, 결혼, 이혼",뉴욕비평가협회상(2004) : 남우조연상 - 클라이브 오웬(Clive Owen)|골든글로브 시상식(2005) : 여우조연상 - 나탈리 포트만|골든글로브 시상식(2005) : 남우조연상 - 클라이브 오웬
클로즈드 노트,2011-04-14,"일기장,이사,아르바이트,만년필,영국유학,고백,초등학교선생,대학동창",
클로즈드 시즌: 욕망의 계절,2014-01-16,"동거,독일,도망자,전쟁,질투",
클린스킨,2014-01-01,"폭탄,테러,폭탄테러,런던,추격",
클린턴 로드: 죽음의 호수,2016-04-21,,
클립,2013-10-31,"소녀,십대소녀,파티,마약,여류감독",로테르담 국제영화제(2012) : 타이거상 - 마야 밀로스|로테르담 국제영화제(2012) : KNF상 - 마야 밀로스
키드냅,2017-11-22,,
키롯,2012-05-24,"아파트,여자킬러,러시아,학대,우정",
키리시마가 동아리활동 그만둔대,2014-06-26,"동아리,부재,사건,배구부,부장,고등학교",부천국제판타스틱영화제(2013) : 넷팩상 - 요시다 다이하치
키사라기 미키짱,2010-02-11,"자살,반전,열성팬,추모",
키세스,2013-12-12,"더블린,꼬마,탈출,크리스마스,인생",
키스 미 어게인,2015-06-11,,
키스 오브 드래곤,2014-09-04,"경찰, 누명, 파리, 네오누아르",
키스 오브 뱀파이어,2015-07-23,"뱀파이어,사랑",
키스(KISSES),2013-03-07,"고교생,권태기,단편영화,뱀파이어,연상연하,키스,신부,옴니버스영화,부부권태,부부",
키즈모노가타리 I: 철혈편,2016-06-30,,
키즈모노가타리 II: 열혈편,2016-10-20,,
키즈모노가타리 III: 냉혈편,2017-05-18,,
키코리키: 시간여행,2019-04-10,"시간여행,생일파티,타임리프,과거여행,의문의사건",
키코리키: 황금모자의 비밀,2017-01-25,,
킥 애스2: 겁 없는 녀석들,2013-10-17,"히어로,액션,복수,속편",
킥 애스: 영웅의 탄생,2010-04-22,"가면,만화원작,슈퍼히어로,마약상,바주카,유튜브,이메일,망토",
킥 오프,2010-07-08,"축구,전쟁,폭격,난민",
킥복서 더 레전드,2018-08-02,"마지막결투,납치,대결전",
킥복서 리턴즈,2016-11-17,"가라데,챔피언,무에타이",
킨: 더 비기닝,2018-10-11,"미스터리 액션,슈퍼건,소년,추적과도주,특수효과",
킬 리스트,2015-11-12,,부천국제판타스틱영화제(2011) : 부천초이스여우주연상(장편) - 미안나 버링|시체스 국제판타스틱 영화제(2011) : 베스트 유럽단편영화상 (실버멜리에스상) - 벤 휘틀리
킬 미 달링,2016-01-28,"계약,여행상품,운명의 여인,상류층",
킬 스위치,2012-03-15,"쌍둥이,폭탄,연쇄살인범,암호",
킬 스피드,2011-04-07,"캘리포니아,비행서클,공중곡예,마약운반,비밀경찰,함정수사",
킬 유어 달링,2014-10-16,"문학,비트세대,실화바탕,작가,1940년대,뉴욕,집착,콜럼비아대학,살인,스토킹,뮤즈",
킬 유어 프렌즈,2017-12-21,,
킬 존,2018-11-04,"판타지스릴러,복수극,초자연적 힘",
킬 케인,2016-12-08,,
킬 힘,2015-04-23,,
킬러 더 머니,2017-12-07,,
킬러 엘리트,2011-09-22,"킬러,특수요원,본능,엘리트,대결",
킬러 인사이드 미,2010-07-08,"매춘부,보안관,추방",
킬러본색:블랙페이스,2015-02-26,,
킬러스,2015-02-04,,
킬러스,2010-08-19,,
킬러의 보디가드,2017-08-30,"보디가드,킬러,구제불능,미션수행,두남자",
킬러조,2013-03-07,,
킬링 군터,2018-07-12,"킬러,암살자,암살계획,액션",
킬링 디어,2018-07-12,"외과의사,의료사고,의료과실,환자,사망,아버지의복수","칸국제영화제(2017) : 각본상 - 요르고스 란티모스, 에프티미스 필리포우|시체스 국제판타스틱 영화제(2017) : Jose Luis Guarner 비평가상 - 지오르고스 란디모스"
킬링 소프틀리,2013-04-04,"도둑,범죄조직,킬러,배후세력,임무",
킬링 타임,2012-03-15,"모험,삼각관계,위기,두 여자,대학교,대학,동기,동기동창,선배,선후배,후배,사랑과우정,만남",
킬링머신,2015-04-09,,
킬링시즌,2013-09-05,"낯선사람,방문,위협,추격,숲속,은거,화살",
킬엠올,2014-05-01,"킬러,납치,밀실,전투,닌자",
킹 아서: 엑스칼리버의 부활,2017-09-14,,
킹 아서: 제왕의 검,2017-05-17,,
킹 오브 프리즘 -샤이니 세븐 스타즈-,2019-03-07,"톱스타,팝스타,슈퍼스타,프리즘쇼,소년들,스타의꿈",
킹 오브 프리즘 -샤이니 세븐 스타즈- Ⅱ 카케루x조지x미나토,2019-04-04,"프리즘쇼,피겨스케이트,노래,댄스,스타,슈퍼스타,하이틴스타,소년",
킹 오브 프리즘 -샤이니 세븐 스타즈- Ⅲ 레오x유우x알렉,2019-05-02,"아이돌,슈퍼스타,하이틴스타,소년,프리즘쇼,피겨스케이트,노래,댄스",
킹 오브 프리즘 -샤이니 세븐 스타즈- Ⅳ 루이x신x언노운,2019-05-30,,
킹 오브 프리즘 -프라이드 더 히어로-,2017-06-10,,
킹 오브 프리즘 한국어판,2016-08-11,"학원물,재패니메이션,오버더레인보우,뮤지션,천재작곡가,인터렉티브",
킹 켈리,2014-05-29,"인터넷,스트립걸,마약,섹스,폭력,이간질,소동",부천국제판타스틱영화제(2012) : 심사위원 특별상 - 앤드류 닐|부천국제판타스틱영화제(2012) : 여우주연상(장편) - 루이자 크로즈
킹덤 오브 글래디에이터,2017-04-25,,
킹메이커,2012-04-19,"경쟁,대선,섹스스캔들,후보,선거,대통령,대통령선거,주지사,정치",
킹스 스피치,2011-03-17,"방송,스캔들,영국,왼손잡이,제2차세계대전,처칠,햄릿,연설,말더듬이,왕위즉위식,언어치료사,군주,아카데미작품상,실존인물","전미비평가협회상(2011) : 남우조연상 - 제프리 러쉬|뉴욕비평가협회상(2010) : 남우주연상 - 콜린 퍼스|골든글로브 시상식(2011) : 남우주연상(드라마) - 콜린 퍼스|아카데미 시상식(2011) : 감독상 - 톰 후퍼|아카데미 시상식(2011) : 각본상 - 데이빗 세이들러|아카데미 시상식(2011) : 남우주연상 - 콜린 퍼스|아카데미 시상식(2011) : 작품상 - 이에인 캐닝 , 에밀 셔먼, 가레스 언윈|로저 이버트 Roger Ebert TOP 10(2010) : 2 -|미국배우조합상(2011) : 영화부문 남우주연상 - 콜린 퍼스|미국배우조합상(2011) : 최고의 캐스팅상 -|토론토국제영화제(2010) : 관객상 - 톰 후퍼"
킹스맨: 골든 서클,2017-09-27,,
킹스맨: 시크릿 에이전트,2015-02-11,"비밀첩보원,첩보요원,첩보물,인턴,스파이,특수비밀요원,특수요원,특수훈련",
타락하는 유부녀,2013-01-31,,
타마코 러브 스토리,2014-09-25,,
타부 - 새누나,2016-06-16,"다섯남녀,심리게임,재혼가정,내연관계",
타샤 튜더,2018-09-13,"베스트셀러,동화작가,사계절,화원,자연친화,행복한일상",
타우리스의 이피게네이아,2011-06-22,"괴테,희곡,오페라,공연실황",
타운,2011-01-27,"배신,은행강도,인질,보스턴",
타운십 스토리,2011-03-26,"남아프리카공화국,케이프타운,아픔,최빈민층,가난,폭력,마약,에이즈,그리스도인",
타워,2012-12-25,"가장,가정불화,고층빌딩,불,소방관,재난,재난영화,참사,크리스마스,크리스마스이브,화재,재해영화",대종상 영화제(2013) : 기술상 - 손승현
타워 블록,2014-08-28,,"시체스 국제판타스틱 영화제(2012) : 오피셜 판타스틱 파노라마부문 - 제임스 넌, 로닌 톰슨"
타워 하이스트,2011-11-17,"사기,펜트하우스,뉴욕,금고털이",
타이거 마운틴,2015-04-23,,시체스 국제판타스틱 영화제(2015) : 오피셜 판타스틱orbita-특별심사위원상 - 서극
타이머,2011-03-10,"소울메이트,타이머,차도녀,30살,생일,의붓자매,두려움,외로움",
타이밍,2015-12-10,"웹툰원작,시간,초능력자",서울국제만화애니메이션페스티벌(2015) : 그랑프리(장편) - 민경조
타이치 0 3D,2013-07-04,"권법,무술,생명,액션,청나라,치료,태극권,히어로,쿵푸,쿵후",
타이치2 히어로,2014-07-23,,
타이타닉,2018-02-01,"구조,난파,로맨스,블록버스터,상류층,신분격차,신분차이,실화바탕,실화바탕바탕,역사,유람선,익사,재난,춤,침몰,침몰선,호화여객선,여객선","LA비평가협회상(1997) : 미술상 - 피터 라몬트(Peter Lamont)|골든글로브 시상식(1998) : 감독상 - 제임스 카메론|골든글로브 시상식(1998) : 주제가상 - James Horner, Wilbur Jennings|골든글로브 시상식(1998) : 작품상(드라마) -|아카데미 시상식(1998) : 음향상 - 게리 라이스트롬 외 3명|아카데미 시상식(1998) : 음향효과상 - Tom Bellfort, Christopher Boyes|아카데미 시상식(1998) : 작품상 - 제임스 카메론|아카데미 시상식(1954) : 각본상 - 찰스 브래킷|아카데미 시상식(1954) : 각본상 - 월터 라이쉬|아카데미 시상식(1954) : 각본상 - 리처드 브린|아카데미 시상식(1998) : 시각효과상 - Robert Legato 외 3명|아카데미 시상식(1998) : 미술상 - 피터 라몬트|아카데미 시상식(1998) : 촬영상 - 러셀 카펜터|아카데미 시상식(1998) : 의상상 - 데보라 린 스콧|아카데미 시상식(1998) : 감독상 - 제임스 카메론|아카데미 시상식(1998) : 편집상 - 콘래드 버프 4세 외 2명|아카데미 시상식(1998) : 음악상 - 제임스 호너|아카데미 시상식(1998) : 주제가상 -  My Heart Will Go On |도쿄국제영화제(1997) : 개막작 -|로저 이버트 Roger Ebert TOP 10(1997) : 9 -|KINO 베스트10(1999) : 키노독자 1998년 외국영화 베스트 2 -|미국배우조합상(1998) : 영화부문 여우조연상 - 글로리아 스튜어트(Gloria Stuart)"
타이타닉 2,2012-04-25,"침몰,대서양,쓰나미,타이타닉호",
타이탄,2010-04-01,"3D,신화,전쟁,제우스,하데스,페르세우스,메두사,제물,올림푸스,신",
타이탄의 분노,2012-03-29,"반신반인,어부,지하세계,신화",
타이페이 카페 스토리,2011-07-07,"카페,자매,안식처,벼룩시장,교환",
타인은 지옥이다,2019-04-11,"캠핑장,사랑,결혼,친한친구,현실연애,타인의 삶,남과여,연작",
타인의 멜로디,2014-03-27,"청소년,가족,생활비,친구",
타인의 아내를 사랑하다,2014-01-09,"부부,섹스,일탈,공허,권태",
타임 워프 워,2019-02-14,"유적발굴,과거여행,가족사,과거와현재",
타임 체인저,2016-12-29,,
타임 투 러브,2014-10-23,,
타임 투게더,2017-11-16,,
타임 트랩 킬러,2019-03-05,"시간여행,미래시대,보육원,살해범,살인은폐,사건은폐,타임워프,타임루프,타임리프,아버지와 딸,과거여행",
타임 패러독스,2015-01-07,",반전,시간여행,타임루프",
타임랩스,2015-01-29,시간여행,
타임러쉬,2018-02-08,"스톱워치,타임루프,기억상실,나는누구인가,도주",
타임루프 : 벗어날 수 없는,2018-08-30,"컬트,집단생활,토템의식,로튼토마토","부천국제판타스틱영화제(2017) : 작품상 - 저스틴 벤슨, 아론 무어헤드"
타임코드,2011-07-28,"시카고,시간여행,여행상품,조건,탐사대",
타임크라임,2012-02-02,"시간여행,망원경,연구소,괴한",
타임트랙,2015-08-27,,
타잔 3D,2014-01-09,"모험,정글,타잔,야생,전설,악당",
타짜-신의 손,2014-09-03,"노름,도박,도박꾼,만화원작,속편,시리즈,화투,한국만화원작,후속편,타짜,복수",청룡영화상(2014) : 청정원 인기스타상 - 신세경
타클라마칸,2018-03-22,"우연한만남,하룻밤,비극,개미지옥,노래방도우미,사막,살해,사체유기",
타타라 사무라이,2018-07-12,"사무라이,도공,후계자,검객,전쟁,액션",
타투,2015-12-10,"타투이스트,싸이코패스,문신,살인",
탈명금: 사라진 천만 달러의 행방,2017-12-01,,
탈주,2010-09-02,"군인,도주,로드무비,탈영병,추격,배신,군대,시한부,제대","제14회 부산국제영화제 '한국영화의 오늘 - 비전' 부문 상영, 관객평론상 수상"
탐엣더팜,2014-05-22,"거짓말,농장,연인,장례식,죽음,폭력,동성애자,게이",
탐욕,2016-05-12,"옴니버스영화,유학,유학생,관광객,사랑",
탐욕의 별,2016-04-27,"금융위기,투기자본,사모펀드,론스타,투기,경제,금융자본주의",
탐욕의 제국,2014-03-06,"공장,노동자,시위,죽음,대기업,삼성반도체,산업재해","서울국제여성영화제(2012) : 옥랑문화상 - 홍리경|서울국제여성영화제(2012) : 다큐멘터리 옥랑문화상 - 이숙경, 홍리경|서울국제여성영화제(2012) : 다큐 관객인기상 - 홍리경|제9회 대만다큐멘터리영화제 대상"
탐정 당인: 차이나타운 살인사건,2016-10-27,,
탐정 홍길동: 사라진 마을,2016-05-04,,부천국제판타스틱영화제(2016) : 특별언급 - 김하나|부천국제판타스틱영화제(2016) : 관객상(코리안판타스틱 장편) - 조성희
탐정: 더 비기닝,2015-09-24,형사,
탐정: 리턴즈,2018-06-13,"사립탐정,탐정극,탐정사무소,미제사건,콤비,버디무비",제천국제음악영화제(2018) : JIMFF RISING STAR - 손담비
탐포포,2010-09-23,"라면,요리,주방,음식",
탑캣: 뉴욕 대소동,2014-04-24,"고양이,뉴욕,개,길고양이",
