영화제목,개봉일,키워드,수상내역
●REC,2011-11-24,"게이커플,동성애,성적소수자,이별,퀴어,퀴어무비,셀프카메라,동성애인,동성애자,동성연애자,기념일,비디오,사랑,모텔,정사",
가구야공주 이야기,2014-06-04,"공주,죄,미녀,첫사랑,비밀",LA비평가협회상(2014) : 애니메이션상 - 다카하타 이사오
가디언스,2014-11-24,,
가디언의 전설,2010-10-28,"올빼미,정의 수호자,형제",
가디언즈,2012-11-29,"히어로,수호천사,악령,5인조",
가디언즈 오브 갤럭시,2014-07-31,"초능력자,우주,히어로,마블코믹스",
가디언즈 오브 갤럭시 2,2017-05-03,"마블코믹스,히어로",
가려진 시간,2016-11-16,"실종,시간,친구,산,판타지,소년,어른,노트,비누,아지트",대종상 영화제(2017) : 음악상 - 달파란|대종상 영화제(2017) : 신인감독상 - 엄태화
가루지기: 변강쇠 더 비기닝,2017-08-28,,
가름워즈:마지막 예언자,2015-12-03,,
가문의 영광 4 - 가문의 수난,2011-09-07,"가문,가족,기업,삼형제,시리즈,여행,일본,조폭,해외여행,형제,속편",
가문의 영광 5 - 가문의 귀환,2012-12-19,"가문,사위,삼형제,엘리트,조폭,형제,기업가,속편,시리즈",
가미카제,2017-02-16,,
가버나움,2019-01-24,"10대소년,부모된도리,고소,현실감,현실의벽",칸국제영화제(2018) : 심사위원상 - 나딘 라바키|로테르담 국제영화제(2019) : 관객상 - 나딘 라바키|제 41회 밀 밸리 영화제  월드시네마 - 금상 (나딘 라바키) 수상
가부와 메이 이야기,2014-02-06,"그림책원작, 동물, 늑대, 염소, 친구, 우정, 약속, 폭풍우",
가비,2012-03-15,"고종황제,구한말,궁중/역사,궁중사극,러시아,미스테리,비밀,소설원작,스파이,실화바탕,암살,암살음모,음모,이중스파이,조국,조선,조선시대,커피,대한제국,바리스타,한국소설원작,팩션,고종암살사건",황금촬영상 시상식(2014) : 촬영상-금상 -|황금촬영상 시상식(2014) : 조명상 -|황금촬영상 시상식(2014) : 감독상 -
가슴 배구단,2012-01-26,"1970년대,지방,중학교,여선생,배구",
가시,2014-04-10,"집착,파멸,여학교,선생님,여학생,사랑",황금촬영상 시상식(2015) : 촬영상-은상 -
가시,2012-03-08,"결혼,사채,재건축,재산,엄마,엄마와아들,빚,사채빚",
가시꽃,2013-08-22,"고등학교,성폭행,속죄,양심,죄의식,집단성폭행",들꽃영화상(2014) : 신인감독상 - 이돈구|들꽃영화상(2014) : 남우주연상 - 남연우
가시나무 왕,2012-06-28,"메두사,바이러스,냉동인간,스코틀랜드",
가위 : 수면마비의 기억,2015-07-30,,
가위손,2014-05-22,"가위,누명,물침대,미용사,발명가,성,인조인간,전설,정원사,헤어디자이너,화장품외판원,로맨스",
가을 소나타,2012-03-22,"모녀지간, 심리극, 피아니스트",전미비평가협회상(1979) : 여우주연상 - 잉그리드 버그먼|뉴욕비평가협회상(1978) : 여우주연상 - 잉그리드 버그만(Ingrid Bergman)|골든글로브 시상식(1979) : 외국어영화상 -|로저 이버트 Roger Ebert TOP 10(1978) : 5 -
가을 우체국,2017-10-19,,
가자 장미여관으로2 - 갈증,2014-04-10,"불륜,부부,캠퍼스커플",
"가장 따뜻한 색, 블루",2014-01-16,"레즈비언,소설원작,유치원교사,화가,사랑과이별,동성애",전미비평가협회상(2014) : 외국어영화상 -|뉴욕비평가협회상(2013) : 최우수 외국 영화상 - 압델라티브 케시시|LA비평가협회상(2013) : 여우주연상 - 아델 엑사르코풀로스|LA비평가협회상(2013) : 외국어영화상 - 압델라티브 케시시|칸국제영화제(2013) : 황금종려상 - 압델라티브 케시시
가정부의 목적,2017-06-29,,
가져선 안될 비밀,2011-11-03,"사춘기소녀,중동,인종차별,이웃집",
가족사진,2017-11-03,,
가족시네마,2012-11-08,"가족,옴니버스영화,임신,해고,지하철순환선,모녀관계,화재,딸",
가족의 나라,2013-03-07,"이산가족,북한,조총련계,남매",베를린국제영화제(2012) : C.I.C.A.E.상: 포럼 -
가족의 재구성,2017-02-14,"성인영화,에로영화",
가투의 연날리기,2013-09-26,"연,학교,연날리기",베를린국제영화제(2012) : 특별언급 -
가필드 펫 포스 3D,2011-01-27,"고양이,우주정복,히어로",
"각오는 됐나, 거기 여자",2019-05-16,"꽃미남,모태솔로,사랑고백,여자친구",
각자의 미식,2019-03-07,"행복,평창동계올림픽,강릉,맛집,다큐멘터리제작,전통음식,한국음식,미식가",
간기남,2012-04-11,"간통,목격자,팜므파탈,형사,흥신소,바람,살인용의자,용의자,살인,누명,살인누명",
간신,2015-05-21,"연산군,조선,조선시대,신하,탐욕,권력,왕,여자,궁녀,조선왕조실록,채홍사,미녀",황금촬영상 시상식(2016) : 촬영감독이 선정한 남자인기상 - 최일화|청룡영화상(2015) : 신인여우상 - 이유영
간증,2011-03-17,"간증,고문,과거,비극,신앙,재회,전직경찰,용서,모순,기억,절망,종교,속죄,죄,죄의식,죄책감,기도,교회,장로,교인,기독교인",
간첩,2012-09-20,"간첩,귀농,부동산중개인,전세금,탑골공원,암살계획,암살자,암살지령,위장간첩,북한",
간츠,2011-07-28,"죽음,소꿉친구,게임,싸움",
간츠 - 퍼펙트 앤서,2011-08-11,"소꿉친구,전차,죽음,싸움",
간츠: 오,2017-05-11,,
갈리폴리 상륙작전,2015-11-12,,
갈매기,2018-12-13,"안톤 체홉,희극 원작,극작가,예술과 사랑",
갈증,2014-12-04,,시체스 국제판타스틱 영화제(2014) : 오피셜 판타스틱-남우주연상 -
감금의 시간,2015-12-03,,
감기,2013-08-14,"병,사투,재난영화,집단수용소,감기,감염,격리,바이러스,전염병,분당",
감독 미하엘 하네케,2016-02-25,,
감바의 대모험,2016-11-10,,
감시자들,2013-07-03,"감시,기억력,무장강도,미행,범죄조직,비밀경찰,액션,천재,추적,특수반,특수학교,관찰,홍콩영화리메이크,감시반,홍콩영화원작",백상예술대상(2014) : 영화 여자조연상 - 진경|청룡영화상(2013) : 여우주연상 - 한효주|부일영화상(2013) : 여우 주연상 - 한효주
감옥풍운,2015-06-18,"교도소,간수,죄수,의형제",
감출 수 없는 본능-몰카,2016-06-09,"몰카,불륜,본능,복수극",
갓 오브 이집트,2016-03-03,블록버스터,
갓 헬프 더 걸,2015-02-12,"뮤지션,섭식장애,인명구조원,정신병원,스코틀랜드",
갓즈 포켓,2016-01-28,,
갓파쿠와 여름방학을,2016-08-25,"갓파,소설원작,여행,일본,친구,학생,바캉스",
강남 1970,2015-01-21,"강남,서울,개발",백상예술대상(2015) : 영화 남자인기상 - 이민호|청룡영화상(2015) : 인기스타상 - 설현|청룡영화상(2015) : 인기스타상 - 이민호|대종상 영화제(2015) : 신인남우상 - 이민호
강변호텔,2019-03-27,"투숙객,경험담,인간관계,호텔,부자지간,눈사태,흑백영화,시인,아버지와아들,배신","로카르노국제영화제(2018) : 남우주연상(Pardo for best actor) - 기주봉|2018 제56회 히혼 국제 영화제 - 최우수 작품상, 최우수 각본상, 남우주연상(배우 기주봉) 수상"
강시: 리거모티스,2014-05-22,"공포,강시,환영,퇴마사,처녀귀신",
강시선생 - 일미도인,2015-01-08,"시리즈, 강시",
강철대오: 구국의 철가방,2012-10-25,"5.18민주화운동,배달원,짝사랑,혁명,모태솔로,솔로,연애,학생운동,1980년대,운동권",
강철비,2017-12-14,웹툰원작,춘사영화제(2018) : 남우주연상 - 정우성|한국영화평론가협회상 (영평상)(2018) : 영평 11선 -
강철의 연금술사 : 미로스의 성스러운 별,2012-01-26,"연금술사,탈옥수,형제,밀입국",
강한 칼: 도도견혈,2018-12-09,"전쟁의비극,형제,갈등",
개: dog eat dog,2015-03-05,,
개구리왕국,2015-11-12,,
개구리왕국2,2017-03-23,,
개구쟁이 스머프 - 극장판,2011-08-11,"스머프,마을,마법사,뉴욕,고양이,만화원작",
개구쟁이 스머프 2,2013-08-01,"스머프,만화원작,악당,납치,파리",
개들의 섬,2018-06-21,"동물의인화,동물캐릭터,미장센,3D애니메이션,가상미래",베를린국제영화제(2018) : 은곰상:감독상 - 웨스 앤더슨
개들의 전쟁,2012-11-22,"깡패,시골,패거리,경기도,양아치,시골마을,시골청년",황금촬영상 시상식(2014) : 촬영상-신인상 -
개똥이,2013-09-05,"과거,노동자,산동네,가정폭력,트라우마,공장,공장노동자,살해,살인,가족폭력,음주폭력",
개를 훔치는 완벽한 방법,2014-12-31,"도둑질,소설원작,개도둑,미국소설원작",황금촬영상 시상식(2015) : 촬영상-신인상 -
개에게 처음 이름을 지어준 날,2017-04-06,,
개인교수 2012,2012-04-05,"테니스선수,위기,여자친구,실패",
개인교수: 심화학습,2016-07-21,"특별과외,성관계",
갤럭시 히어로즈: 라쳇 앤 클랭크,2016-08-17,게임원작,
갤로우즈,2015-09-03,파운드푸티지,
갤로워커:블레이드의 귀환,2014-04-10,"부활,총잡이,복수,거래,악당",
갬빗,2013-11-28,"걸작,사기,큐레이터,위조,미술품강도,미술품",
갱 브라더스: 마지막 대결,2018-08-30,"마지막대결,조직,아버지의죽음,1인자",
거꾸로 된 파테마,2014-04-17,"미래,딸,세계,다른세계,중력,소년과소녀",
거룩한 소녀 마리아,2014-10-23,"믿음,종교,신앙,동생,소녀,사순시기","베를린국제영화제(2014) : 에큐메니칼 심사위원상:경쟁부문 -|베를린국제영화제(2014) : 은곰상:각본상 - 디트리히 브루게만, 안나 브뤼게만"
