MOVIE_NM,OPEN_DT,GENRE_NM,SP_LANG,GENRE_NM_sorted,SP_LANG_sorted
위켄즈,2016-12-22,다큐멘터리,ko,다큐멘터리,ko
할,2010-10-14,드라마,ko,드라마,ko
극장판슈타인즈게이트부하영역의데자뷰,2013-12-05,애니메이션,en/it/ja,애니메이션,en/it/ja
세레나,2015-04-23,드라마,,드라마,
포르토,2018-01-31,드라마/멜로/로맨스,,드라마/로맨스/멜로,
금빛모자이크프리티데이즈,2017-02-16,애니메이션,,애니메이션,
브라보재즈라이프,2010-12-16,다큐멘터리,,다큐멘터리,
찰리컨트리맨,2014-08-28,코미디/멜로/로맨스/액션,,로맨스/멜로/액션/코미디,
늙은자전거,2015-11-12,드라마/가족,ko,가족/드라마,ko
위스키탱고폭스트롯,2016-11-10,전쟁/드라마/코미디,en,드라마/전쟁/코미디,en
해적왕의황금나침반,2014-11-27,가족/어드벤처,,가족/어드벤처,
라이엇클럽,2015-10-22,드라마,,드라마,
클라우드,2011-07-14,드라마/SF/스릴러,,SF/드라마/스릴러,
블링링,2013-09-05,범죄/드라마,en,드라마/범죄,en
성프란치스코,2017-10-12,드라마,,드라마,
위아엑스,2017-05-25,다큐멘터리,ja/en,다큐멘터리,en/ja
라이프인어데이,2011-09-29,다큐멘터리,,다큐멘터리,
어바웃체리,2014-06-26,드라마/멜로/로맨스,en,드라마/로맨스/멜로,en
주피터스문,2018-08-02,SF/판타지,,SF/판타지,
사일런트하트,2015-11-19,가족/드라마,,가족/드라마,
후세말하지못한내사랑,2013-03-28,애니메이션/드라마,,드라마/애니메이션,
침묵의시선,2015-09-03,다큐멘터리,id,다큐멘터리,id
비러브드,2013-02-14,뮤지컬/드라마/멜로/로맨스,,드라마/로맨스/멜로/뮤지컬,
트라이앵글,2018-08-29,공포(호러)/미스터리/스릴러,,공포(호러)/미스터리/스릴러,
제4이노베이터,2014-12-18,드라마,,드라마,
에브리타임룩앳유,2019-03-14,코미디/드라마/멜로/로맨스,en/fr/pt/es/de,드라마/로맨스/멜로/코미디,de/en/es/fr/pt
바라나시,2018-05-24,코미디/드라마,,드라마/코미디,
너는착한아이,2016-03-24,드라마,ja,드라마,ja
내셔널갤러리,2016-08-25,다큐멘터리,,다큐멘터리,
예스맨프로젝트,2010-03-25,다큐멘터리,,다큐멘터리,
블랙쉐도우,2017-07-13,액션/스릴러,en,스릴러/액션,en
미스유올레디,2017-10-03,드라마,,드라마,
거짓말섹스가좋아2,2013-12-24,멜로/로맨스/드라마,ko,드라마/로맨스/멜로,ko
원네이션,2019-03-21,드라마,fr,드라마,fr
튼튼이의모험,2018-06-21,코미디,ko,코미디,ko
나넬모차르트,2011-09-15,드라마,,드라마,
세상끝의사랑,2015-11-12,멜로/로맨스,ko,로맨스/멜로,ko
로마서837,2017-11-16,드라마,ko,드라마,ko
세계일주,2015-03-26,가족/어드벤처,,가족/어드벤처,
그녀는거짓말을너무사랑해,2018-01-24,멜로/로맨스,ja,로맨스/멜로,ja
콜렉터,2011-05-26,범죄/공포(호러),,공포(호러)/범죄,
동사서독리덕스,2013-12-05,액션/드라마,,드라마/액션,
청야,2013-12-26,드라마,ko,드라마,ko
홍길동2084,2011-08-18,애니메이션/SF,,SF/애니메이션,
나만이없는거리,2016-08-17,드라마/미스터리/SF/스릴러,ja,SF/드라마/미스터리/스릴러,ja
온리갓포기브스,2014-04-24,액션,en/th,액션,en/th
미스줄리,2015-06-18,드라마,en,드라마,en
지저스크라이스트슈퍼스타,2012-11-22,뮤지컬,,뮤지컬,
내첫사랑을너에게바친다,2010-08-05,드라마,,드라마,
15소년표류기해적섬을탈출하라,2014-11-27,애니메이션,,애니메이션,
오래된인력거,2011-12-15,다큐멘터리,hi,다큐멘터리,hi
마이크롭앤가솔린,2016-03-31,코미디/드라마,fr,드라마/코미디,fr
노라노,2013-10-31,다큐멘터리,,다큐멘터리,
120bpm,2018-03-15,드라마,fr,드라마,fr
사랑의시대,2017-02-02,드라마/멜로/로맨스,da,드라마/로맨스/멜로,da
뮤지엄아워스,2014-01-23,드라마,,드라마,
더바,2017-06-15,스릴러,es,스릴러,es
극장판쥬얼펫스위트댄스프린세스,2013-11-07,애니메이션,,애니메이션,
내심장이건너뛴박동,2016-12-15,드라마,,드라마,
쿠바의연인,2011-01-13,다큐멘터리,,다큐멘터리,
미인어,2017-02-22,판타지/멜로/로맨스/코미디,,로맨스/멜로/코미디/판타지,
울언니,2014-12-04,드라마/스릴러,ko,드라마/스릴러,ko
섀도우댄서,2013-03-28,드라마/스릴러,,드라마/스릴러,
간츠퍼펙트앤서,2011-08-11,SF/공포(호러)/액션,,SF/공포(호러)/액션,
왕을참하라,2017-03-16,드라마,ko,드라마,ko
디어미,2011-04-27,코미디/멜로/로맨스,,로맨스/멜로/코미디,
셔틀콕,2014-04-24,미스터리/멜로/로맨스/드라마,ko,드라마/로맨스/멜로/미스터리,ko
우리이웃의범죄,2011-04-07,드라마/스릴러,ko,드라마/스릴러,ko
화씨119트럼프의시대,2018-11-22,다큐멘터리,en,다큐멘터리,en
우디앨런우리가몰랐던이야기,2012-09-27,다큐멘터리,en,다큐멘터리,en
랄프스테드먼스토리이상한나라의친구들,2014-07-10,다큐멘터리,en,다큐멘터리,en
그림자들의섬,2016-08-25,다큐멘터리,,다큐멘터리,
트립투잉글랜드,2015-11-26,코미디/드라마,,드라마/코미디,
슬기로운해법,2014-05-15,다큐멘터리,ko,다큐멘터리,ko
수부라게이트,2017-09-07,범죄/드라마,,드라마/범죄,
아리아,2015-04-23,드라마,,드라마,
여친남친,2013-02-07,멜로/로맨스,,로맨스/멜로,
우리가사랑한시간,2015-11-12,멜로/로맨스,,로맨스/멜로,
야누스욕망의두얼굴,2014-08-14,미스터리/멜로/로맨스,,로맨스/멜로/미스터리,
부에나비스타소셜클럽2아디오스,2017-10-26,다큐멘터리,,다큐멘터리,
알리바이닷컴,2018-11-07,코미디/멜로/로맨스,,로맨스/멜로/코미디,
태양의서커스월드어웨이,2016-01-06,공연,,공연,
구름의저편약속의장소,2017-02-28,애니메이션/드라마,ja,드라마/애니메이션,ja
아이오브더스톰,2013-06-15,드라마,,드라마,
가족의나라,2013-03-07,드라마,ja/ko,드라마,ja/ko
앙드레마티유,2011-01-13,드라마,,드라마,
린온피트,2018-09-20,어드벤처/드라마,en,드라마/어드벤처,en
쿠크하트시계심장을가진소년,2015-08-20,애니메이션/드라마/어드벤처/판타지,,드라마/애니메이션/어드벤처/판타지,
꿈보다해몽,2015-02-12,드라마/코미디,ko,드라마/코미디,ko
2amshow,2010-12-09,공연,ko,공연,ko
요요마와실크로드앙상블,2017-01-12,다큐멘터리,,다큐멘터리,
시저는죽어야한다,2013-05-02,드라마/다큐멘터리,,다큐멘터리/드라마,
반짝이는박수소리,2015-04-23,다큐멘터리,ko,다큐멘터리,ko
더블,2012-11-29,범죄/드라마/미스터리/스릴러/액션,,드라마/미스터리/범죄/스릴러/액션,
폴레트의수상한베이커리,2015-08-13,드라마,,드라마,
컨빅션,2013-01-03,드라마,,드라마,
24주,2017-06-15,드라마,de,드라마,de
네버렛미고,2011-04-07,드라마/멜로/로맨스,,드라마/로맨스/멜로,
라스트에너미,2014-03-06,액션/범죄/드라마,,드라마/범죄/액션,
와이스톱나우,2014-10-29,드라마/코미디,,드라마/코미디,
꽃비,2010-04-01,드라마,ko,드라마,ko
불온한당신,2017-07-20,다큐멘터리,ko,다큐멘터리,ko
노크노크,2015-10-22,스릴러,es/en,스릴러,en/es
애프터파티,2014-10-29,공포(호러)/스릴러,,공포(호러)/스릴러,
프랑코포니아,2016-06-16,드라마,ru/fr,드라마,fr/ru
하이프네이션힙합사기꾼,2014-01-16,범죄/드라마/코미디,,드라마/범죄/코미디,
베러와치아웃,2018-02-08,공포(호러),,공포(호러),
이터너티,2017-05-18,멜로/로맨스,fr/es,로맨스/멜로,es/fr
아버지의이메일,2014-04-24,다큐멘터리,ko,다큐멘터리,ko
세상의끝에서커피한잔,2015-11-05,드라마,ja,드라마,ja
할머니의먼집,2016-09-29,다큐멘터리,ko,다큐멘터리,ko
그강아지그고양이,2013-12-12,멜로/로맨스,ko,로맨스/멜로,ko
투나잇스탠드,2015-05-07,멜로/로맨스/코미디,,로맨스/멜로/코미디,
런던시계탑밑에서사랑을찾을확률,2016-01-28,코미디/멜로/로맨스,,로맨스/멜로/코미디,
거룩한분노,2018-06-28,드라마,,드라마,
극장판타이거앤버니,2013-02-28,애니메이션/액션,,애니메이션/액션,
원피스에피소드오브메리또하나의동료이야기,2014-08-28,애니메이션/판타지/어드벤처,,애니메이션/어드벤처/판타지,
1789바스티유의연인들,2014-09-18,뮤지컬/공연,,공연/뮤지컬,
사랑과어둠의이야기,2016-09-01,드라마,he,드라마,he
참새들의합창,2010-05-05,드라마,,드라마,
생각보다맑은,2015-01-22,애니메이션,ko,애니메이션,ko
우리의사선생님,2010-04-29,드라마,,드라마,
나의아들나의어머니,2015-12-17,다큐멘터리,,다큐멘터리,
여자의일생,2017-04-06,멜로/로맨스,,로맨스/멜로,
하드데이,2014-01-16,액션/스릴러,,스릴러/액션,
레이스,2016-05-25,드라마,en,드라마,en
언프리티소셜스타,2018-02-22,코미디/드라마,,드라마/코미디,
탠저린,2018-01-25,코미디/드라마,,드라마/코미디,
리미츠오브컨트롤,2010-08-12,드라마/미스터리/스릴러,,드라마/미스터리/스릴러,
소림사2014,2014-08-28,드라마/액션/판타지,,드라마/액션/판타지,
업사이드다운,2016-04-14,다큐멘터리,ko,다큐멘터리,ko
마테호른,2014-01-09,드라마/코미디,,드라마/코미디,
산다,2015-05-21,드라마,ko,드라마,ko
아프리카의눈물,2011-03-24,다큐멘터리,,다큐멘터리,
사랑해진영아,2013-11-07,드라마,ko,드라마,ko
그라운드의이방인,2015-03-19,다큐멘터리,ja/ko,다큐멘터리,ja/ko
서서자는나무,2010-12-09,멜로/로맨스/드라마,ko,드라마/로맨스/멜로,ko
식구,2018-07-12,드라마,ko,드라마,ko
오월,2011-05-12,다큐멘터리,,다큐멘터리,
제이니존스,2012-08-23,드라마,,드라마,
마린,2012-12-06,드라마,,드라마,
이니시에이션러브,2016-03-17,멜로/로맨스,ja,로맨스/멜로,ja
청춘학당풍기문란보쌈야사,2014-03-27,멜로/로맨스/코미디,ko,로맨스/멜로/코미디,ko
옹녀뎐,2014-08-21,멜로/로맨스/코미디/사극,ko,로맨스/멜로/사극/코미디,ko
