,?MOVIE_NM,OPEN_DT,NATION_NM,COMPANY_NM
210,정글북,2016-06-09,미국,월트디즈니컴퍼니코리아(주)
211,목격자,2018-08-15,한국,(주)넥스트엔터테인먼트월드(NEW)
212,마이펫의이중생활,2016-08-03,미국,유니버설픽쳐스인터내셔널 코리아(유)
213,증인,2019-02-13,한국,롯데컬처웍스(주)롯데엔터테인먼트
214,조작된도시,2017-02-09,한국,씨제이이앤엠(주)
215,반창꼬,2012-12-19,한국,(주)넥스트엔터테인먼트월드(NEW)
216,보스베이비,2017-05-03,미국,씨제이이앤엠(주)
217,화차,2012-03-08,한국,필라멘트픽쳐스
218,이웃사람,2012-08-22,한국,롯데쇼핑㈜롯데엔터테인먼트
219,조선명탐정흡혈괴마의비밀,2018-02-08,한국,(주)쇼박스
220,재심,2017-02-15,한국,CGV아트하우스/오퍼스픽쳐스(유)
221,신비한동물들과그린델왈드의범죄,2018-11-14,미국,워너브러더스 코리아(주)
222,사바하,2019-02-20,한국,씨제이이앤엠(주)
223,의뢰인,2011-09-29,한국,(주)쇼박스
224,화이괴물을삼킨아이,2013-10-09,한국,(주)쇼박스
225,007스카이폴,2012-10-26,미국/영국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
226,가문의영광4가문의수난,2011-09-07,한국,(주)넥스트엔터테인먼트월드(NEW)
227,블라인드,2011-08-10,한국,(주)넥스트엔터테인먼트월드(NEW)
228,박열,2017-06-28,한국,메가박스중앙(주)플러스엠
229,라스트갓파더,2010-12-29,미국/한국,씨제이엔터테인먼트
230,스파이,2015-05-21,미국,이십세기폭스코리아(주)
231,모아나,2017-01-12,미국,월트디즈니컴퍼니코리아 유한책임회사
232,테이큰2,2012-09-27,프랑스,이십세기폭스코리아(주)
233,하녀,2010-05-13,한국,(주)싸이더스
234,메이즈러너데스큐어,2018-01-17,미국,이십세기폭스코리아(주)
235,맘마미아2,2018-08-08,미국,유니버설픽쳐스인터내셔널 코리아(유)
236,호빗스마우그의폐허,2013-12-12,뉴질랜드/미국,워너브러더스 코리아(주)
237,나잇데이,2010-06-24,미국,이십세기폭스코리아(주)
238,컨저링,2013-09-17,미국,워너브러더스 코리아(주)
239,슈렉포에버,2010-07-01,미국,씨제이엔터테인먼트
240,배트맨대슈퍼맨저스티스의시작,2016-03-24,미국,워너브러더스 코리아(주)
241,레디플레이어원,2018-03-28,미국,워너브러더스 코리아(주)
242,배틀쉽,2012-04-11,미국,유니버설픽쳐스인터내셔널 코리아(유)
243,셜록홈즈그림자게임,2011-12-21,미국,워너브러더스 코리아(주)
244,7광구,2011-08-04,한국,씨제이이앤엠(주)
245,마당을나온암탉,2011-07-28,한국,롯데쇼핑㈜롯데엔터테인먼트
246,악의연대기,2015-05-14,한국,씨제이이앤엠(주)
247,강남1970,2015-01-21,한국,(주)쇼박스
248,이상한나라의앨리스,2010-03-04,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
249,맨오브스틸,2013-06-13,미국,워너브러더스 코리아(주)
250,황해,2010-12-22,미국/중국/한국,(주)쇼박스/이십세기폭스코리아(주)
251,원더우먼,2017-05-31,미국,워너브러더스 코리아(주)
252,초능력자,2010-11-10,한국,(주)넥스트엔터테인먼트월드(NEW)
253,마이웨이,2011-12-21,일본/중국/한국,씨제이이앤엠(주)/에스케이플래닛(주)
254,겟아웃,2017-05-17,미국,유니버설픽쳐스인터내셔널 코리아(유)
255,나의사랑나의신부,2014-10-08,한국,씨네그루(주)다우기술
256,굿바이싱글,2016-06-29,한국,(주)쇼박스
257,이클립스,2010-07-07,미국,(주)넥스트엔터테인먼트월드(NEW)
258,몽타주,2013-05-16,한국,(주)넥스트엔터테인먼트월드(NEW)
259,명당,2018-09-19,한국,메가박스중앙(주)플러스엠
260,논스톱,2014-02-27,미국/프랑스,(주)넥스트엔터테인먼트월드(NEW)
