MOVIE_NM,OPEN_DT,NATION_NM,COMPANY_NM
7광구,2011-08-04,한국,씨제이이앤엠(주)
마당을나온암탉,2011-07-28,한국,롯데쇼핑㈜롯데엔터테인먼트
악의연대기,2015-05-14,한국,씨제이이앤엠(주)
강남1970,2015-01-21,한국,(주)쇼박스
이상한나라의앨리스,2010-03-04,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
맨오브스틸,2013-06-13,미국,워너브러더스 코리아(주)
황해,2010-12-22,한국/미국/중국,(주)쇼박스/이십세기폭스코리아(주)
원더우먼,2017-05-31,미국,워너브러더스 코리아(주)
초능력자,2010-11-10,한국,(주)넥스트엔터테인먼트월드(NEW)
마이웨이,2011-12-21,한국/일본/중국,에스케이플래닛(주)/씨제이이앤엠(주)
겟아웃,2017-05-17,미국,유니버설픽쳐스인터내셔널 코리아(유)
나의사랑나의신부,2014-10-08,한국,씨네그루(주)다우기술
굿바이싱글,2016-06-29,한국,(주)쇼박스
이클립스,2010-07-07,미국,(주)넥스트엔터테인먼트월드(NEW)
몽타주,2013-05-16,한국,(주)넥스트엔터테인먼트월드(NEW)
명당,2018-09-19,한국,메가박스중앙(주)플러스엠
논스톱,2014-02-27,미국/프랑스,(주)넥스트엔터테인먼트월드(NEW)
내부자들디오리지널,2015-12-31,한국,(주)쇼박스
쩨쩨한로맨스,2010-12-01,한국,롯데쇼핑㈜롯데엔터테인먼트
장화신은고양이,2012-01-12,미국,씨제이이앤엠(주)
인투더스톰,2014-08-28,미국,워너브러더스 코리아(주)
로건,2017-03-01,미국,이십세기폭스코리아(주)
뷰티인사이드,2015-08-20,한국,(주)넥스트엔터테인먼트월드(NEW)
혹성탈출종의전쟁,2017-08-15,미국,이십세기폭스코리아(주)
봉이김선달,2016-07-06,한국,씨제이이앤엠(주)
노아,2014-03-20,미국,씨제이이앤엠(주)
레버넌트죽음에서돌아온자,2016-01-14,미국,이십세기폭스코리아(주)
페르시아의왕자시간의모래,2010-05-27,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
남자가사랑할때,2014-01-22,한국,(주)넥스트엔터테인먼트월드(NEW)
루시,2014-09-03,미국/프랑스,유니버설픽쳐스인터내셔널 코리아(유)
협상,2018-09-19,한국,씨제이이앤엠(주)
알리타배틀엔젤,2019-02-05,미국,이십세기폭스코리아(주)
애나벨인형의주인,2017-08-10,미국,워너브러더스 코리아(주)
컨저링2,2016-06-09,미국,워너브러더스 코리아(주)
터보,2013-07-25,미국,씨제이이앤엠(주)
내안의그놈,2019-01-09,한국,(주)메리크리스마스
수어사이드스쿼드,2016-08-03,미국,워너브러더스 코리아(주)
오늘의연애,2015-01-14,한국,씨제이이앤엠(주)
글러브,2011-01-20,한국,씨제이엔터테인먼트
퍼시잭슨과번개도둑,2010-02-11,미국,이십세기폭스코리아(주)
해결사,2010-09-09,한국,(주)넥스트엔터테인먼트월드(NEW)/(주)에스비에스콘텐츠허브
연애의온도,2013-03-21,한국,롯데쇼핑㈜롯데엔터테인먼트
아이들,2011-02-17,한국,롯데쇼핑㈜롯데엔터테인먼트
마약왕,2018-12-19,한국,(주)쇼박스
테이큰3,2015-01-01,미국,이십세기폭스코리아(주)
코리아,2012-05-03,한국,씨제이이앤엠(주)
지아이조2,2013-03-28,미국/캐나다,씨제이이앤엠(주)
노무현입니다,2017-05-25,한국,CGV아트하우스/영화사 풀
집으로가는길,2013-12-11,한국,씨제이이앤엠(주)
악마를보았다,2010-08-12,한국,(주)쇼박스
뺑반,2019-01-30,한국,(주)쇼박스
나의ps파트너,2012-12-06,한국,씨제이이앤엠(주)
007스펙터,2015-11-11,영국/미국,유니버설픽쳐스인터내셔널 코리아(유)
분노의질주더맥시멈,2013-05-22,미국,유니버설픽쳐스인터내셔널 코리아(유)
저스티스리그,2017-11-15,미국,워너브러더스 코리아(주)
공범,2013-10-24,한국,씨제이이앤엠(주)
나를찾아줘,2014-10-23,미국,이십세기폭스코리아(주)
대호,2015-12-16,한국,(주)넥스트엔터테인먼트월드(NEW)
걸리버여행기,2011-01-27,미국,이십세기폭스코리아(주)
주먹왕랄프2인터넷속으로,2019-01-03,미국,월트디즈니컴퍼니코리아 유한책임회사
이미테이션게임,2015-02-17,영국,메가박스중앙(주)플러스엠
전설의주먹,2013-04-10,한국,씨제이이앤엠(주)
